41,-30
x,y,dx,dy,x_c,y_c
120.00,120.00,39.00,39.00,139.50,139.50
112.00,120.00,39.00,39.00,131.50,139.50
112.00,120.00,39.00,39.00,131.50,139.50
128.00,120.00,39.00,39.00,147.50,139.50
128.00,120.00,39.00,39.00,147.50,139.50
120.00,104.00,39.00,39.00,139.50,123.50
120.00,96.00,39.00,39.00,139.50,115.50
112.00,88.00,39.00,39.00,131.50,107.50
112.00,80.00,39.00,39.00,131.50,99.50
88.00,80.00,39.00,39.00,107.50,99.50
80.00,80.00,39.00,39.00,99.50,99.50
72.00,80.00,39.00,39.00,91.50,99.50
80.00,72.00,39.00,39.00,99.50,91.50
80.00,72.00,39.00,39.00,99.50,91.50
72.00,80.00,39.00,39.00,91.50,99.50
48.00,64.00,39.00,39.00,67.50,83.50
56.00,56.00,39.00,39.00,75.50,75.50
64.00,56.00,39.00,39.00,83.50,75.50
80.00,64.00,39.00,39.00,99.50,83.50
96.00,64.00,39.00,39.00,115.50,83.50
128.00,80.00,39.00,39.00,147.50,99.50
136.00,88.00,39.00,39.00,155.50,107.50
144.00,88.00,39.00,39.00,163.50,107.50
136.00,80.00,39.00,39.00,155.50,99.50
144.00,80.00,39.00,39.00,163.50,99.50
144.00,80.00,39.00,39.00,163.50,99.50
144.00,64.00,39.00,39.00,163.50,83.50
144.00,64.00,39.00,39.00,163.50,83.50
136.00,64.00,39.00,39.00,155.50,83.50
136.00,64.00,39.00,39.00,155.50,83.50
128.00,64.00,39.00,39.00,147.50,83.50
120.00,136.00,39.00,39.00,139.50,155.50
112.00,136.00,39.00,39.00,131.50,155.50
104.00,144.00,39.00,39.00,123.50,163.50
88.00,152.00,39.00,39.00,107.50,171.50
112.00,144.00,39.00,39.00,131.50,163.50
112.00,136.00,39.00,39.00,131.50,155.50
120.00,136.00,39.00,39.00,139.50,155.50
128.00,128.00,39.00,39.00,147.50,147.50
128.00,136.00,39.00,39.00,147.50,155.50
128.00,136.00,39.00,39.00,147.50,155.50
128.00,136.00,39.00,39.00,147.50,155.50
128.00,136.00,39.00,39.00,147.50,155.50
128.00,144.00,39.00,39.00,147.50,163.50
120.00,136.00,39.00,39.00,139.50,155.50
128.00,144.00,39.00,39.00,147.50,163.50
120.00,136.00,39.00,39.00,139.50,155.50
112.00,152.00,39.00,39.00,131.50,171.50
112.00,136.00,39.00,39.00,131.50,155.50
104.00,152.00,39.00,39.00,123.50,171.50
120.00,144.00,39.00,39.00,139.50,163.50
120.00,184.00,39.00,39.00,139.50,203.50
104.00,184.00,39.00,39.00,123.50,203.50
88.00,176.00,39.00,39.00,107.50,195.50
72.00,168.00,39.00,39.00,91.50,187.50
64.00,160.00,39.00,39.00,83.50,179.50
56.00,144.00,39.00,39.00,75.50,163.50
48.00,120.00,39.00,39.00,67.50,139.50
48.00,104.00,39.00,39.00,67.50,123.50
40.00,80.00,39.00,39.00,59.50,99.50
136.00,176.00,39.00,39.00,155.50,195.50
144.00,160.00,39.00,39.00,163.50,179.50
144.00,144.00,39.00,39.00,163.50,163.50
144.00,128.00,39.00,39.00,163.50,147.50
144.00,120.00,39.00,39.00,163.50,139.50
144.00,104.00,39.00,39.00,163.50,123.50
144.00,88.00,39.00,39.00,163.50,107.50
144.00,72.00,39.00,39.00,163.50,91.50
