68,-30
x,y,dx,dy,x_c,y_c
136.00,168.00,39.00,39.00,155.50,187.50
128.00,168.00,39.00,39.00,147.50,187.50
120.00,168.00,39.00,39.00,139.50,187.50
136.00,168.00,39.00,39.00,155.50,187.50
136.00,160.00,39.00,39.00,155.50,179.50
152.00,152.00,39.00,39.00,171.50,171.50
152.00,144.00,39.00,39.00,171.50,163.50
144.00,128.00,39.00,39.00,163.50,147.50
144.00,120.00,39.00,39.00,163.50,139.50
120.00,120.00,39.00,39.00,139.50,139.50
112.00,120.00,39.00,39.00,131.50,139.50
104.00,120.00,39.00,39.00,123.50,139.50
112.00,112.00,39.00,39.00,131.50,131.50
104.00,112.00,39.00,39.00,123.50,131.50
96.00,120.00,39.00,39.00,115.50,139.50
72.00,104.00,39.00,39.00,91.50,123.50
80.00,96.00,39.00,39.00,99.50,115.50
88.00,96.00,39.00,39.00,107.50,115.50
104.00,104.00,39.00,39.00,123.50,123.50
120.00,104.00,39.00,39.00,139.50,123.50
160.00,120.00,39.00,39.00,179.50,139.50
168.00,120.00,39.00,39.00,187.50,139.50
168.00,120.00,39.00,39.00,187.50,139.50
168.00,112.00,39.00,39.00,187.50,131.50
176.00,112.00,39.00,39.00,195.50,131.50
176.00,112.00,39.00,39.00,195.50,131.50
184.00,96.00,39.00,39.00,203.50,115.50
184.00,96.00,39.00,39.00,203.50,115.50
176.00,96.00,39.00,39.00,195.50,115.50
168.00,96.00,39.00,39.00,187.50,115.50
160.00,96.00,39.00,39.00,179.50,115.50
136.00,184.00,39.00,39.00,155.50,203.50
120.00,176.00,39.00,39.00,139.50,195.50
112.00,184.00,39.00,39.00,131.50,203.50
104.00,192.00,39.00,39.00,123.50,211.50
112.00,192.00,39.00,39.00,131.50,211.50
120.00,184.00,39.00,39.00,139.50,203.50
136.00,184.00,39.00,39.00,155.50,203.50
144.00,176.00,39.00,39.00,163.50,195.50
152.00,184.00,39.00,39.00,171.50,203.50
152.00,184.00,39.00,39.00,171.50,203.50
152.00,184.00,39.00,39.00,171.50,203.50
144.00,184.00,39.00,39.00,163.50,203.50
152.00,192.00,39.00,39.00,171.50,211.50
152.00,184.00,39.00,39.00,171.50,203.50
152.00,192.00,39.00,39.00,171.50,211.50
152.00,192.00,39.00,39.00,171.50,211.50
144.00,200.00,39.00,39.00,163.50,219.50
144.00,184.00,39.00,39.00,163.50,203.50
136.00,192.00,39.00,39.00,155.50,211.50
160.00,200.00,39.00,39.00,179.50,219.50
160.00,240.00,39.00,39.00,179.50,259.50
144.00,240.00,39.00,39.00,163.50,259.50
120.00,232.00,39.00,39.00,139.50,251.50
104.00,224.00,39.00,39.00,123.50,243.50
88.00,216.00,39.00,39.00,107.50,235.50
72.00,200.00,39.00,39.00,91.50,219.50
64.00,176.00,39.00,39.00,83.50,195.50
64.00,152.00,39.00,39.00,83.50,171.50
56.00,128.00,39.00,39.00,75.50,147.50
176.00,232.00,39.00,39.00,195.50,251.50
184.00,216.00,39.00,39.00,203.50,235.50
184.00,200.00,39.00,39.00,203.50,219.50
184.00,184.00,39.00,39.00,203.50,203.50
184.00,176.00,39.00,39.00,203.50,195.50
184.00,160.00,39.00,39.00,203.50,179.50
184.00,144.00,39.00,39.00,203.50,163.50
168.00,136.00,39.00,39.00,187.50,155.50
