130,0
x,y,dx,dy,x_c,y_c
249.08,311.63,77.07,77.07,287.62,350.17
233.44,311.63,77.07,77.07,271.98,350.17
217.81,311.63,77.07,77.07,256.34,350.17
280.36,311.63,77.07,77.07,318.89,350.17
295.99,311.63,77.07,77.07,334.53,350.17
249.08,280.36,77.07,77.07,287.62,318.89
249.08,264.72,77.07,77.07,287.62,303.26
249.08,233.44,77.07,77.07,287.62,271.98
249.08,217.81,77.07,77.07,287.62,256.34
202.17,217.81,77.07,77.07,240.71,256.34
202.17,217.81,77.07,77.07,240.71,256.34
186.53,217.81,77.07,77.07,225.07,256.34
186.53,217.81,77.07,77.07,225.07,256.34
186.53,217.81,77.07,77.07,225.07,256.34
170.90,217.81,77.07,77.07,209.43,256.34
139.62,202.17,77.07,77.07,178.16,240.71
155.26,186.53,77.07,77.07,193.79,225.07
170.90,170.90,77.07,77.07,209.43,209.43
202.17,170.90,77.07,77.07,240.71,209.43
217.81,186.53,77.07,77.07,256.34,225.07
295.99,217.81,77.07,77.07,334.53,256.34
311.63,217.81,77.07,77.07,350.17,256.34
327.27,217.81,77.07,77.07,365.80,256.34
311.63,217.81,77.07,77.07,350.17,256.34
327.27,217.81,77.07,77.07,365.80,256.34
341.79,217.81,77.07,77.07,380.33,256.34
373.07,186.53,77.07,77.07,411.60,225.07
357.43,170.90,77.07,77.07,395.96,209.43
327.27,170.90,77.07,77.07,365.80,209.43
311.63,170.90,77.07,77.07,350.17,209.43
280.36,170.90,77.07,77.07,318.89,209.43
249.08,327.27,77.07,77.07,287.62,365.80
217.81,327.27,77.07,77.07,256.34,365.80
202.17,341.79,77.07,77.07,240.71,380.33
186.53,357.43,77.07,77.07,225.07,395.96
202.17,357.43,77.07,77.07,240.71,395.96
217.81,341.79,77.07,77.07,256.34,380.33
249.08,341.79,77.07,77.07,287.62,380.33
280.36,327.27,77.07,77.07,318.89,365.80
295.99,341.79,77.07,77.07,334.53,380.33
311.63,357.43,77.07,77.07,350.17,395.96
311.63,341.79,77.07,77.07,350.17,380.33
280.36,341.79,77.07,77.07,318.89,380.33
295.99,388.70,77.07,77.07,334.53,427.24
280.36,373.07,77.07,77.07,318.89,411.60
280.36,404.34,77.07,77.07,318.89,442.88
249.08,388.70,77.07,77.07,287.62,427.24
217.81,404.34,77.07,77.07,256.34,442.88
217.81,373.07,77.07,77.07,256.34,411.60
202.17,373.07,77.07,77.07,240.71,411.60
249.08,404.34,77.07,77.07,287.62,442.88
249.08,482.53,77.07,77.07,287.62,521.06
217.81,466.89,77.07,77.07,256.34,505.43
202.17,435.62,77.07,77.07,240.71,474.15
170.90,404.34,77.07,77.07,209.43,442.88
155.26,388.70,77.07,77.07,193.79,427.24
139.62,357.43,77.07,77.07,178.16,395.96
123.98,327.27,77.07,77.07,162.52,365.80
109.46,280.36,77.07,77.07,148.00,318.89
109.46,249.08,77.07,77.07,148.00,287.62
280.36,466.89,77.07,77.07,318.89,505.43
311.63,435.62,77.07,77.07,350.17,474.15
341.79,404.34,77.07,77.07,380.33,442.88
373.07,357.43,77.07,77.07,411.60,395.96
388.70,327.27,77.07,77.07,427.24,365.80
404.34,295.99,77.07,77.07,442.88,334.53
404.34,249.08,77.07,77.07,442.88,287.62
404.34,217.81,77.07,77.07,442.88,256.34
