71,45
x,y,dx,dy,x_c,y_c
167.00,237.00,69.00,69.00,201.50,271.50
167.00,237.00,69.00,69.00,201.50,271.50
153.00,237.00,69.00,69.00,187.50,271.50
181.00,237.00,69.00,69.00,215.50,271.50
195.00,237.00,69.00,69.00,229.50,271.50
139.00,209.00,69.00,69.00,173.50,243.50
153.00,195.00,69.00,69.00,187.50,229.50
153.00,167.00,69.00,69.00,187.50,201.50
153.00,153.00,69.00,69.00,187.50,187.50
139.00,153.00,69.00,69.00,173.50,187.50
125.00,167.00,69.00,69.00,159.50,201.50
111.00,181.00,69.00,69.00,145.50,215.50
125.00,153.00,69.00,69.00,159.50,187.50
125.00,153.00,69.00,69.00,159.50,187.50
125.00,167.00,69.00,69.00,159.50,201.50
111.00,139.00,69.00,69.00,145.50,173.50
111.00,139.00,69.00,69.00,145.50,173.50
125.00,125.00,69.00,69.00,159.50,159.50
125.00,139.00,69.00,69.00,159.50,173.50
139.00,139.00,69.00,69.00,173.50,173.50
195.00,153.00,69.00,69.00,229.50,187.50
209.00,153.00,69.00,69.00,243.50,187.50
209.00,153.00,69.00,69.00,243.50,187.50
209.00,153.00,69.00,69.00,243.50,187.50
223.00,153.00,69.00,69.00,257.50,187.50
237.00,153.00,69.00,69.00,271.50,187.50
265.00,125.00,69.00,69.00,299.50,159.50
251.00,125.00,69.00,69.00,285.50,159.50
223.00,125.00,69.00,69.00,257.50,159.50
195.00,125.00,69.00,69.00,229.50,159.50
167.00,125.00,69.00,69.00,201.50,159.50
195.00,251.00,69.00,69.00,229.50,285.50
181.00,251.00,69.00,69.00,215.50,285.50
181.00,251.00,69.00,69.00,215.50,285.50
181.00,265.00,69.00,69.00,215.50,299.50
181.00,251.00,69.00,69.00,215.50,285.50
195.00,265.00,69.00,69.00,229.50,299.50
195.00,265.00,69.00,69.00,229.50,299.50
223.00,237.00,69.00,69.00,257.50,271.50
237.00,251.00,69.00,69.00,271.50,285.50
251.00,251.00,69.00,69.00,285.50,285.50
237.00,251.00,69.00,69.00,271.50,285.50
223.00,251.00,69.00,69.00,257.50,285.50
237.00,279.00,69.00,69.00,271.50,313.50
209.00,265.00,69.00,69.00,243.50,299.50
209.00,279.00,69.00,69.00,243.50,313.50
181.00,265.00,69.00,69.00,215.50,299.50
181.00,279.00,69.00,69.00,215.50,313.50
181.00,265.00,69.00,69.00,215.50,299.50
181.00,279.00,69.00,69.00,215.50,313.50
181.00,279.00,69.00,69.00,215.50,313.50
181.00,348.00,69.00,69.00,215.50,382.50
167.00,334.00,69.00,69.00,201.50,368.50
167.00,306.00,69.00,69.00,201.50,340.50
167.00,279.00,69.00,69.00,201.50,313.50
153.00,265.00,69.00,69.00,187.50,299.50
139.00,237.00,69.00,69.00,173.50,271.50
125.00,209.00,69.00,69.00,159.50,243.50
125.00,195.00,69.00,69.00,159.50,229.50
125.00,167.00,69.00,69.00,159.50,201.50
223.00,334.00,69.00,69.00,257.50,368.50
265.00,306.00,69.00,69.00,299.50,340.50
306.00,279.00,69.00,69.00,340.50,313.50
334.00,251.00,69.00,69.00,368.50,285.50
348.00,223.00,69.00,69.00,382.50,257.50
362.00,181.00,69.00,69.00,396.50,215.50
348.00,139.00,69.00,69.00,382.50,173.50
348.00,98.00,69.00,69.00,382.50,132.50
