102,0
x,y,dx,dy,x_c,y_c
240.43,300.81,74.39,74.39,277.63,338.01
225.34,300.81,74.39,74.39,262.54,338.01
210.25,300.81,74.39,74.39,247.44,338.01
255.53,300.81,74.39,74.39,292.73,338.01
270.62,300.81,74.39,74.39,307.82,338.01
240.43,270.62,74.39,74.39,277.63,307.82
240.43,255.53,74.39,74.39,277.63,292.73
240.43,225.34,74.39,74.39,277.63,262.54
240.43,210.25,74.39,74.39,277.63,247.44
195.15,210.25,74.39,74.39,232.35,247.44
195.15,210.25,74.39,74.39,232.35,247.44
195.15,210.25,74.39,74.39,232.35,247.44
180.06,195.15,74.39,74.39,217.25,232.35
164.96,195.15,74.39,74.39,202.16,232.35
149.87,210.25,74.39,74.39,187.06,247.44
119.68,180.06,74.39,74.39,156.88,217.25
134.77,164.96,74.39,74.39,171.97,202.16
149.87,149.87,74.39,74.39,187.06,187.06
180.06,164.96,74.39,74.39,217.25,202.16
210.25,164.96,74.39,74.39,247.44,202.16
285.72,210.25,74.39,74.39,322.92,247.44
300.81,210.25,74.39,74.39,338.01,247.44
315.91,210.25,74.39,74.39,353.10,247.44
300.81,210.25,74.39,74.39,338.01,247.44
315.91,210.25,74.39,74.39,353.10,247.44
329.92,210.25,74.39,74.39,367.12,247.44
360.11,180.06,74.39,74.39,397.31,217.25
345.02,180.06,74.39,74.39,382.22,217.25
315.91,180.06,74.39,74.39,353.10,217.25
300.81,180.06,74.39,74.39,338.01,217.25
270.62,180.06,74.39,74.39,307.82,217.25
240.43,329.92,74.39,74.39,277.63,367.12
225.34,315.91,74.39,74.39,262.54,353.10
210.25,329.92,74.39,74.39,247.44,367.12
195.15,345.02,74.39,74.39,232.35,382.22
195.15,345.02,74.39,74.39,232.35,382.22
225.34,329.92,74.39,74.39,262.54,367.12
240.43,345.02,74.39,74.39,277.63,382.22
270.62,315.91,74.39,74.39,307.82,353.10
300.81,315.91,74.39,74.39,338.01,353.10
315.91,329.92,74.39,74.39,353.10,367.12
315.91,315.91,74.39,74.39,353.10,353.10
285.72,329.92,74.39,74.39,322.92,367.12
300.81,345.02,74.39,74.39,338.01,382.22
285.72,329.92,74.39,74.39,322.92,367.12
285.72,345.02,74.39,74.39,322.92,382.22
255.53,329.92,74.39,74.39,292.73,367.12
225.34,345.02,74.39,74.39,262.54,382.22
225.34,329.92,74.39,74.39,262.54,367.12
210.25,345.02,74.39,74.39,247.44,382.22
255.53,345.02,74.39,74.39,292.73,382.22
270.62,420.49,74.39,74.39,307.82,457.69
225.34,405.40,74.39,74.39,262.54,442.59
195.15,375.21,74.39,74.39,232.35,412.40
164.96,345.02,74.39,74.39,202.16,382.22
134.77,315.91,74.39,74.39,171.97,353.10
119.68,285.72,74.39,74.39,156.88,322.92
105.66,255.53,74.39,74.39,142.86,292.73
90.57,210.25,74.39,74.39,127.76,247.44
90.57,164.96,74.39,74.39,127.76,202.16
300.81,405.40,74.39,74.39,338.01,442.59
329.92,390.30,74.39,74.39,367.12,427.50
360.11,360.11,74.39,74.39,397.31,397.31
390.30,329.92,74.39,74.39,427.50,367.12
405.40,300.81,74.39,74.39,442.59,338.01
405.40,270.62,74.39,74.39,442.59,307.82
420.49,225.34,74.39,74.39,457.69,262.54
420.49,180.06,74.39,74.39,457.69,217.25
