167,0
x,y,dx,dy,x_c,y_c
241.09,301.09,99.27,99.27,290.73,350.73
220.36,301.09,99.27,99.27,270.00,350.73
220.36,301.09,99.27,99.27,270.00,350.73
260.73,301.09,99.27,99.27,310.36,350.73
260.73,301.09,99.27,99.27,310.36,350.73
241.09,260.73,99.27,99.27,290.73,310.36
241.09,241.09,99.27,99.27,290.73,290.73
241.09,200.73,99.27,99.27,290.73,250.36
241.09,180.00,99.27,99.27,290.73,229.64
180.00,180.00,99.27,99.27,229.64,229.64
160.36,180.00,99.27,99.27,210.00,229.64
160.36,180.00,99.27,99.27,210.00,229.64
160.36,160.36,99.27,99.27,210.00,210.00
160.36,160.36,99.27,99.27,210.00,210.00
140.73,180.00,99.27,99.27,190.36,229.64
100.36,140.73,99.27,99.27,150.00,190.36
120.00,120.00,99.27,99.27,169.64,169.64
140.73,100.36,99.27,99.27,190.36,150.00
180.00,120.00,99.27,99.27,229.64,169.64
200.73,120.00,99.27,99.27,250.36,169.64
301.09,180.00,99.27,99.27,350.73,229.64
320.73,180.00,99.27,99.27,370.36,229.64
320.73,180.00,99.27,99.27,370.36,229.64
320.73,160.36,99.27,99.27,370.36,210.00
320.73,160.36,99.27,99.27,370.36,210.00
340.36,180.00,99.27,99.27,390.00,229.64
380.73,140.73,99.27,99.27,430.36,190.36
361.09,120.00,99.27,99.27,410.73,169.64
320.73,120.00,99.27,99.27,370.36,169.64
301.09,120.00,99.27,99.27,350.73,169.64
260.73,120.00,99.27,99.27,310.36,169.64
241.09,320.73,99.27,99.27,290.73,370.36
200.73,301.09,99.27,99.27,250.36,350.73
180.00,320.73,99.27,99.27,229.64,370.36
160.36,340.36,99.27,99.27,210.00,390.00
180.00,340.36,99.27,99.27,229.64,390.00
200.73,320.73,99.27,99.27,250.36,370.36
241.09,340.36,99.27,99.27,290.73,390.00
260.73,301.09,99.27,99.27,310.36,350.73
280.36,320.73,99.27,99.27,330.00,370.36
301.09,320.73,99.27,99.27,350.73,370.36
301.09,320.73,99.27,99.27,350.73,370.36
260.73,340.36,99.27,99.27,310.36,390.00
301.09,361.09,99.27,99.27,350.73,410.73
280.36,340.36,99.27,99.27,330.00,390.00
280.36,361.09,99.27,99.27,330.00,410.73
241.09,340.36,99.27,99.27,290.73,390.00
200.73,361.09,99.27,99.27,250.36,410.73
200.73,320.73,99.27,99.27,250.36,370.36
180.00,340.36,99.27,99.27,229.64,390.00
241.09,361.09,99.27,99.27,290.73,410.73
241.09,461.45,99.27,99.27,290.73,511.09
200.73,461.45,99.27,99.27,250.36,511.09
160.36,421.09,99.27,99.27,210.00,470.73
120.00,380.73,99.27,99.27,169.64,430.36
100.36,361.09,99.27,99.27,150.00,410.73
80.73,320.73,99.27,99.27,130.36,370.36
80.73,280.36,99.27,99.27,130.36,330.00
60.00,220.36,99.27,99.27,109.64,270.00
60.00,160.36,99.27,99.27,109.64,210.00
280.36,440.73,99.27,99.27,330.00,490.36
320.73,401.45,99.27,99.27,370.36,451.09
361.09,361.09,99.27,99.27,410.73,410.73
380.73,301.09,99.27,99.27,430.36,350.73
401.45,260.73,99.27,99.27,451.09,310.36
421.09,220.36,99.27,99.27,470.73,270.00
440.73,160.36,99.27,99.27,490.36,210.00
440.73,100.36,99.27,99.27,490.36,150.00
