104,0
x,y,dx,dy,x_c,y_c
121.00,133.00,29.00,29.00,135.50,147.50
115.00,133.00,29.00,29.00,129.50,147.50
109.00,133.00,29.00,29.00,123.50,147.50
127.00,133.00,29.00,29.00,141.50,147.50
133.00,133.00,29.00,29.00,147.50,147.50
121.00,121.00,29.00,29.00,135.50,135.50
121.00,115.00,29.00,29.00,135.50,129.50
121.00,109.00,29.00,29.00,135.50,123.50
121.00,103.00,29.00,29.00,135.50,117.50
103.00,103.00,29.00,29.00,117.50,117.50
97.00,103.00,29.00,29.00,111.50,117.50
91.00,103.00,29.00,29.00,105.50,117.50
97.00,97.00,29.00,29.00,111.50,111.50
91.00,97.00,29.00,29.00,105.50,111.50
85.00,97.00,29.00,29.00,99.50,111.50
73.00,85.00,29.00,29.00,87.50,99.50
79.00,85.00,29.00,29.00,93.50,99.50
91.00,79.00,29.00,29.00,105.50,93.50
103.00,85.00,29.00,29.00,117.50,99.50
109.00,85.00,29.00,29.00,123.50,99.50
139.00,103.00,29.00,29.00,153.50,117.50
146.00,103.00,29.00,29.00,160.50,117.50
146.00,103.00,29.00,29.00,160.50,117.50
139.00,97.00,29.00,29.00,153.50,111.50
146.00,97.00,29.00,29.00,160.50,111.50
152.00,103.00,29.00,29.00,166.50,117.50
164.00,91.00,29.00,29.00,178.50,105.50
158.00,91.00,29.00,29.00,172.50,105.50
146.00,85.00,29.00,29.00,160.50,99.50
139.00,85.00,29.00,29.00,153.50,99.50
127.00,85.00,29.00,29.00,141.50,99.50
121.00,139.00,29.00,29.00,135.50,153.50
109.00,139.00,29.00,29.00,123.50,153.50
103.00,139.00,29.00,29.00,117.50,153.50
97.00,152.00,29.00,29.00,111.50,166.50
103.00,152.00,29.00,29.00,117.50,166.50
109.00,146.00,29.00,29.00,123.50,160.50
121.00,146.00,29.00,29.00,135.50,160.50
133.00,133.00,29.00,29.00,147.50,147.50
139.00,139.00,29.00,29.00,153.50,153.50
146.00,146.00,29.00,29.00,160.50,160.50
139.00,146.00,29.00,29.00,153.50,160.50
139.00,139.00,29.00,29.00,153.50,153.50
139.00,158.00,29.00,29.00,153.50,172.50
133.00,152.00,29.00,29.00,147.50,166.50
133.00,164.00,29.00,29.00,147.50,178.50
115.00,158.00,29.00,29.00,129.50,172.50
103.00,164.00,29.00,29.00,117.50,178.50
109.00,152.00,29.00,29.00,123.50,166.50
103.00,158.00,29.00,29.00,117.50,172.50
115.00,164.00,29.00,29.00,129.50,178.50
121.00,194.00,29.00,29.00,135.50,208.50
103.00,188.00,29.00,29.00,117.50,202.50
91.00,176.00,29.00,29.00,105.50,190.50
73.00,164.00,29.00,29.00,87.50,178.50
61.00,152.00,29.00,29.00,75.50,166.50
55.00,133.00,29.00,29.00,69.50,147.50
49.00,115.00,29.00,29.00,63.50,129.50
42.00,91.00,29.00,29.00,56.50,105.50
42.00,73.00,29.00,29.00,56.50,87.50
133.00,188.00,29.00,29.00,147.50,202.50
146.00,176.00,29.00,29.00,160.50,190.50
152.00,164.00,29.00,29.00,166.50,178.50
158.00,146.00,29.00,29.00,172.50,160.50
164.00,133.00,29.00,29.00,178.50,147.50
170.00,121.00,29.00,29.00,184.50,135.50
176.00,103.00,29.00,29.00,190.50,117.50
176.00,91.00,29.00,29.00,190.50,105.50
