75,0
x,y,dx,dy,x_c,y_c
253.09,288.00,56.73,56.73,281.45,316.36
242.18,288.00,56.73,56.73,270.55,316.36
230.18,288.00,56.73,56.73,258.55,316.36
265.09,288.00,56.73,56.73,293.45,316.36
276.00,288.00,56.73,56.73,304.36,316.36
253.09,265.09,56.73,56.73,281.45,293.45
253.09,242.18,56.73,56.73,281.45,270.55
253.09,219.27,56.73,56.73,281.45,247.64
253.09,207.27,56.73,56.73,281.45,235.64
219.27,207.27,56.73,56.73,247.64,235.64
219.27,207.27,56.73,56.73,247.64,235.64
219.27,207.27,56.73,56.73,247.64,235.64
207.27,207.27,56.73,56.73,235.64,235.64
207.27,207.27,56.73,56.73,235.64,235.64
195.27,207.27,56.73,56.73,223.64,235.64
161.45,195.27,56.73,56.73,189.82,223.64
172.36,184.36,56.73,56.73,200.73,212.73
184.36,172.36,56.73,56.73,212.73,200.73
207.27,184.36,56.73,56.73,235.64,212.73
230.18,195.27,56.73,56.73,258.55,223.64
288.00,219.27,56.73,56.73,316.36,247.64
298.91,219.27,56.73,56.73,327.27,247.64
310.91,219.27,56.73,56.73,339.27,247.64
298.91,207.27,56.73,56.73,327.27,235.64
310.91,207.27,56.73,56.73,339.27,235.64
322.91,219.27,56.73,56.73,351.27,247.64
356.73,195.27,56.73,56.73,385.09,223.64
333.82,184.36,56.73,56.73,362.18,212.73
310.91,184.36,56.73,56.73,339.27,212.73
298.91,184.36,56.73,56.73,327.27,212.73
276.00,184.36,56.73,56.73,304.36,212.73
253.09,298.91,56.73,56.73,281.45,327.27
230.18,298.91,56.73,56.73,258.55,327.27
219.27,310.91,56.73,56.73,247.64,339.27
207.27,333.82,56.73,56.73,235.64,362.18
219.27,322.91,56.73,56.73,247.64,351.27
230.18,310.91,56.73,56.73,258.55,339.27
253.09,310.91,56.73,56.73,281.45,339.27
276.00,298.91,56.73,56.73,304.36,327.27
298.91,310.91,56.73,56.73,327.27,339.27
310.91,322.91,56.73,56.73,339.27,351.27
298.91,310.91,56.73,56.73,327.27,339.27
288.00,310.91,56.73,56.73,316.36,339.27
298.91,356.73,56.73,56.73,327.27,385.09
288.00,345.82,56.73,56.73,316.36,374.18
288.00,368.73,56.73,56.73,316.36,397.09
265.09,356.73,56.73,56.73,293.45,385.09
230.18,368.73,56.73,56.73,258.55,397.09
230.18,345.82,56.73,56.73,258.55,374.18
219.27,345.82,56.73,56.73,247.64,374.18
265.09,368.73,56.73,56.73,293.45,397.09
265.09,414.55,56.73,56.73,293.45,442.91
242.18,402.55,56.73,56.73,270.55,430.91
219.27,379.64,56.73,56.73,247.64,408.00
195.27,345.82,56.73,56.73,223.64,374.18
172.36,322.91,56.73,56.73,200.73,351.27
161.45,288.00,56.73,56.73,189.82,316.36
149.45,265.09,56.73,56.73,177.82,293.45
138.55,230.18,56.73,56.73,166.91,258.55
138.55,207.27,56.73,56.73,166.91,235.64
298.91,402.55,56.73,56.73,327.27,430.91
333.82,379.64,56.73,56.73,362.18,408.00
391.64,368.73,56.73,56.73,420.00,397.09
402.55,333.82,56.73,56.73,430.91,362.18
426.55,310.91,56.73,56.73,454.91,339.27
437.45,276.00,56.73,56.73,465.82,304.36
449.45,242.18,56.73,56.73,477.82,270.55
449.45,219.27,56.73,56.73,477.82,247.64
