99,0
x,y,dx,dy,x_c,y_c
289.11,325.25,89.22,89.22,333.72,369.85
271.04,325.25,89.22,89.22,315.65,369.85
252.97,307.18,89.22,89.22,297.58,351.78
307.18,325.25,89.22,89.22,351.78,369.85
307.18,325.25,89.22,89.22,351.78,369.85
289.11,289.11,89.22,89.22,333.72,333.72
289.11,271.04,89.22,89.22,333.72,315.65
289.11,234.90,89.22,89.22,333.72,279.51
289.11,216.83,89.22,89.22,333.72,261.44
234.90,216.83,89.22,89.22,279.51,261.44
234.90,216.83,89.22,89.22,279.51,261.44
234.90,216.83,89.22,89.22,279.51,261.44
216.83,216.83,89.22,89.22,261.44,261.44
216.83,216.83,89.22,89.22,261.44,261.44
198.76,234.90,89.22,89.22,243.37,279.51
162.62,216.83,89.22,89.22,207.23,261.44
180.69,198.76,89.22,89.22,225.30,243.37
198.76,180.69,89.22,89.22,243.37,225.30
234.90,180.69,89.22,89.22,279.51,225.30
252.97,198.76,89.22,89.22,297.58,243.37
325.25,216.83,89.22,89.22,369.85,261.44
343.31,216.83,89.22,89.22,387.92,261.44
343.31,216.83,89.22,89.22,387.92,261.44
325.25,216.83,89.22,89.22,369.85,261.44
343.31,216.83,89.22,89.22,387.92,261.44
361.38,216.83,89.22,89.22,405.99,261.44
397.52,180.69,89.22,89.22,442.13,225.30
379.45,180.69,89.22,89.22,424.06,225.30
343.31,180.69,89.22,89.22,387.92,225.30
325.25,180.69,89.22,89.22,369.85,225.30
307.18,180.69,89.22,89.22,351.78,225.30
289.11,343.31,89.22,89.22,333.72,387.92
271.04,343.31,89.22,89.22,315.65,387.92
252.97,361.38,89.22,89.22,297.58,405.99
234.90,397.52,89.22,89.22,279.51,442.13
252.97,379.45,89.22,89.22,297.58,424.06
271.04,361.38,89.22,89.22,315.65,405.99
289.11,361.38,89.22,89.22,333.72,405.99
325.25,343.31,89.22,89.22,369.85,387.92
343.31,361.38,89.22,89.22,387.92,405.99
343.31,361.38,89.22,89.22,387.92,405.99
343.31,361.38,89.22,89.22,387.92,405.99
325.25,361.38,89.22,89.22,369.85,405.99
343.31,397.52,89.22,89.22,387.92,442.13
325.25,379.45,89.22,89.22,369.85,424.06
325.25,397.52,89.22,89.22,369.85,442.13
289.11,379.45,89.22,89.22,333.72,424.06
252.97,397.52,89.22,89.22,297.58,442.13
252.97,361.38,89.22,89.22,297.58,405.99
234.90,379.45,89.22,89.22,279.51,424.06
289.11,397.52,89.22,89.22,333.72,442.13
289.11,505.94,89.22,89.22,333.72,550.55
252.97,487.87,89.22,89.22,297.58,532.48
216.83,451.73,89.22,89.22,261.44,496.34
180.69,415.59,89.22,89.22,225.30,460.20
162.62,361.38,89.22,89.22,207.23,405.99
144.55,307.18,89.22,89.22,189.16,351.78
126.48,271.04,89.22,89.22,171.09,315.65
108.42,216.83,89.22,89.22,153.02,261.44
108.42,162.62,89.22,89.22,153.02,207.23
325.25,487.87,89.22,89.22,369.85,532.48
361.38,451.73,89.22,89.22,405.99,496.34
379.45,415.59,89.22,89.22,424.06,460.20
397.52,361.38,89.22,89.22,442.13,405.99
397.52,325.25,89.22,89.22,442.13,369.85
415.59,289.11,89.22,89.22,460.20,333.72
433.66,234.90,89.22,89.22,478.27,279.51
433.66,198.76,89.22,89.22,478.27,243.37
