180,0
x,y,dx,dy,x_c,y_c
168.00,184.00,39.00,39.00,187.50,203.50
160.00,184.00,39.00,39.00,179.50,203.50
152.00,184.00,39.00,39.00,171.50,203.50
176.00,184.00,39.00,39.00,195.50,203.50
184.00,184.00,39.00,39.00,203.50,203.50
168.00,168.00,39.00,39.00,187.50,187.50
168.00,160.00,39.00,39.00,187.50,179.50
168.00,144.00,39.00,39.00,187.50,163.50
168.00,136.00,39.00,39.00,187.50,155.50
144.00,136.00,39.00,39.00,163.50,155.50
136.00,136.00,39.00,39.00,155.50,155.50
128.00,136.00,39.00,39.00,147.50,155.50
136.00,136.00,39.00,39.00,155.50,155.50
128.00,136.00,39.00,39.00,147.50,155.50
120.00,136.00,39.00,39.00,139.50,155.50
104.00,120.00,39.00,39.00,123.50,139.50
112.00,112.00,39.00,39.00,131.50,131.50
128.00,112.00,39.00,39.00,147.50,131.50
144.00,120.00,39.00,39.00,163.50,139.50
152.00,120.00,39.00,39.00,171.50,139.50
192.00,136.00,39.00,39.00,211.50,155.50
200.00,136.00,39.00,39.00,219.50,155.50
200.00,136.00,39.00,39.00,219.50,155.50
192.00,136.00,39.00,39.00,211.50,155.50
200.00,136.00,39.00,39.00,219.50,155.50
208.00,136.00,39.00,39.00,227.50,155.50
224.00,120.00,39.00,39.00,243.50,139.50
216.00,120.00,39.00,39.00,235.50,139.50
208.00,120.00,39.00,39.00,227.50,139.50
200.00,120.00,39.00,39.00,219.50,139.50
184.00,120.00,39.00,39.00,203.50,139.50
168.00,192.00,39.00,39.00,187.50,211.50
160.00,192.00,39.00,39.00,179.50,211.50
144.00,192.00,39.00,39.00,163.50,211.50
136.00,200.00,39.00,39.00,155.50,219.50
136.00,200.00,39.00,39.00,155.50,219.50
152.00,200.00,39.00,39.00,171.50,219.50
168.00,200.00,39.00,39.00,187.50,219.50
184.00,192.00,39.00,39.00,203.50,211.50
192.00,200.00,39.00,39.00,211.50,219.50
200.00,200.00,39.00,39.00,219.50,219.50
192.00,200.00,39.00,39.00,211.50,219.50
192.00,200.00,39.00,39.00,211.50,219.50
192.00,208.00,39.00,39.00,211.50,227.50
176.00,208.00,39.00,39.00,195.50,227.50
176.00,216.00,39.00,39.00,195.50,235.50
160.00,216.00,39.00,39.00,179.50,235.50
144.00,224.00,39.00,39.00,163.50,243.50
144.00,208.00,39.00,39.00,163.50,227.50
136.00,208.00,39.00,39.00,155.50,227.50
160.00,224.00,39.00,39.00,179.50,243.50
160.00,264.00,39.00,39.00,179.50,283.50
144.00,256.00,39.00,39.00,163.50,275.50
128.00,240.00,39.00,39.00,147.50,259.50
112.00,224.00,39.00,39.00,131.50,243.50
104.00,208.00,39.00,39.00,123.50,227.50
96.00,184.00,39.00,39.00,115.50,203.50
96.00,168.00,39.00,39.00,115.50,187.50
88.00,144.00,39.00,39.00,107.50,163.50
88.00,128.00,39.00,39.00,107.50,147.50
176.00,256.00,39.00,39.00,195.50,275.50
192.00,248.00,39.00,39.00,211.50,267.50
208.00,232.00,39.00,39.00,227.50,251.50
216.00,208.00,39.00,39.00,235.50,227.50
224.00,192.00,39.00,39.00,243.50,211.50
232.00,168.00,39.00,39.00,251.50,187.50
240.00,144.00,39.00,39.00,259.50,163.50
240.00,128.00,39.00,39.00,259.50,147.50
