92,0
x,y,dx,dy,x_c,y_c
88.00,104.00,19.00,19.00,97.50,113.50
84.00,104.00,19.00,19.00,93.50,113.50
80.00,100.00,19.00,19.00,89.50,109.50
92.00,104.00,19.00,19.00,101.50,113.50
96.00,104.00,19.00,19.00,105.50,113.50
88.00,96.00,19.00,19.00,97.50,105.50
88.00,92.00,19.00,19.00,97.50,101.50
88.00,84.00,19.00,19.00,97.50,93.50
88.00,80.00,19.00,19.00,97.50,89.50
80.00,80.00,19.00,19.00,89.50,89.50
76.00,80.00,19.00,19.00,85.50,89.50
76.00,80.00,19.00,19.00,85.50,89.50
76.00,80.00,19.00,19.00,85.50,89.50
76.00,80.00,19.00,19.00,85.50,89.50
72.00,80.00,19.00,19.00,81.50,89.50
60.00,76.00,19.00,19.00,69.50,85.50
64.00,72.00,19.00,19.00,73.50,81.50
68.00,68.00,19.00,19.00,77.50,77.50
76.00,72.00,19.00,19.00,85.50,81.50
84.00,72.00,19.00,19.00,93.50,81.50
100.00,80.00,19.00,19.00,109.50,89.50
104.00,80.00,19.00,19.00,113.50,89.50
108.00,80.00,19.00,19.00,117.50,89.50
104.00,80.00,19.00,19.00,113.50,89.50
108.00,80.00,19.00,19.00,117.50,89.50
112.00,80.00,19.00,19.00,121.50,89.50
120.00,72.00,19.00,19.00,129.50,81.50
116.00,68.00,19.00,19.00,125.50,77.50
108.00,68.00,19.00,19.00,117.50,77.50
104.00,68.00,19.00,19.00,113.50,77.50
96.00,72.00,19.00,19.00,105.50,81.50
88.00,108.00,19.00,19.00,97.50,117.50
84.00,104.00,19.00,19.00,93.50,113.50
76.00,104.00,19.00,19.00,85.50,113.50
72.00,112.00,19.00,19.00,81.50,121.50
76.00,112.00,19.00,19.00,85.50,121.50
80.00,104.00,19.00,19.00,89.50,113.50
84.00,112.00,19.00,19.00,93.50,121.50
96.00,108.00,19.00,19.00,105.50,117.50
104.00,112.00,19.00,19.00,113.50,121.50
108.00,116.00,19.00,19.00,117.50,125.50
104.00,116.00,19.00,19.00,113.50,125.50
100.00,116.00,19.00,19.00,109.50,125.50
104.00,120.00,19.00,19.00,113.50,129.50
100.00,116.00,19.00,19.00,109.50,125.50
100.00,124.00,19.00,19.00,109.50,133.50
92.00,120.00,19.00,19.00,101.50,129.50
84.00,124.00,19.00,19.00,93.50,133.50
84.00,116.00,19.00,19.00,93.50,125.50
80.00,116.00,19.00,19.00,89.50,125.50
92.00,124.00,19.00,19.00,101.50,133.50
92.00,144.00,19.00,19.00,101.50,153.50
84.00,140.00,19.00,19.00,93.50,149.50
76.00,132.00,19.00,19.00,85.50,141.50
68.00,124.00,19.00,19.00,77.50,133.50
64.00,116.00,19.00,19.00,73.50,125.50
60.00,104.00,19.00,19.00,69.50,113.50
60.00,92.00,19.00,19.00,69.50,101.50
56.00,80.00,19.00,19.00,65.50,89.50
56.00,68.00,19.00,19.00,65.50,77.50
100.00,140.00,19.00,19.00,109.50,149.50
108.00,132.00,19.00,19.00,117.50,141.50
120.00,124.00,19.00,19.00,129.50,133.50
124.00,112.00,19.00,19.00,133.50,121.50
128.00,104.00,19.00,19.00,137.50,113.50
132.00,96.00,19.00,19.00,141.50,105.50
136.00,84.00,19.00,19.00,145.50,93.50
136.00,76.00,19.00,19.00,145.50,85.50
