54,15
x,y,dx,dy,x_c,y_c
253.17,325.50,89.29,89.29,297.81,370.14
235.08,325.50,89.29,89.29,279.72,370.14
217.00,325.50,89.29,89.29,261.64,370.14
253.17,325.50,89.29,89.29,297.81,370.14
271.25,325.50,89.29,89.29,315.89,370.14
217.00,271.25,89.29,89.29,261.64,315.89
217.00,253.17,89.29,89.29,261.64,297.81
217.00,235.08,89.29,89.29,261.64,279.72
217.00,198.92,89.29,89.29,261.64,243.56
180.83,217.00,89.29,89.29,225.48,261.64
162.75,217.00,89.29,89.29,207.39,261.64
144.67,217.00,89.29,89.29,189.31,261.64
162.75,217.00,89.29,89.29,207.39,261.64
144.67,217.00,89.29,89.29,189.31,261.64
126.58,235.08,89.29,89.29,171.23,279.72
90.42,198.92,89.29,89.29,135.06,243.56
108.50,180.83,89.29,89.29,153.14,225.48
144.67,180.83,89.29,89.29,189.31,225.48
162.75,180.83,89.29,89.29,207.39,225.48
180.83,180.83,89.29,89.29,225.48,225.48
271.25,198.92,89.29,89.29,315.89,243.56
289.33,198.92,89.29,89.29,333.97,243.56
307.41,198.92,89.29,89.29,352.06,243.56
289.33,180.83,89.29,89.29,333.97,225.48
307.41,180.83,89.29,89.29,352.06,225.48
325.50,198.92,89.29,89.29,370.14,243.56
379.75,180.83,89.29,89.29,424.39,225.48
343.58,162.75,89.29,89.29,388.22,207.39
307.41,144.67,89.29,89.29,352.06,189.31
271.25,144.67,89.29,89.29,315.89,189.31
235.08,162.75,89.29,89.29,279.72,207.39
253.17,343.58,89.29,89.29,297.81,388.22
253.17,343.58,89.29,89.29,297.81,388.22
253.17,343.58,89.29,89.29,297.81,388.22
235.08,361.66,89.29,89.29,279.72,406.31
253.17,361.66,89.29,89.29,297.81,406.31
271.25,343.58,89.29,89.29,315.89,388.22
253.17,361.66,89.29,89.29,297.81,406.31
289.33,325.50,89.29,89.29,333.97,370.14
325.50,325.50,89.29,89.29,370.14,370.14
343.58,343.58,89.29,89.29,388.22,388.22
325.50,343.58,89.29,89.29,370.14,388.22
289.33,343.58,89.29,89.29,333.97,388.22
325.50,361.66,89.29,89.29,370.14,406.31
307.41,343.58,89.29,89.29,352.06,388.22
307.41,361.66,89.29,89.29,352.06,406.31
289.33,343.58,89.29,89.29,333.97,388.22
253.17,379.75,89.29,89.29,297.81,424.39
253.17,343.58,89.29,89.29,297.81,388.22
235.08,379.75,89.29,89.29,279.72,424.39
289.33,361.66,89.29,89.29,333.97,406.31
271.25,452.08,89.29,89.29,315.89,496.72
253.17,434.00,89.29,89.29,297.81,478.64
235.08,415.91,89.29,89.29,279.72,460.56
217.00,379.75,89.29,89.29,261.64,424.39
198.92,343.58,89.29,89.29,243.56,388.22
198.92,307.41,89.29,89.29,243.56,352.06
180.83,271.25,89.29,89.29,225.48,315.89
180.83,253.17,89.29,89.29,225.48,297.81
180.83,217.00,89.29,89.29,225.48,261.64
325.50,434.00,89.29,89.29,370.14,478.64
361.66,415.91,89.29,89.29,406.31,460.56
415.91,397.83,89.29,89.29,460.56,442.47
452.08,361.66,89.29,89.29,496.72,406.31
488.25,325.50,89.29,89.29,532.89,370.14
488.25,289.33,89.29,89.29,532.89,333.97
488.25,235.08,89.29,89.29,532.89,279.72
488.25,198.92,89.29,89.29,532.89,243.56
