70,-45
x,y,dx,dy,x_c,y_c
304.36,291.27,65.45,65.45,337.09,324.00
291.27,291.27,65.45,65.45,324.00,324.00
278.18,291.27,65.45,65.45,310.91,324.00
304.36,291.27,65.45,65.45,337.09,324.00
317.45,278.18,65.45,65.45,350.18,310.91
330.55,250.91,65.45,65.45,363.27,283.64
317.45,224.73,65.45,65.45,350.18,257.45
304.36,198.55,65.45,65.45,337.09,231.27
291.27,185.45,65.45,65.45,324.00,218.18
250.91,198.55,65.45,65.45,283.64,231.27
237.82,198.55,65.45,65.45,270.55,231.27
224.73,198.55,65.45,65.45,257.45,231.27
237.82,185.45,65.45,65.45,270.55,218.18
224.73,185.45,65.45,65.45,257.45,218.18
224.73,198.55,65.45,65.45,257.45,231.27
185.45,172.36,65.45,65.45,218.18,205.09
198.55,159.27,65.45,65.45,231.27,192.00
224.73,145.09,65.45,65.45,257.45,177.82
237.82,145.09,65.45,65.45,270.55,177.82
265.09,159.27,65.45,65.45,297.82,192.00
304.36,172.36,65.45,65.45,337.09,205.09
317.45,185.45,65.45,65.45,350.18,218.18
317.45,185.45,65.45,65.45,350.18,218.18
317.45,159.27,65.45,65.45,350.18,192.00
317.45,159.27,65.45,65.45,350.18,192.00
317.45,172.36,65.45,65.45,350.18,205.09
330.55,145.09,65.45,65.45,363.27,177.82
330.55,132.00,65.45,65.45,363.27,164.73
317.45,132.00,65.45,65.45,350.18,164.73
304.36,132.00,65.45,65.45,337.09,164.73
304.36,132.00,65.45,65.45,337.09,164.73
304.36,304.36,65.45,65.45,337.09,337.09
278.18,304.36,65.45,65.45,310.91,337.09
265.09,317.45,65.45,65.45,297.82,350.18
250.91,330.55,65.45,65.45,283.64,363.27
265.09,330.55,65.45,65.45,297.82,363.27
278.18,317.45,65.45,65.45,310.91,350.18
304.36,317.45,65.45,65.45,337.09,350.18
317.45,291.27,65.45,65.45,350.18,324.00
317.45,304.36,65.45,65.45,350.18,337.09
317.45,304.36,65.45,65.45,350.18,337.09
317.45,304.36,65.45,65.45,350.18,337.09
304.36,304.36,65.45,65.45,337.09,337.09
317.45,330.55,65.45,65.45,350.18,363.27
304.36,317.45,65.45,65.45,337.09,350.18
304.36,343.64,65.45,65.45,337.09,376.36
304.36,330.55,65.45,65.45,337.09,363.27
278.18,343.64,65.45,65.45,310.91,376.36
291.27,317.45,65.45,65.45,324.00,350.18
265.09,343.64,65.45,65.45,297.82,376.36
304.36,343.64,65.45,65.45,337.09,376.36
291.27,423.27,65.45,65.45,324.00,456.00
250.91,423.27,65.45,65.45,283.64,456.00
224.73,410.18,65.45,65.45,257.45,442.91
185.45,397.09,65.45,65.45,218.18,429.82
159.27,370.91,65.45,65.45,192.00,403.64
132.00,330.55,65.45,65.45,164.73,363.27
118.91,291.27,65.45,65.45,151.64,324.00
105.82,250.91,65.45,65.45,138.55,283.64
92.73,211.64,65.45,65.45,125.45,244.36
317.45,410.18,65.45,65.45,350.18,442.91
330.55,384.00,65.45,65.45,363.27,416.73
330.55,343.64,65.45,65.45,363.27,376.36
343.64,317.45,65.45,65.45,376.36,350.18
343.64,291.27,65.45,65.45,376.36,324.00
356.73,265.09,65.45,65.45,389.45,297.82
343.64,237.82,65.45,65.45,376.36,270.55
330.55,211.64,65.45,65.45,363.27,244.36
