137,0
x,y,dx,dy,x_c,y_c
275.82,304.96,71.82,71.82,311.73,340.87
261.25,304.96,71.82,71.82,297.15,340.87
246.67,304.96,71.82,71.82,282.58,340.87
290.39,304.96,71.82,71.82,326.30,340.87
304.96,304.96,71.82,71.82,340.87,340.87
275.82,275.82,71.82,71.82,311.73,311.73
275.82,246.67,71.82,71.82,311.73,282.58
275.82,217.53,71.82,71.82,311.73,253.44
275.82,202.96,71.82,71.82,311.73,238.87
232.10,202.96,71.82,71.82,268.01,238.87
217.53,202.96,71.82,71.82,253.44,238.87
202.96,202.96,71.82,71.82,238.87,238.87
217.53,188.39,71.82,71.82,253.44,224.30
202.96,188.39,71.82,71.82,238.87,224.30
188.39,202.96,71.82,71.82,224.30,238.87
144.67,173.82,71.82,71.82,180.58,209.73
159.25,159.25,71.82,71.82,195.15,195.15
188.39,144.67,71.82,71.82,224.30,180.58
217.53,159.25,71.82,71.82,253.44,195.15
246.67,173.82,71.82,71.82,282.58,209.73
304.96,202.96,71.82,71.82,340.87,238.87
318.49,202.96,71.82,71.82,354.40,238.87
333.06,202.96,71.82,71.82,368.97,238.87
318.49,202.96,71.82,71.82,354.40,238.87
333.06,202.96,71.82,71.82,368.97,238.87
347.63,202.96,71.82,71.82,383.54,238.87
376.78,173.82,71.82,71.82,412.68,209.73
362.21,173.82,71.82,71.82,398.11,209.73
347.63,159.25,71.82,71.82,383.54,195.15
318.49,159.25,71.82,71.82,354.40,195.15
290.39,159.25,71.82,71.82,326.30,195.15
275.82,318.49,71.82,71.82,311.73,354.40
246.67,318.49,71.82,71.82,282.58,354.40
217.53,318.49,71.82,71.82,253.44,354.40
202.96,333.06,71.82,71.82,238.87,368.97
217.53,333.06,71.82,71.82,253.44,368.97
232.10,333.06,71.82,71.82,268.01,368.97
275.82,333.06,71.82,71.82,311.73,368.97
304.96,304.96,71.82,71.82,340.87,340.87
318.49,318.49,71.82,71.82,354.40,354.40
333.06,318.49,71.82,71.82,368.97,354.40
318.49,318.49,71.82,71.82,354.40,354.40
318.49,318.49,71.82,71.82,354.40,354.40
318.49,347.63,71.82,71.82,354.40,383.54
304.96,347.63,71.82,71.82,340.87,383.54
304.96,376.78,71.82,71.82,340.87,412.68
261.25,362.21,71.82,71.82,297.15,398.11
217.53,376.78,71.82,71.82,253.44,412.68
232.10,347.63,71.82,71.82,268.01,383.54
217.53,347.63,71.82,71.82,253.44,383.54
261.25,376.78,71.82,71.82,297.15,412.68
261.25,449.63,71.82,71.82,297.15,485.54
217.53,435.06,71.82,71.82,253.44,470.97
188.39,405.92,71.82,71.82,224.30,441.83
159.25,376.78,71.82,71.82,195.15,412.68
144.67,347.63,71.82,71.82,180.58,383.54
130.10,304.96,71.82,71.82,166.01,340.87
130.10,275.82,71.82,71.82,166.01,311.73
115.53,232.10,71.82,71.82,151.44,268.01
115.53,188.39,71.82,71.82,151.44,224.30
290.39,435.06,71.82,71.82,326.30,470.97
318.49,405.92,71.82,71.82,354.40,441.83
333.06,376.78,71.82,71.82,368.97,412.68
347.63,333.06,71.82,71.82,383.54,368.97
376.78,304.96,71.82,71.82,412.68,340.87
391.35,275.82,71.82,71.82,427.26,311.73
405.92,232.10,71.82,71.82,441.83,268.01
405.92,202.96,71.82,71.82,441.83,238.87
