76,0
x,y,dx,dy,x_c,y_c
289.09,289.09,75.27,75.27,326.73,326.73
273.82,289.09,75.27,75.27,311.45,326.73
258.55,289.09,75.27,75.27,296.18,326.73
304.36,289.09,75.27,75.27,342.00,326.73
319.64,289.09,75.27,75.27,357.27,326.73
289.09,258.55,75.27,75.27,326.73,296.18
289.09,243.27,75.27,75.27,326.73,280.91
289.09,212.73,75.27,75.27,326.73,250.36
289.09,197.45,75.27,75.27,326.73,235.09
243.27,197.45,75.27,75.27,280.91,235.09
243.27,197.45,75.27,75.27,280.91,235.09
243.27,197.45,75.27,75.27,280.91,235.09
228.00,182.18,75.27,75.27,265.64,219.82
228.00,182.18,75.27,75.27,265.64,219.82
212.73,197.45,75.27,75.27,250.36,235.09
182.18,166.91,75.27,75.27,219.82,204.55
197.45,151.64,75.27,75.27,235.09,189.27
228.00,136.36,75.27,75.27,265.64,174.00
258.55,151.64,75.27,75.27,296.18,189.27
289.09,151.64,75.27,75.27,326.73,189.27
333.82,212.73,75.27,75.27,371.45,250.36
349.09,212.73,75.27,75.27,386.73,250.36
364.36,212.73,75.27,75.27,402.00,250.36
349.09,228.00,75.27,75.27,386.73,265.64
349.09,228.00,75.27,75.27,386.73,265.64
364.36,243.27,75.27,75.27,402.00,280.91
394.91,212.73,75.27,75.27,432.55,250.36
379.64,197.45,75.27,75.27,417.27,235.09
349.09,197.45,75.27,75.27,386.73,235.09
333.82,197.45,75.27,75.27,371.45,235.09
319.64,197.45,75.27,75.27,357.27,235.09
289.09,319.64,75.27,75.27,326.73,357.27
273.82,304.36,75.27,75.27,311.45,342.00
243.27,319.64,75.27,75.27,280.91,357.27
228.00,349.09,75.27,75.27,265.64,386.73
243.27,333.82,75.27,75.27,280.91,371.45
258.55,319.64,75.27,75.27,296.18,357.27
289.09,333.82,75.27,75.27,326.73,371.45
319.64,319.64,75.27,75.27,357.27,357.27
333.82,333.82,75.27,75.27,371.45,371.45
349.09,349.09,75.27,75.27,386.73,386.73
333.82,349.09,75.27,75.27,371.45,386.73
319.64,349.09,75.27,75.27,357.27,386.73
333.82,379.64,75.27,75.27,371.45,417.27
319.64,364.36,75.27,75.27,357.27,402.00
319.64,379.64,75.27,75.27,357.27,417.27
273.82,364.36,75.27,75.27,311.45,402.00
258.55,379.64,75.27,75.27,296.18,417.27
273.82,349.09,75.27,75.27,311.45,386.73
258.55,349.09,75.27,75.27,296.18,386.73
273.82,379.64,75.27,75.27,311.45,417.27
273.82,425.45,75.27,75.27,311.45,463.09
212.73,410.18,75.27,75.27,250.36,447.82
182.18,379.64,75.27,75.27,219.82,417.27
151.64,364.36,75.27,75.27,189.27,402.00
121.09,333.82,75.27,75.27,158.73,371.45
106.91,289.09,75.27,75.27,144.55,326.73
106.91,258.55,75.27,75.27,144.55,296.18
91.64,212.73,75.27,75.27,129.27,250.36
91.64,182.18,75.27,75.27,129.27,219.82
304.36,410.18,75.27,75.27,342.00,447.82
333.82,379.64,75.27,75.27,371.45,417.27
349.09,349.09,75.27,75.27,386.73,386.73
364.36,304.36,75.27,75.27,402.00,342.00
364.36,258.55,75.27,75.27,402.00,296.18
379.64,212.73,75.27,75.27,417.27,250.36
394.91,166.91,75.27,75.27,432.55,204.55
394.91,136.36,75.27,75.27,432.55,174.00
