129,0
x,y,dx,dy,x_c,y_c
239.78,350.45,91.07,91.07,285.32,395.98
239.78,350.45,91.07,91.07,285.32,395.98
221.34,350.45,91.07,91.07,266.87,395.98
258.23,350.45,91.07,91.07,303.76,395.98
276.67,350.45,91.07,91.07,322.20,395.98
239.78,313.56,91.07,91.07,285.32,359.09
239.78,295.11,91.07,91.07,285.32,340.65
239.78,258.23,91.07,91.07,285.32,303.76
239.78,239.78,91.07,91.07,285.32,285.32
184.45,239.78,91.07,91.07,229.98,285.32
184.45,258.23,91.07,91.07,229.98,303.76
166.00,258.23,91.07,91.07,211.54,303.76
166.00,239.78,91.07,91.07,211.54,285.32
166.00,239.78,91.07,91.07,211.54,285.32
147.56,258.23,91.07,91.07,193.09,303.76
92.22,221.34,91.07,91.07,137.76,266.87
110.67,202.89,91.07,91.07,156.20,248.43
129.11,184.45,91.07,91.07,174.65,229.98
166.00,202.89,91.07,91.07,211.54,248.43
202.89,202.89,91.07,91.07,248.43,248.43
295.11,239.78,91.07,91.07,340.65,285.32
313.56,239.78,91.07,91.07,359.09,285.32
313.56,239.78,91.07,91.07,359.09,285.32
295.11,221.34,91.07,91.07,340.65,266.87
313.56,221.34,91.07,91.07,359.09,266.87
313.56,239.78,91.07,91.07,359.09,285.32
350.45,202.89,91.07,91.07,395.98,248.43
332.00,184.45,91.07,91.07,377.54,229.98
313.56,184.45,91.07,91.07,359.09,229.98
295.11,184.45,91.07,91.07,340.65,229.98
258.23,184.45,91.07,91.07,303.76,229.98
239.78,368.89,91.07,91.07,285.32,414.43
221.34,368.89,91.07,91.07,266.87,414.43
202.89,368.89,91.07,91.07,248.43,414.43
184.45,387.34,91.07,91.07,229.98,432.87
184.45,387.34,91.07,91.07,229.98,432.87
221.34,368.89,91.07,91.07,266.87,414.43
239.78,387.34,91.07,91.07,285.32,432.87
276.67,350.45,91.07,91.07,322.20,395.98
295.11,368.89,91.07,91.07,340.65,414.43
313.56,368.89,91.07,91.07,359.09,414.43
295.11,387.34,91.07,91.07,340.65,432.87
295.11,368.89,91.07,91.07,340.65,414.43
313.56,405.78,91.07,91.07,359.09,451.32
295.11,387.34,91.07,91.07,340.65,432.87
295.11,405.78,91.07,91.07,340.65,451.32
239.78,387.34,91.07,91.07,285.32,432.87
202.89,405.78,91.07,91.07,248.43,451.32
202.89,368.89,91.07,91.07,248.43,414.43
184.45,387.34,91.07,91.07,229.98,432.87
239.78,405.78,91.07,91.07,285.32,451.32
239.78,498.01,91.07,91.07,285.32,543.54
184.45,479.56,91.07,91.07,229.98,525.10
147.56,461.12,91.07,91.07,193.09,506.65
110.67,442.67,91.07,91.07,156.20,488.21
73.78,424.23,91.07,91.07,119.31,469.76
55.33,387.34,91.07,91.07,100.87,432.87
36.89,350.45,91.07,91.07,82.42,395.98
18.44,295.11,91.07,91.07,63.98,340.65
18.44,258.23,91.07,91.07,63.98,303.76
276.67,498.01,91.07,91.07,322.20,543.54
313.56,479.56,91.07,91.07,359.09,525.10
332.00,461.12,91.07,91.07,377.54,506.65
350.45,424.23,91.07,91.07,395.98,469.76
350.45,387.34,91.07,91.07,395.98,432.87
350.45,350.45,91.07,91.07,395.98,395.98
368.89,295.11,91.07,91.07,414.43,340.65
368.89,258.23,91.07,91.07,414.43,303.76
