206,30
x,y,dx,dy,x_c,y_c
200.89,301.34,99.36,99.36,250.57,351.02
200.89,301.34,99.36,99.36,250.57,351.02
200.89,301.34,99.36,99.36,250.57,351.02
220.55,301.34,99.36,99.36,270.22,351.02
241.29,301.34,99.36,99.36,290.97,351.02
200.89,260.94,99.36,99.36,250.57,310.62
200.89,241.29,99.36,99.36,250.57,290.97
220.55,200.89,99.36,99.36,270.22,250.57
220.55,180.15,99.36,99.36,270.22,229.83
180.15,180.15,99.36,99.36,229.83,229.83
180.15,200.89,99.36,99.36,229.83,250.57
160.50,200.89,99.36,99.36,210.17,250.57
160.50,180.15,99.36,99.36,210.17,229.83
160.50,180.15,99.36,99.36,210.17,229.83
140.84,200.89,99.36,99.36,190.52,250.57
120.10,140.84,99.36,99.36,169.78,190.52
120.10,140.84,99.36,99.36,169.78,190.52
140.84,140.84,99.36,99.36,190.52,190.52
160.50,140.84,99.36,99.36,210.17,190.52
180.15,140.84,99.36,99.36,229.83,190.52
280.60,180.15,99.36,99.36,330.27,229.83
301.34,200.89,99.36,99.36,351.02,250.57
301.34,200.89,99.36,99.36,351.02,250.57
301.34,180.15,99.36,99.36,351.02,229.83
320.99,180.15,99.36,99.36,370.67,229.83
320.99,200.89,99.36,99.36,370.67,250.57
381.04,160.50,99.36,99.36,430.72,210.17
340.65,140.84,99.36,99.36,390.32,190.52
320.99,140.84,99.36,99.36,370.67,190.52
301.34,140.84,99.36,99.36,351.02,190.52
260.94,140.84,99.36,99.36,310.62,190.52
200.89,320.99,99.36,99.36,250.57,370.67
180.15,320.99,99.36,99.36,229.83,370.67
160.50,320.99,99.36,99.36,210.17,370.67
160.50,340.65,99.36,99.36,210.17,390.32
160.50,340.65,99.36,99.36,210.17,390.32
180.15,320.99,99.36,99.36,229.83,370.67
200.89,320.99,99.36,99.36,250.57,370.67
241.29,320.99,99.36,99.36,290.97,370.67
260.94,320.99,99.36,99.36,310.62,370.67
280.60,320.99,99.36,99.36,330.27,370.67
260.94,340.65,99.36,99.36,310.62,390.32
241.29,340.65,99.36,99.36,290.97,390.32
260.94,361.39,99.36,99.36,310.62,411.07
220.55,320.99,99.36,99.36,270.22,370.67
220.55,361.39,99.36,99.36,270.22,411.07
180.15,340.65,99.36,99.36,229.83,390.32
160.50,361.39,99.36,99.36,210.17,411.07
180.15,340.65,99.36,99.36,229.83,390.32
160.50,381.04,99.36,99.36,210.17,430.72
180.15,381.04,99.36,99.36,229.83,430.72
180.15,481.49,99.36,99.36,229.83,531.17
160.50,461.84,99.36,99.36,210.17,511.52
140.84,441.09,99.36,99.36,190.52,490.77
140.84,421.44,99.36,99.36,190.52,471.12
100.45,401.79,99.36,99.36,150.12,451.47
100.45,361.39,99.36,99.36,150.12,411.07
100.45,340.65,99.36,99.36,150.12,390.32
100.45,301.34,99.36,99.36,150.12,351.02
100.45,280.60,99.36,99.36,150.12,330.27
220.55,461.84,99.36,99.36,270.22,511.52
280.60,441.09,99.36,99.36,330.27,490.77
320.99,421.44,99.36,99.36,370.67,471.12
361.39,381.04,99.36,99.36,411.07,430.72
381.04,340.65,99.36,99.36,430.72,390.32
401.79,301.34,99.36,99.36,451.47,351.02
401.79,241.29,99.36,99.36,451.47,290.97
421.44,200.89,99.36,99.36,471.12,250.57
