141,0
x,y,dx,dy,x_c,y_c
226.91,279.27,86.18,86.18,270.00,322.36
209.45,279.27,86.18,86.18,252.55,322.36
192.00,261.82,86.18,86.18,235.09,304.91
244.36,261.82,86.18,86.18,287.45,304.91
261.82,261.82,86.18,86.18,304.91,304.91
226.91,244.36,86.18,86.18,270.00,287.45
226.91,226.91,86.18,86.18,270.00,270.00
226.91,192.00,86.18,86.18,270.00,235.09
226.91,192.00,86.18,86.18,270.00,235.09
174.55,209.45,86.18,86.18,217.64,252.55
157.09,209.45,86.18,86.18,200.18,252.55
157.09,226.91,86.18,86.18,200.18,270.00
157.09,209.45,86.18,86.18,200.18,252.55
139.64,209.45,86.18,86.18,182.73,252.55
122.18,226.91,86.18,86.18,165.27,270.00
87.27,192.00,86.18,86.18,130.36,235.09
104.73,174.55,86.18,86.18,147.82,217.64
122.18,157.09,86.18,86.18,165.27,200.18
157.09,157.09,86.18,86.18,200.18,200.18
192.00,157.09,86.18,86.18,235.09,200.18
279.27,192.00,86.18,86.18,322.36,235.09
296.73,192.00,86.18,86.18,339.82,235.09
314.18,192.00,86.18,86.18,357.27,235.09
296.73,174.55,86.18,86.18,339.82,217.64
314.18,174.55,86.18,86.18,357.27,217.64
331.64,192.00,86.18,86.18,374.73,235.09
384.00,157.09,86.18,86.18,427.09,200.18
366.55,139.64,86.18,86.18,409.64,182.73
331.64,139.64,86.18,86.18,374.73,182.73
296.73,139.64,86.18,86.18,339.82,182.73
261.82,157.09,86.18,86.18,304.91,200.18
226.91,296.73,86.18,86.18,270.00,339.82
209.45,296.73,86.18,86.18,252.55,339.82
192.00,314.18,86.18,86.18,235.09,357.27
174.55,349.09,86.18,86.18,217.64,392.18
192.00,349.09,86.18,86.18,235.09,392.18
209.45,314.18,86.18,86.18,252.55,357.27
226.91,314.18,86.18,86.18,270.00,357.27
261.82,296.73,86.18,86.18,304.91,339.82
279.27,314.18,86.18,86.18,322.36,357.27
296.73,349.09,86.18,86.18,339.82,392.18
279.27,331.64,86.18,86.18,322.36,374.73
261.82,314.18,86.18,86.18,304.91,357.27
279.27,384.00,86.18,86.18,322.36,427.09
261.82,366.55,86.18,86.18,304.91,409.64
261.82,401.45,86.18,86.18,304.91,444.55
226.91,384.00,86.18,86.18,270.00,427.09
209.45,401.45,86.18,86.18,252.55,444.55
192.00,384.00,86.18,86.18,235.09,427.09
174.55,384.00,86.18,86.18,217.64,427.09
226.91,401.45,86.18,86.18,270.00,444.55
226.91,488.73,86.18,86.18,270.00,531.82
174.55,488.73,86.18,86.18,217.64,531.82
139.64,471.27,86.18,86.18,182.73,514.36
104.73,436.36,86.18,86.18,147.82,479.45
87.27,418.91,86.18,86.18,130.36,462.00
69.82,384.00,86.18,86.18,112.91,427.09
69.82,349.09,86.18,86.18,112.91,392.18
52.36,296.73,86.18,86.18,95.45,339.82
52.36,244.36,86.18,86.18,95.45,287.45
279.27,471.27,86.18,86.18,322.36,514.36
331.64,453.82,86.18,86.18,374.73,496.91
401.45,436.36,86.18,86.18,444.55,479.45
436.36,384.00,86.18,86.18,479.45,427.09
453.82,349.09,86.18,86.18,496.91,392.18
471.27,314.18,86.18,86.18,514.36,357.27
488.73,261.82,86.18,86.18,531.82,304.91
488.73,226.91,86.18,86.18,531.82,270.00
