82,45
x,y,dx,dy,x_c,y_c
210.85,298.70,86.75,86.75,254.22,342.08
210.85,298.70,86.75,86.75,254.22,342.08
193.28,298.70,86.75,86.75,236.65,342.08
228.42,298.70,86.75,86.75,271.79,342.08
245.99,298.70,86.75,86.75,289.36,342.08
175.71,263.56,86.75,86.75,219.08,306.94
193.28,228.42,86.75,86.75,236.65,271.79
210.85,193.28,86.75,86.75,254.22,236.65
210.85,175.71,86.75,86.75,254.22,219.08
193.28,175.71,86.75,86.75,236.65,219.08
193.28,175.71,86.75,86.75,236.65,219.08
193.28,193.28,86.75,86.75,236.65,236.65
193.28,175.71,86.75,86.75,236.65,219.08
193.28,175.71,86.75,86.75,236.65,219.08
193.28,193.28,86.75,86.75,236.65,236.65
175.71,158.13,86.75,86.75,219.08,201.51
175.71,158.13,86.75,86.75,219.08,201.51
175.71,140.56,86.75,86.75,219.08,183.94
175.71,158.13,86.75,86.75,219.08,201.51
193.28,158.13,86.75,86.75,236.65,201.51
263.56,175.71,86.75,86.75,306.94,219.08
281.13,193.28,86.75,86.75,324.51,236.65
298.70,193.28,86.75,86.75,342.08,236.65
281.13,175.71,86.75,86.75,324.51,219.08
298.70,175.71,86.75,86.75,342.08,219.08
316.27,193.28,86.75,86.75,359.65,236.65
368.98,158.13,86.75,86.75,412.36,201.51
333.84,158.13,86.75,86.75,377.22,201.51
298.70,140.56,86.75,86.75,342.08,183.94
281.13,140.56,86.75,86.75,324.51,183.94
245.99,140.56,86.75,86.75,289.36,183.94
228.42,333.84,86.75,86.75,271.79,377.22
210.85,333.84,86.75,86.75,254.22,377.22
228.42,333.84,86.75,86.75,271.79,377.22
228.42,351.41,86.75,86.75,271.79,394.79
228.42,333.84,86.75,86.75,271.79,377.22
210.85,351.41,86.75,86.75,254.22,394.79
228.42,351.41,86.75,86.75,271.79,394.79
263.56,333.84,86.75,86.75,306.94,377.22
298.70,333.84,86.75,86.75,342.08,377.22
316.27,333.84,86.75,86.75,359.65,377.22
281.13,351.41,86.75,86.75,324.51,394.79
263.56,351.41,86.75,86.75,306.94,394.79
298.70,368.98,86.75,86.75,342.08,412.36
281.13,351.41,86.75,86.75,324.51,394.79
281.13,368.98,86.75,86.75,324.51,412.36
245.99,351.41,86.75,86.75,289.36,394.79
245.99,386.55,86.75,86.75,289.36,429.93
245.99,351.41,86.75,86.75,289.36,394.79
228.42,368.98,86.75,86.75,271.79,412.36
245.99,368.98,86.75,86.75,289.36,412.36
245.99,456.83,86.75,86.75,289.36,500.21
228.42,439.26,86.75,86.75,271.79,482.64
228.42,404.12,86.75,86.75,271.79,447.50
228.42,368.98,86.75,86.75,271.79,412.36
210.85,351.41,86.75,86.75,254.22,394.79
193.28,316.27,86.75,86.75,236.65,359.65
193.28,281.13,86.75,86.75,236.65,324.51
193.28,263.56,86.75,86.75,236.65,306.94
193.28,228.42,86.75,86.75,236.65,271.79
298.70,456.83,86.75,86.75,342.08,500.21
351.41,439.26,86.75,86.75,394.79,482.64
404.12,421.69,86.75,86.75,447.50,465.07
439.26,404.12,86.75,86.75,482.64,447.50
474.40,351.41,86.75,86.75,517.78,394.79
491.97,298.70,86.75,86.75,535.35,342.08
491.97,245.99,86.75,86.75,535.35,289.36
491.97,210.85,86.75,86.75,535.35,254.22
