47,0
x,y,dx,dy,x_c,y_c
144.00,152.00,39.00,39.00,163.50,171.50
136.00,152.00,39.00,39.00,155.50,171.50
128.00,152.00,39.00,39.00,147.50,171.50
160.00,152.00,39.00,39.00,179.50,171.50
168.00,152.00,39.00,39.00,187.50,171.50
144.00,136.00,39.00,39.00,163.50,155.50
144.00,120.00,39.00,39.00,163.50,139.50
144.00,104.00,39.00,39.00,163.50,123.50
144.00,96.00,39.00,39.00,163.50,115.50
120.00,96.00,39.00,39.00,139.50,115.50
112.00,96.00,39.00,39.00,131.50,115.50
112.00,96.00,39.00,39.00,131.50,115.50
112.00,96.00,39.00,39.00,131.50,115.50
112.00,96.00,39.00,39.00,131.50,115.50
104.00,96.00,39.00,39.00,123.50,115.50
80.00,80.00,39.00,39.00,99.50,99.50
88.00,72.00,39.00,39.00,107.50,91.50
96.00,64.00,39.00,39.00,115.50,83.50
104.00,64.00,39.00,39.00,123.50,83.50
112.00,64.00,39.00,39.00,131.50,83.50
168.00,96.00,39.00,39.00,187.50,115.50
176.00,96.00,39.00,39.00,195.50,115.50
184.00,96.00,39.00,39.00,203.50,115.50
176.00,96.00,39.00,39.00,195.50,115.50
184.00,96.00,39.00,39.00,203.50,115.50
192.00,104.00,39.00,39.00,211.50,123.50
208.00,88.00,39.00,39.00,227.50,107.50
208.00,88.00,39.00,39.00,227.50,107.50
192.00,88.00,39.00,39.00,211.50,107.50
184.00,88.00,39.00,39.00,203.50,107.50
168.00,96.00,39.00,39.00,187.50,115.50
144.00,160.00,39.00,39.00,163.50,179.50
128.00,160.00,39.00,39.00,147.50,179.50
120.00,168.00,39.00,39.00,139.50,187.50
112.00,176.00,39.00,39.00,131.50,195.50
120.00,176.00,39.00,39.00,139.50,195.50
128.00,168.00,39.00,39.00,147.50,187.50
144.00,168.00,39.00,39.00,163.50,187.50
160.00,160.00,39.00,39.00,179.50,179.50
168.00,168.00,39.00,39.00,187.50,187.50
168.00,168.00,39.00,39.00,187.50,187.50
168.00,168.00,39.00,39.00,187.50,187.50
168.00,168.00,39.00,39.00,187.50,187.50
168.00,184.00,39.00,39.00,187.50,203.50
160.00,176.00,39.00,39.00,179.50,195.50
160.00,184.00,39.00,39.00,179.50,203.50
144.00,176.00,39.00,39.00,163.50,195.50
128.00,184.00,39.00,39.00,147.50,203.50
128.00,168.00,39.00,39.00,147.50,187.50
120.00,176.00,39.00,39.00,139.50,195.50
144.00,184.00,39.00,39.00,163.50,203.50
152.00,208.00,39.00,39.00,171.50,227.50
128.00,200.00,39.00,39.00,147.50,219.50
104.00,192.00,39.00,39.00,123.50,211.50
80.00,176.00,39.00,39.00,99.50,195.50
64.00,168.00,39.00,39.00,83.50,187.50
56.00,152.00,39.00,39.00,75.50,171.50
48.00,136.00,39.00,39.00,67.50,155.50
40.00,112.00,39.00,39.00,59.50,131.50
40.00,96.00,39.00,39.00,59.50,115.50
168.00,192.00,39.00,39.00,187.50,211.50
184.00,176.00,39.00,39.00,203.50,195.50
200.00,160.00,39.00,39.00,219.50,179.50
208.00,144.00,39.00,39.00,227.50,163.50
216.00,128.00,39.00,39.00,235.50,147.50
224.00,112.00,39.00,39.00,243.50,131.50
232.00,88.00,39.00,39.00,251.50,107.50
232.00,72.00,39.00,39.00,251.50,91.50
