79,-30
x,y,dx,dy,x_c,y_c
280.36,280.36,99.27,99.27,330.00,330.00
260.73,280.36,99.27,99.27,310.36,330.00
241.09,280.36,99.27,99.27,290.73,330.00
301.09,280.36,99.27,99.27,350.73,330.00
320.73,280.36,99.27,99.27,370.36,330.00
301.09,241.09,99.27,99.27,350.73,290.73
301.09,220.36,99.27,99.27,350.73,270.00
280.36,200.73,99.27,99.27,330.00,250.36
280.36,180.00,99.27,99.27,330.00,229.64
220.36,180.00,99.27,99.27,270.00,229.64
220.36,180.00,99.27,99.27,270.00,229.64
200.73,180.00,99.27,99.27,250.36,229.64
220.36,160.36,99.27,99.27,270.00,210.00
200.73,160.36,99.27,99.27,250.36,210.00
180.00,180.00,99.27,99.27,229.64,229.64
140.73,140.73,99.27,99.27,190.36,190.36
160.36,120.00,99.27,99.27,210.00,169.64
200.73,100.36,99.27,99.27,250.36,150.00
220.36,100.36,99.27,99.27,270.00,150.00
260.73,100.36,99.27,99.27,310.36,150.00
320.73,180.00,99.27,99.27,370.36,229.64
340.36,180.00,99.27,99.27,390.00,229.64
340.36,180.00,99.27,99.27,390.00,229.64
340.36,180.00,99.27,99.27,390.00,229.64
340.36,180.00,99.27,99.27,390.00,229.64
340.36,180.00,99.27,99.27,390.00,229.64
340.36,120.00,99.27,99.27,390.00,169.64
340.36,120.00,99.27,99.27,390.00,169.64
320.73,120.00,99.27,99.27,370.36,169.64
320.73,120.00,99.27,99.27,370.36,169.64
301.09,120.00,99.27,99.27,350.73,169.64
280.36,301.09,99.27,99.27,330.00,350.73
241.09,280.36,99.27,99.27,290.73,330.00
220.36,301.09,99.27,99.27,270.00,350.73
200.73,320.73,99.27,99.27,250.36,370.36
220.36,320.73,99.27,99.27,270.00,370.36
241.09,301.09,99.27,99.27,290.73,350.73
280.36,320.73,99.27,99.27,330.00,370.36
301.09,301.09,99.27,99.27,350.73,350.73
301.09,301.09,99.27,99.27,350.73,350.73
320.73,320.73,99.27,99.27,370.36,370.36
301.09,320.73,99.27,99.27,350.73,370.36
301.09,320.73,99.27,99.27,350.73,370.36
320.73,340.36,99.27,99.27,370.36,390.00
301.09,320.73,99.27,99.27,350.73,370.36
301.09,340.36,99.27,99.27,350.73,390.00
260.73,320.73,99.27,99.27,310.36,370.36
241.09,340.36,99.27,99.27,290.73,390.00
241.09,320.73,99.27,99.27,290.73,370.36
220.36,340.36,99.27,99.27,270.00,390.00
260.73,340.36,99.27,99.27,310.36,390.00
260.73,440.73,99.27,99.27,310.36,490.36
220.36,440.73,99.27,99.27,270.00,490.36
160.36,421.09,99.27,99.27,210.00,470.73
100.36,401.45,99.27,99.27,150.00,451.09
60.00,380.73,99.27,99.27,109.64,430.36
40.36,340.36,99.27,99.27,90.00,390.00
19.64,280.36,99.27,99.27,69.27,330.00
40.36,241.09,99.27,99.27,90.00,290.73
40.36,200.73,99.27,99.27,90.00,250.36
301.09,421.09,99.27,99.27,350.73,470.73
320.73,401.45,99.27,99.27,370.36,451.09
320.73,361.09,99.27,99.27,370.36,410.73
340.36,320.73,99.27,99.27,390.00,370.36
361.09,301.09,99.27,99.27,410.73,350.73
361.09,260.73,99.27,99.27,410.73,310.36
361.09,220.36,99.27,99.27,410.73,270.00
340.36,180.00,99.27,99.27,390.00,229.64
