67,0
x,y,dx,dy,x_c,y_c
274.05,289.33,75.34,75.34,311.71,327.00
258.76,289.33,75.34,75.34,296.43,327.00
243.48,274.05,75.34,75.34,281.14,311.71
304.62,289.33,75.34,75.34,342.28,327.00
319.90,289.33,75.34,75.34,357.57,327.00
274.05,258.76,75.34,75.34,311.71,296.43
289.33,243.48,75.34,75.34,327.00,281.14
289.33,212.90,75.34,75.34,327.00,250.57
289.33,197.62,75.34,75.34,327.00,235.29
243.48,197.62,75.34,75.34,281.14,235.29
243.48,197.62,75.34,75.34,281.14,235.29
243.48,197.62,75.34,75.34,281.14,235.29
228.19,182.33,75.34,75.34,265.86,220.00
228.19,182.33,75.34,75.34,265.86,220.00
212.90,182.33,75.34,75.34,250.57,220.00
167.05,167.05,75.34,75.34,204.72,204.72
182.33,136.48,75.34,75.34,220.00,174.14
212.90,121.19,75.34,75.34,250.57,158.86
243.48,136.48,75.34,75.34,281.14,174.14
258.76,136.48,75.34,75.34,296.43,174.14
334.10,212.90,75.34,75.34,371.76,250.57
349.38,212.90,75.34,75.34,387.05,250.57
364.67,212.90,75.34,75.34,402.33,250.57
349.38,212.90,75.34,75.34,387.05,250.57
364.67,212.90,75.34,75.34,402.33,250.57
379.95,212.90,75.34,75.34,417.62,250.57
410.52,182.33,75.34,75.34,448.19,220.00
395.24,182.33,75.34,75.34,432.91,220.00
379.95,182.33,75.34,75.34,417.62,220.00
364.67,197.62,75.34,75.34,402.33,235.29
334.10,197.62,75.34,75.34,371.76,235.29
258.76,304.62,75.34,75.34,296.43,342.28
228.19,304.62,75.34,75.34,265.86,342.28
212.90,319.90,75.34,75.34,250.57,357.57
197.62,334.10,75.34,75.34,235.29,371.76
197.62,334.10,75.34,75.34,235.29,371.76
212.90,319.90,75.34,75.34,250.57,357.57
258.76,319.90,75.34,75.34,296.43,357.57
289.33,304.62,75.34,75.34,327.00,342.28
304.62,319.90,75.34,75.34,342.28,357.57
304.62,334.10,75.34,75.34,342.28,371.76
319.90,319.90,75.34,75.34,357.57,357.57
289.33,319.90,75.34,75.34,327.00,357.57
289.33,364.67,75.34,75.34,327.00,402.33
258.76,349.38,75.34,75.34,296.43,387.05
258.76,364.67,75.34,75.34,296.43,402.33
228.19,349.38,75.34,75.34,265.86,387.05
197.62,364.67,75.34,75.34,235.29,402.33
197.62,334.10,75.34,75.34,235.29,371.76
182.33,349.38,75.34,75.34,220.00,387.05
228.19,364.67,75.34,75.34,265.86,402.33
243.48,456.38,75.34,75.34,281.14,494.05
197.62,441.09,75.34,75.34,235.29,478.76
167.05,425.81,75.34,75.34,204.72,463.48
136.48,410.52,75.34,75.34,174.14,448.19
107.00,395.24,75.34,75.34,144.67,432.91
91.71,349.38,75.34,75.34,129.38,387.05
91.71,319.90,75.34,75.34,129.38,357.57
91.71,274.05,75.34,75.34,129.38,311.71
91.71,228.19,75.34,75.34,129.38,265.86
289.33,456.38,75.34,75.34,327.00,494.05
319.90,441.09,75.34,75.34,357.57,478.76
349.38,425.81,75.34,75.34,387.05,463.48
364.67,395.24,75.34,75.34,402.33,432.91
379.95,364.67,75.34,75.34,417.62,402.33
379.95,334.10,75.34,75.34,417.62,371.76
395.24,289.33,75.34,75.34,432.91,327.00
395.24,243.48,75.34,75.34,432.91,281.14
