123,0
x,y,dx,dy,x_c,y_c
244.77,281.03,60.44,60.44,274.99,311.25
231.67,281.03,60.44,60.44,261.89,311.25
219.59,281.03,60.44,60.44,249.80,311.25
256.85,281.03,60.44,60.44,287.07,311.25
268.94,281.03,60.44,60.44,299.16,311.25
244.77,256.85,60.44,60.44,274.99,287.07
244.77,231.67,60.44,60.44,274.99,261.89
244.77,207.50,60.44,60.44,274.99,237.72
244.77,195.41,60.44,60.44,274.99,225.63
207.50,195.41,60.44,60.44,237.72,225.63
195.41,195.41,60.44,60.44,225.63,225.63
183.32,195.41,60.44,60.44,213.54,225.63
195.41,183.32,60.44,60.44,225.63,213.54
183.32,183.32,60.44,60.44,213.54,213.54
171.24,195.41,60.44,60.44,201.45,225.63
147.06,171.24,60.44,60.44,177.28,201.45
159.15,159.15,60.44,60.44,189.37,189.37
171.24,147.06,60.44,60.44,201.45,177.28
195.41,147.06,60.44,60.44,225.63,177.28
207.50,159.15,60.44,60.44,237.72,189.37
281.03,195.41,60.44,60.44,311.25,225.63
293.12,195.41,60.44,60.44,323.33,225.63
293.12,195.41,60.44,60.44,323.33,225.63
281.03,183.32,60.44,60.44,311.25,213.54
293.12,183.32,60.44,60.44,323.33,213.54
305.20,183.32,60.44,60.44,335.42,213.54
342.47,171.24,60.44,60.44,372.69,201.45
329.38,159.15,60.44,60.44,359.60,189.37
305.20,147.06,60.44,60.44,335.42,177.28
293.12,147.06,60.44,60.44,323.33,177.28
268.94,147.06,60.44,60.44,299.16,177.28
244.77,305.20,60.44,60.44,274.99,335.42
219.59,305.20,60.44,60.44,249.80,335.42
207.50,305.20,60.44,60.44,237.72,335.42
195.41,317.29,60.44,60.44,225.63,347.51
195.41,317.29,60.44,60.44,225.63,347.51
219.59,305.20,60.44,60.44,249.80,335.42
244.77,317.29,60.44,60.44,274.99,347.51
268.94,293.12,60.44,60.44,299.16,323.33
293.12,305.20,60.44,60.44,323.33,335.42
305.20,305.20,60.44,60.44,335.42,335.42
293.12,305.20,60.44,60.44,323.33,335.42
281.03,305.20,60.44,60.44,311.25,335.42
293.12,329.38,60.44,60.44,323.33,359.60
268.94,317.29,60.44,60.44,299.16,347.51
268.94,342.47,60.44,60.44,299.16,372.69
244.77,329.38,60.44,60.44,274.99,359.60
207.50,342.47,60.44,60.44,237.72,372.69
207.50,317.29,60.44,60.44,237.72,347.51
195.41,329.38,60.44,60.44,225.63,359.60
244.77,342.47,60.44,60.44,274.99,372.69
244.77,402.91,60.44,60.44,274.99,433.13
219.59,402.91,60.44,60.44,249.80,433.13
195.41,378.73,60.44,60.44,225.63,408.95
171.24,354.56,60.44,60.44,201.45,384.78
147.06,329.38,60.44,60.44,177.28,359.60
133.97,293.12,60.44,60.44,164.19,323.33
133.97,268.94,60.44,60.44,164.19,299.16
121.88,231.67,60.44,60.44,152.10,261.89
121.88,195.41,60.44,60.44,152.10,225.63
281.03,390.82,60.44,60.44,311.25,421.04
305.20,366.65,60.44,60.44,335.42,396.86
329.38,342.47,60.44,60.44,359.60,372.69
354.56,305.20,60.44,60.44,384.78,335.42
366.65,281.03,60.44,60.44,396.86,311.25
378.73,256.85,60.44,60.44,408.95,287.07
390.82,219.59,60.44,60.44,421.04,249.80
390.82,183.32,60.44,60.44,421.04,213.54
