72,-30
x,y,dx,dy,x_c,y_c
195.00,195.00,69.00,69.00,229.50,229.50
181.00,195.00,69.00,69.00,215.50,229.50
181.00,195.00,69.00,69.00,215.50,229.50
209.00,195.00,69.00,69.00,243.50,229.50
209.00,195.00,69.00,69.00,243.50,229.50
209.00,167.00,69.00,69.00,243.50,201.50
209.00,153.00,69.00,69.00,243.50,187.50
195.00,139.00,69.00,69.00,229.50,173.50
195.00,125.00,69.00,69.00,229.50,159.50
153.00,125.00,69.00,69.00,187.50,159.50
153.00,125.00,69.00,69.00,187.50,159.50
139.00,125.00,69.00,69.00,173.50,159.50
153.00,111.00,69.00,69.00,187.50,145.50
139.00,111.00,69.00,69.00,173.50,145.50
125.00,125.00,69.00,69.00,159.50,159.50
84.00,98.00,69.00,69.00,118.50,132.50
98.00,70.00,69.00,69.00,132.50,104.50
125.00,56.00,69.00,69.00,159.50,90.50
153.00,70.00,69.00,69.00,187.50,104.50
181.00,70.00,69.00,69.00,215.50,104.50
223.00,125.00,69.00,69.00,257.50,159.50
237.00,139.00,69.00,69.00,271.50,173.50
251.00,139.00,69.00,69.00,285.50,173.50
237.00,125.00,69.00,69.00,271.50,159.50
251.00,125.00,69.00,69.00,285.50,159.50
251.00,125.00,69.00,69.00,285.50,159.50
251.00,98.00,69.00,69.00,285.50,132.50
251.00,98.00,69.00,69.00,285.50,132.50
237.00,98.00,69.00,69.00,271.50,132.50
237.00,98.00,69.00,69.00,271.50,132.50
223.00,98.00,69.00,69.00,257.50,132.50
195.00,223.00,69.00,69.00,229.50,257.50
167.00,223.00,69.00,69.00,201.50,257.50
153.00,237.00,69.00,69.00,187.50,271.50
139.00,237.00,69.00,69.00,173.50,271.50
153.00,251.00,69.00,69.00,187.50,285.50
167.00,237.00,69.00,69.00,201.50,271.50
195.00,223.00,69.00,69.00,229.50,257.50
209.00,209.00,69.00,69.00,243.50,243.50
223.00,223.00,69.00,69.00,257.50,257.50
223.00,223.00,69.00,69.00,257.50,257.50
223.00,223.00,69.00,69.00,257.50,257.50
209.00,223.00,69.00,69.00,243.50,257.50
223.00,237.00,69.00,69.00,257.50,271.50
209.00,223.00,69.00,69.00,243.50,257.50
209.00,237.00,69.00,69.00,243.50,271.50
209.00,223.00,69.00,69.00,243.50,257.50
195.00,251.00,69.00,69.00,229.50,285.50
195.00,223.00,69.00,69.00,229.50,257.50
167.00,251.00,69.00,69.00,201.50,285.50
209.00,237.00,69.00,69.00,243.50,271.50
209.00,306.00,69.00,69.00,243.50,340.50
167.00,306.00,69.00,69.00,201.50,340.50
125.00,293.00,69.00,69.00,159.50,327.50
98.00,265.00,69.00,69.00,132.50,299.50
84.00,251.00,69.00,69.00,118.50,285.50
70.00,223.00,69.00,69.00,104.50,257.50
56.00,181.00,69.00,69.00,90.50,215.50
56.00,139.00,69.00,69.00,90.50,173.50
56.00,111.00,69.00,69.00,90.50,145.50
223.00,293.00,69.00,69.00,257.50,327.50
237.00,279.00,69.00,69.00,271.50,313.50
237.00,251.00,69.00,69.00,271.50,285.50
251.00,223.00,69.00,69.00,285.50,257.50
251.00,209.00,69.00,69.00,285.50,243.50
251.00,195.00,69.00,69.00,285.50,229.50
251.00,167.00,69.00,69.00,285.50,201.50
237.00,153.00,69.00,69.00,271.50,187.50
