111,0
x,y,dx,dy,x_c,y_c
284.80,320.40,87.89,87.89,328.75,364.35
267.00,320.40,87.89,87.89,310.95,364.35
249.20,320.40,87.89,87.89,293.15,364.35
302.60,320.40,87.89,87.89,346.55,364.35
320.40,320.40,87.89,87.89,364.35,364.35
284.80,284.80,87.89,87.89,328.75,328.75
284.80,267.00,87.89,87.89,328.75,310.95
284.80,231.40,87.89,87.89,328.75,275.35
284.80,213.60,87.89,87.89,328.75,257.55
231.40,213.60,87.89,87.89,275.35,257.55
231.40,231.40,87.89,87.89,275.35,275.35
213.60,249.20,87.89,87.89,257.55,293.15
213.60,195.80,87.89,87.89,257.55,239.75
195.80,195.80,87.89,87.89,239.75,239.75
178.00,195.80,87.89,87.89,221.95,239.75
142.40,178.00,87.89,87.89,186.35,221.95
160.20,160.20,87.89,87.89,204.15,204.15
178.00,160.20,87.89,87.89,221.95,204.15
213.60,178.00,87.89,87.89,257.55,221.95
249.20,195.80,87.89,87.89,293.15,239.75
320.40,231.40,87.89,87.89,364.35,275.35
338.20,231.40,87.89,87.89,382.15,275.35
356.00,231.40,87.89,87.89,399.95,275.35
338.20,213.60,87.89,87.89,382.15,257.55
356.00,213.60,87.89,87.89,399.95,257.55
373.80,231.40,87.89,87.89,417.75,275.35
427.21,213.60,87.89,87.89,471.15,257.55
427.21,213.60,87.89,87.89,471.15,257.55
391.60,213.60,87.89,87.89,435.55,257.55
373.80,213.60,87.89,87.89,417.75,257.55
338.20,213.60,87.89,87.89,382.15,257.55
284.80,356.00,87.89,87.89,328.75,399.95
249.20,356.00,87.89,87.89,293.15,399.95
231.40,356.00,87.89,87.89,275.35,399.95
213.60,391.60,87.89,87.89,257.55,435.55
213.60,373.80,87.89,87.89,257.55,417.75
249.20,373.80,87.89,87.89,293.15,417.75
284.80,373.80,87.89,87.89,328.75,417.75
320.40,338.20,87.89,87.89,364.35,382.15
356.00,356.00,87.89,87.89,399.95,399.95
373.80,373.80,87.89,87.89,417.75,417.75
356.00,373.80,87.89,87.89,399.95,417.75
338.20,356.00,87.89,87.89,382.15,399.95
356.00,391.60,87.89,87.89,399.95,435.55
338.20,373.80,87.89,87.89,382.15,417.75
338.20,409.40,87.89,87.89,382.15,453.35
302.60,391.60,87.89,87.89,346.55,435.55
267.00,409.40,87.89,87.89,310.95,453.35
267.00,373.80,87.89,87.89,310.95,417.75
249.20,391.60,87.89,87.89,293.15,435.55
302.60,409.40,87.89,87.89,346.55,453.35
302.60,498.41,87.89,87.89,346.55,542.35
249.20,480.61,87.89,87.89,293.15,524.55
213.60,462.81,87.89,87.89,257.55,506.75
178.00,427.21,87.89,87.89,221.95,471.15
142.40,391.60,87.89,87.89,186.35,435.55
124.60,356.00,87.89,87.89,168.55,399.95
124.60,320.40,87.89,87.89,168.55,364.35
106.80,267.00,87.89,87.89,150.75,310.95
106.80,213.60,87.89,87.89,150.75,257.55
338.20,480.61,87.89,87.89,382.15,524.55
373.80,445.01,87.89,87.89,417.75,488.95
409.40,427.21,87.89,87.89,453.35,471.15
427.21,373.80,87.89,87.89,471.15,417.75
445.01,338.20,87.89,87.89,488.95,382.15
462.81,284.80,87.89,87.89,506.75,328.75
480.61,231.40,87.89,87.89,524.55,275.35
480.61,195.80,87.89,87.89,524.55,239.75
