110,0
x,y,dx,dy,x_c,y_c
310.50,310.50,90.18,90.18,355.59,355.59
292.24,310.50,90.18,90.18,337.33,355.59
273.97,310.50,90.18,90.18,319.06,355.59
328.77,292.24,90.18,90.18,373.86,337.33
347.03,292.24,90.18,90.18,392.12,337.33
310.50,273.97,90.18,90.18,355.59,319.06
310.50,255.71,90.18,90.18,355.59,300.80
310.50,219.18,90.18,90.18,355.59,264.27
310.50,200.91,90.18,90.18,355.59,246.00
255.71,219.18,90.18,90.18,300.80,264.27
237.44,219.18,90.18,90.18,282.53,264.27
219.18,219.18,90.18,90.18,264.27,264.27
237.44,200.91,90.18,90.18,282.53,246.00
219.18,200.91,90.18,90.18,264.27,246.00
200.91,219.18,90.18,90.18,246.00,264.27
146.12,182.65,90.18,90.18,191.21,227.74
164.38,164.38,90.18,90.18,209.47,209.47
200.91,164.38,90.18,90.18,246.00,209.47
237.44,164.38,90.18,90.18,282.53,209.47
255.71,164.38,90.18,90.18,300.80,209.47
347.03,219.18,90.18,90.18,392.12,264.27
365.30,219.18,90.18,90.18,410.39,264.27
365.30,219.18,90.18,90.18,410.39,264.27
365.30,200.91,90.18,90.18,410.39,246.00
365.30,200.91,90.18,90.18,410.39,246.00
383.56,219.18,90.18,90.18,428.65,264.27
420.09,182.65,90.18,90.18,465.18,227.74
401.83,164.38,90.18,90.18,446.92,209.47
365.30,146.12,90.18,90.18,410.39,191.21
347.03,146.12,90.18,90.18,392.12,191.21
310.50,146.12,90.18,90.18,355.59,191.21
310.50,328.77,90.18,90.18,355.59,373.86
292.24,347.03,90.18,90.18,337.33,392.12
273.97,365.30,90.18,90.18,319.06,410.39
255.71,401.83,90.18,90.18,300.80,446.92
273.97,383.56,90.18,90.18,319.06,428.65
292.24,365.30,90.18,90.18,337.33,410.39
310.50,347.03,90.18,90.18,355.59,392.12
347.03,328.77,90.18,90.18,392.12,373.86
365.30,347.03,90.18,90.18,410.39,392.12
383.56,365.30,90.18,90.18,428.65,410.39
365.30,365.30,90.18,90.18,410.39,410.39
347.03,347.03,90.18,90.18,392.12,392.12
365.30,383.56,90.18,90.18,410.39,428.65
347.03,365.30,90.18,90.18,392.12,410.39
347.03,401.83,90.18,90.18,392.12,446.92
310.50,383.56,90.18,90.18,355.59,428.65
273.97,401.83,90.18,90.18,319.06,446.92
273.97,383.56,90.18,90.18,319.06,428.65
255.71,401.83,90.18,90.18,300.80,446.92
310.50,401.83,90.18,90.18,355.59,446.92
310.50,511.42,90.18,90.18,355.59,556.51
255.71,493.15,90.18,90.18,300.80,538.24
219.18,474.89,90.18,90.18,264.27,519.98
182.65,438.36,90.18,90.18,227.74,483.45
146.12,401.83,90.18,90.18,191.21,446.92
127.85,347.03,90.18,90.18,172.95,392.12
109.59,310.50,90.18,90.18,154.68,355.59
91.32,255.71,90.18,90.18,136.42,300.80
91.32,200.91,90.18,90.18,136.42,246.00
347.03,493.15,90.18,90.18,392.12,538.24
383.56,456.62,90.18,90.18,428.65,501.71
420.09,420.09,90.18,90.18,465.18,465.18
438.36,365.30,90.18,90.18,483.45,410.39
456.62,328.77,90.18,90.18,501.71,373.86
456.62,292.24,90.18,90.18,501.71,337.33
474.89,237.44,90.18,90.18,519.98,282.53
474.89,182.65,90.18,90.18,519.98,227.74
