121,0
x,y,dx,dy,x_c,y_c
348.40,195.53,107.84,107.84,402.32,249.45
327.07,195.53,107.84,107.84,380.99,249.45
304.55,195.53,107.84,107.84,358.47,249.45
369.73,195.53,107.84,107.84,423.65,249.45
392.25,195.53,107.84,107.84,446.16,249.45
348.40,152.87,107.84,107.84,402.32,206.79
348.40,130.35,107.84,107.84,402.32,184.27
348.40,87.69,107.84,107.84,402.32,141.61
348.40,65.18,107.84,107.84,402.32,119.10
283.22,65.18,107.84,107.84,337.14,119.10
261.89,65.18,107.84,107.84,315.81,119.10
239.38,65.18,107.84,107.84,293.30,119.10
261.89,65.18,107.84,107.84,315.81,119.10
261.89,65.18,107.84,107.84,315.81,119.10
239.38,65.18,107.84,107.84,293.30,119.10
195.53,43.85,107.84,107.84,249.45,97.77
218.05,21.33,107.84,107.84,271.96,75.25
261.89,0.00,107.84,107.84,315.81,53.92
304.55,0.00,107.84,107.84,358.47,53.92
348.40,21.33,107.84,107.84,402.32,75.25
413.58,65.18,107.84,107.84,467.49,119.10
436.09,65.18,107.84,107.84,490.01,119.10
436.09,65.18,107.84,107.84,490.01,119.10
436.09,65.18,107.84,107.84,490.01,119.10
436.09,65.18,107.84,107.84,490.01,119.10
457.42,65.18,107.84,107.84,511.34,119.10
501.27,21.33,107.84,107.84,555.19,75.25
501.27,21.33,107.84,107.84,555.19,75.25
457.42,21.33,107.84,107.84,511.34,75.25
436.09,21.33,107.84,107.84,490.01,75.25
392.25,21.33,107.84,107.84,446.16,75.25
348.40,218.05,107.84,107.84,402.32,271.96
304.55,218.05,107.84,107.84,358.47,271.96
283.22,218.05,107.84,107.84,337.14,271.96
261.89,239.38,107.84,107.84,315.81,293.30
283.22,239.38,107.84,107.84,337.14,293.30
304.55,239.38,107.84,107.84,358.47,293.30
348.40,239.38,107.84,107.84,402.32,293.30
392.25,195.53,107.84,107.84,446.16,249.45
413.58,218.05,107.84,107.84,467.49,271.96
413.58,218.05,107.84,107.84,467.49,271.96
413.58,218.05,107.84,107.84,467.49,271.96
392.25,218.05,107.84,107.84,446.16,271.96
392.25,261.89,107.84,107.84,446.16,315.81
369.73,239.38,107.84,107.84,423.65,293.30
369.73,283.22,107.84,107.84,423.65,337.14
327.07,261.89,107.84,107.84,380.99,315.81
283.22,283.22,107.84,107.84,337.14,337.14
283.22,239.38,107.84,107.84,337.14,293.30
261.89,261.89,107.84,107.84,315.81,315.81
327.07,283.22,107.84,107.84,380.99,337.14
327.07,392.25,107.84,107.84,380.99,446.16
261.89,369.73,107.84,107.84,315.81,423.65
218.05,327.07,107.84,107.84,271.96,380.99
174.20,283.22,107.84,107.84,228.12,337.14
130.35,261.89,107.84,107.84,184.27,315.81
109.02,218.05,107.84,107.84,162.94,271.96
87.69,174.20,107.84,107.84,141.61,228.12
87.69,109.02,107.84,107.84,141.61,162.94
87.69,65.18,107.84,107.84,141.61,119.10
369.73,369.73,107.84,107.84,423.65,423.65
413.58,327.07,107.84,107.84,467.49,380.99
457.42,283.22,107.84,107.84,511.34,337.14
478.75,218.05,107.84,107.84,532.67,271.96
501.27,174.20,107.84,107.84,555.19,228.12
522.60,130.35,107.84,107.84,576.52,184.27
543.93,65.18,107.84,107.84,597.85,119.10
543.93,21.33,107.84,107.84,597.85,75.25
