43,-15
x,y,dx,dy,x_c,y_c
341.17,305.26,88.66,88.66,385.50,349.59
323.22,305.26,88.66,88.66,367.55,349.59
305.26,305.26,88.66,88.66,349.59,349.59
359.13,305.26,88.66,88.66,403.46,349.59
359.13,305.26,88.66,88.66,403.46,349.59
341.17,269.35,88.66,88.66,385.50,313.68
341.17,251.39,88.66,88.66,385.50,295.72
341.17,215.48,88.66,88.66,385.50,259.81
341.17,197.52,88.66,88.66,385.50,241.85
287.30,215.48,88.66,88.66,331.63,259.81
269.35,233.43,88.66,88.66,313.68,277.76
251.39,233.43,88.66,88.66,295.72,277.76
269.35,215.48,88.66,88.66,313.68,259.81
251.39,215.48,88.66,88.66,295.72,259.81
233.43,233.43,88.66,88.66,277.76,277.76
179.56,197.52,88.66,88.66,223.89,241.85
197.52,179.56,88.66,88.66,241.85,223.89
215.48,161.61,88.66,88.66,259.81,205.94
251.39,161.61,88.66,88.66,295.72,205.94
287.30,161.61,88.66,88.66,331.63,205.94
377.08,179.56,88.66,88.66,421.41,223.89
395.04,161.61,88.66,88.66,439.37,205.94
413.00,161.61,88.66,88.66,457.33,205.94
395.04,161.61,88.66,88.66,439.37,205.94
395.04,143.65,88.66,88.66,439.37,187.98
413.00,125.69,88.66,88.66,457.33,170.02
448.91,89.78,88.66,88.66,493.24,134.11
430.95,71.83,88.66,88.66,475.28,116.16
413.00,71.83,88.66,88.66,457.33,116.16
395.04,71.83,88.66,88.66,439.37,116.16
377.08,71.83,88.66,88.66,421.41,116.16
359.13,341.17,88.66,88.66,403.46,385.50
323.22,341.17,88.66,88.66,367.55,385.50
305.26,341.17,88.66,88.66,349.59,385.50
287.30,359.13,88.66,88.66,331.63,403.46
323.22,359.13,88.66,88.66,367.55,403.46
341.17,341.17,88.66,88.66,385.50,385.50
359.13,341.17,88.66,88.66,403.46,385.50
377.08,305.26,88.66,88.66,421.41,349.59
395.04,305.26,88.66,88.66,439.37,349.59
413.00,323.22,88.66,88.66,457.33,367.55
395.04,323.22,88.66,88.66,439.37,367.55
377.08,323.22,88.66,88.66,421.41,367.55
395.04,341.17,88.66,88.66,439.37,385.50
377.08,305.26,88.66,88.66,421.41,349.59
377.08,323.22,88.66,88.66,421.41,367.55
359.13,305.26,88.66,88.66,403.46,349.59
323.22,323.22,88.66,88.66,367.55,367.55
323.22,287.30,88.66,88.66,367.55,331.63
287.30,305.26,88.66,88.66,331.63,349.59
359.13,323.22,88.66,88.66,403.46,367.55
359.13,430.95,88.66,88.66,403.46,475.28
305.26,430.95,88.66,88.66,349.59,475.28
269.35,413.00,88.66,88.66,313.68,457.33
215.48,395.04,88.66,88.66,259.81,439.37
161.61,377.08,88.66,88.66,205.94,421.41
143.65,323.22,88.66,88.66,187.98,367.55
125.69,251.39,88.66,88.66,170.02,295.72
125.69,179.56,88.66,88.66,170.02,223.89
125.69,125.69,88.66,88.66,170.02,170.02
395.04,413.00,88.66,88.66,439.37,457.33
430.95,395.04,88.66,88.66,475.28,439.37
466.87,359.13,88.66,88.66,511.20,403.46
484.82,323.22,88.66,88.66,529.15,367.55
484.82,269.35,88.66,88.66,529.15,313.68
502.78,215.48,88.66,88.66,547.11,259.81
502.78,179.56,88.66,88.66,547.11,223.89
502.78,125.69,88.66,88.66,547.11,170.02
