195,0
x,y,dx,dy,x_c,y_c
225.59,295.00,85.68,85.68,268.42,337.84
225.59,295.00,85.68,85.68,268.42,337.84
208.23,295.00,85.68,85.68,251.07,337.84
242.94,295.00,85.68,85.68,285.78,337.84
260.29,295.00,85.68,85.68,303.13,337.84
225.59,260.29,85.68,85.68,268.42,303.13
225.59,242.94,85.68,85.68,268.42,285.78
225.59,208.23,85.68,85.68,268.42,251.07
242.94,190.88,85.68,85.68,285.78,233.72
190.88,208.23,85.68,85.68,233.72,251.07
190.88,208.23,85.68,85.68,233.72,251.07
190.88,208.23,85.68,85.68,233.72,251.07
173.53,208.23,85.68,85.68,216.37,251.07
173.53,208.23,85.68,85.68,216.37,251.07
156.17,225.59,85.68,85.68,199.01,268.42
121.47,190.88,85.68,85.68,164.31,233.72
138.82,173.53,85.68,85.68,181.66,216.37
156.17,156.17,85.68,85.68,199.01,199.01
190.88,156.17,85.68,85.68,233.72,199.01
208.23,173.53,85.68,85.68,251.07,216.37
277.64,208.23,85.68,85.68,320.48,251.07
295.00,208.23,85.68,85.68,337.84,251.07
312.35,208.23,85.68,85.68,355.19,251.07
295.00,190.88,85.68,85.68,337.84,233.72
312.35,190.88,85.68,85.68,355.19,233.72
329.70,208.23,85.68,85.68,372.54,251.07
364.41,173.53,85.68,85.68,407.25,216.37
347.05,156.17,85.68,85.68,389.89,199.01
312.35,156.17,85.68,85.68,355.19,199.01
295.00,156.17,85.68,85.68,337.84,199.01
260.29,156.17,85.68,85.68,303.13,199.01
225.59,312.35,85.68,85.68,268.42,355.19
208.23,312.35,85.68,85.68,251.07,355.19
190.88,329.70,85.68,85.68,233.72,372.54
173.53,347.05,85.68,85.68,216.37,389.89
190.88,347.05,85.68,85.68,233.72,389.89
208.23,329.70,85.68,85.68,251.07,372.54
225.59,329.70,85.68,85.68,268.42,372.54
260.29,312.35,85.68,85.68,303.13,355.19
295.00,329.70,85.68,85.68,337.84,372.54
312.35,329.70,85.68,85.68,355.19,372.54
295.00,329.70,85.68,85.68,337.84,372.54
260.29,329.70,85.68,85.68,303.13,372.54
295.00,364.41,85.68,85.68,337.84,407.25
277.64,347.05,85.68,85.68,320.48,389.89
277.64,381.76,85.68,85.68,320.48,424.60
242.94,364.41,85.68,85.68,285.78,407.25
208.23,381.76,85.68,85.68,251.07,424.60
208.23,347.05,85.68,85.68,251.07,389.89
190.88,347.05,85.68,85.68,233.72,389.89
242.94,381.76,85.68,85.68,285.78,424.60
260.29,468.52,85.68,85.68,303.13,511.36
225.59,468.52,85.68,85.68,268.42,511.36
208.23,451.17,85.68,85.68,251.07,494.01
173.53,416.47,85.68,85.68,216.37,459.30
156.17,399.11,85.68,85.68,199.01,441.95
138.82,347.05,85.68,85.68,181.66,389.89
121.47,312.35,85.68,85.68,164.31,355.19
104.12,260.29,85.68,85.68,146.96,303.13
104.12,225.59,85.68,85.68,146.96,268.42
295.00,451.17,85.68,85.68,337.84,494.01
329.70,433.82,85.68,85.68,372.54,476.66
347.05,416.47,85.68,85.68,389.89,459.30
364.41,381.76,85.68,85.68,407.25,424.60
381.76,364.41,85.68,85.68,424.60,407.25
399.11,329.70,85.68,85.68,441.95,372.54
416.47,277.64,85.68,85.68,459.30,320.48
416.47,242.94,85.68,85.68,459.30,285.78
