100,0
x,y,dx,dy,x_c,y_c
271.58,313.63,103.41,103.41,323.29,365.33
251.13,313.63,103.41,103.41,302.83,365.33
251.13,313.63,103.41,103.41,302.83,365.33
292.04,292.04,103.41,103.41,343.74,343.74
313.63,292.04,103.41,103.41,365.33,343.74
271.58,271.58,103.41,103.41,323.29,323.29
271.58,251.13,103.41,103.41,323.29,302.83
271.58,209.08,103.41,103.41,323.29,260.79
271.58,187.49,103.41,103.41,323.29,239.20
209.08,209.08,103.41,103.41,260.79,260.79
187.49,209.08,103.41,103.41,239.20,260.79
187.49,209.08,103.41,103.41,239.20,260.79
187.49,187.49,103.41,103.41,239.20,239.20
167.04,187.49,103.41,103.41,218.74,239.20
146.59,209.08,103.41,103.41,198.29,260.79
104.54,167.04,103.41,103.41,156.24,218.74
125.00,125.00,103.41,103.41,176.70,176.70
146.59,104.54,103.41,103.41,198.29,156.24
187.49,125.00,103.41,103.41,239.20,176.70
229.54,125.00,103.41,103.41,281.24,176.70
334.08,167.04,103.41,103.41,385.78,218.74
354.53,167.04,103.41,103.41,406.24,218.74
354.53,167.04,103.41,103.41,406.24,218.74
354.53,146.59,103.41,103.41,406.24,198.29
376.12,146.59,103.41,103.41,427.83,198.29
396.58,146.59,103.41,103.41,448.28,198.29
438.62,104.54,103.41,103.41,490.33,156.24
418.17,104.54,103.41,103.41,469.87,156.24
376.12,84.09,103.41,103.41,427.83,135.79
354.53,84.09,103.41,103.41,406.24,135.79
313.63,104.54,103.41,103.41,365.33,156.24
271.58,334.08,103.41,103.41,323.29,385.78
251.13,334.08,103.41,103.41,302.83,385.78
229.54,354.53,103.41,103.41,281.24,406.24
209.08,376.12,103.41,103.41,260.79,427.83
229.54,376.12,103.41,103.41,281.24,427.83
251.13,354.53,103.41,103.41,302.83,406.24
271.58,354.53,103.41,103.41,323.29,406.24
313.63,313.63,103.41,103.41,365.33,365.33
334.08,334.08,103.41,103.41,385.78,385.78
354.53,354.53,103.41,103.41,406.24,406.24
334.08,354.53,103.41,103.41,385.78,406.24
334.08,334.08,103.41,103.41,385.78,385.78
354.53,376.12,103.41,103.41,406.24,427.83
334.08,354.53,103.41,103.41,385.78,406.24
334.08,376.12,103.41,103.41,385.78,427.83
292.04,354.53,103.41,103.41,343.74,406.24
251.13,376.12,103.41,103.41,302.83,427.83
271.58,354.53,103.41,103.41,323.29,406.24
251.13,376.12,103.41,103.41,302.83,427.83
292.04,376.12,103.41,103.41,343.74,427.83
292.04,480.67,103.41,103.41,343.74,532.37
229.54,438.62,103.41,103.41,281.24,490.33
187.49,396.58,103.41,103.41,239.20,448.28
146.59,354.53,103.41,103.41,198.29,406.24
104.54,313.63,103.41,103.41,156.24,365.33
84.09,271.58,103.41,103.41,135.79,323.29
62.50,229.54,103.41,103.41,114.20,281.24
42.04,167.04,103.41,103.41,93.75,218.74
42.04,104.54,103.41,103.41,93.75,156.24
334.08,459.08,103.41,103.41,385.78,510.78
376.12,418.17,103.41,103.41,427.83,469.87
418.17,376.12,103.41,103.41,469.87,427.83
438.62,313.63,103.41,103.41,490.33,365.33
438.62,271.58,103.41,103.41,490.33,323.29
459.08,229.54,103.41,103.41,510.78,281.24
480.67,167.04,103.41,103.41,532.37,218.74
480.67,125.00,103.41,103.41,532.37,176.70
