43,15
x,y,dx,dy,x_c,y_c
250.91,265.09,65.45,65.45,283.64,297.82
237.82,265.09,65.45,65.45,270.55,297.82
224.73,265.09,65.45,65.45,257.45,297.82
265.09,265.09,65.45,65.45,297.82,297.82
278.18,265.09,65.45,65.45,310.91,297.82
250.91,237.82,65.45,65.45,283.64,270.55
250.91,224.73,65.45,65.45,283.64,257.45
250.91,211.64,65.45,65.45,283.64,244.36
250.91,198.55,65.45,65.45,283.64,231.27
224.73,198.55,65.45,65.45,257.45,231.27
224.73,198.55,65.45,65.45,257.45,231.27
211.64,198.55,65.45,65.45,244.36,231.27
211.64,185.45,65.45,65.45,244.36,218.18
211.64,185.45,65.45,65.45,244.36,218.18
198.55,198.55,65.45,65.45,231.27,231.27
172.36,172.36,65.45,65.45,205.09,205.09
185.45,172.36,65.45,65.45,218.18,205.09
198.55,172.36,65.45,65.45,231.27,205.09
211.64,172.36,65.45,65.45,244.36,205.09
224.73,172.36,65.45,65.45,257.45,205.09
304.36,224.73,65.45,65.45,337.09,257.45
317.45,224.73,65.45,65.45,350.18,257.45
330.55,237.82,65.45,65.45,363.27,270.55
330.55,224.73,65.45,65.45,363.27,257.45
343.64,224.73,65.45,65.45,376.36,257.45
356.73,237.82,65.45,65.45,389.45,270.55
397.09,224.73,65.45,65.45,429.82,257.45
384.00,198.55,65.45,65.45,416.73,231.27
356.73,185.45,65.45,65.45,389.45,218.18
343.64,185.45,65.45,65.45,376.36,218.18
317.45,185.45,65.45,65.45,350.18,218.18
237.82,278.18,65.45,65.45,270.55,310.91
224.73,265.09,65.45,65.45,257.45,297.82
211.64,265.09,65.45,65.45,244.36,297.82
198.55,278.18,65.45,65.45,231.27,310.91
224.73,278.18,65.45,65.45,257.45,310.91
224.73,278.18,65.45,65.45,257.45,310.91
237.82,291.27,65.45,65.45,270.55,324.00
265.09,291.27,65.45,65.45,297.82,324.00
278.18,304.36,65.45,65.45,310.91,337.09
304.36,317.45,65.45,65.45,337.09,350.18
278.18,317.45,65.45,65.45,310.91,350.18
250.91,304.36,65.45,65.45,283.64,337.09
291.27,330.55,65.45,65.45,324.00,363.27
265.09,304.36,65.45,65.45,297.82,337.09
265.09,317.45,65.45,65.45,297.82,350.18
250.91,304.36,65.45,65.45,283.64,337.09
224.73,317.45,65.45,65.45,257.45,350.18
224.73,291.27,65.45,65.45,257.45,324.00
211.64,304.36,65.45,65.45,244.36,337.09
250.91,330.55,65.45,65.45,283.64,363.27
250.91,397.09,65.45,65.45,283.64,429.82
224.73,370.91,65.45,65.45,257.45,403.64
211.64,356.73,65.45,65.45,244.36,389.45
198.55,330.55,65.45,65.45,231.27,363.27
185.45,317.45,65.45,65.45,218.18,350.18
172.36,291.27,65.45,65.45,205.09,324.00
159.27,265.09,65.45,65.45,192.00,297.82
159.27,237.82,65.45,65.45,192.00,270.55
159.27,211.64,65.45,65.45,192.00,244.36
291.27,397.09,65.45,65.45,324.00,429.82
330.55,397.09,65.45,65.45,363.27,429.82
370.91,384.00,65.45,65.45,403.64,416.73
397.09,370.91,65.45,65.45,429.82,403.64
423.27,343.64,65.45,65.45,456.00,376.36
436.36,317.45,65.45,65.45,469.09,350.18
449.45,278.18,65.45,65.45,482.18,310.91
449.45,250.91,65.45,65.45,482.18,283.64
