78,30
x,y,dx,dy,x_c,y_c
129.00,147.00,45.00,45.00,151.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
110.00,129.00,45.00,45.00,132.50,151.50
110.00,119.00,45.00,45.00,132.50,141.50
119.00,101.00,45.00,45.00,141.50,123.50
119.00,92.00,45.00,45.00,141.50,114.50
110.00,92.00,45.00,45.00,132.50,114.50
101.00,101.00,45.00,45.00,123.50,123.50
92.00,101.00,45.00,45.00,114.50,123.50
101.00,92.00,45.00,45.00,123.50,114.50
101.00,92.00,45.00,45.00,123.50,114.50
92.00,101.00,45.00,45.00,114.50,123.50
83.00,74.00,45.00,45.00,105.50,96.50
83.00,74.00,45.00,45.00,105.50,96.50
92.00,64.00,45.00,45.00,114.50,86.50
101.00,74.00,45.00,45.00,123.50,96.50
101.00,74.00,45.00,45.00,123.50,96.50
147.00,92.00,45.00,45.00,169.50,114.50
147.00,101.00,45.00,45.00,169.50,123.50
156.00,101.00,45.00,45.00,178.50,123.50
147.00,92.00,45.00,45.00,169.50,114.50
156.00,92.00,45.00,45.00,178.50,114.50
165.00,92.00,45.00,45.00,187.50,114.50
193.00,64.00,45.00,45.00,215.50,86.50
193.00,55.00,45.00,45.00,215.50,77.50
175.00,55.00,45.00,45.00,197.50,77.50
156.00,64.00,45.00,45.00,178.50,86.50
129.00,64.00,45.00,45.00,151.50,86.50
129.00,165.00,45.00,45.00,151.50,187.50
129.00,165.00,45.00,45.00,151.50,187.50
119.00,165.00,45.00,45.00,141.50,187.50
119.00,175.00,45.00,45.00,141.50,197.50
119.00,175.00,45.00,45.00,141.50,197.50
129.00,175.00,45.00,45.00,151.50,197.50
129.00,175.00,45.00,45.00,151.50,197.50
138.00,165.00,45.00,45.00,160.50,187.50
147.00,175.00,45.00,45.00,169.50,197.50
156.00,184.00,45.00,45.00,178.50,206.50
138.00,175.00,45.00,45.00,160.50,197.50
129.00,175.00,45.00,45.00,151.50,197.50
147.00,193.00,45.00,45.00,169.50,215.50
129.00,175.00,45.00,45.00,151.50,197.50
138.00,193.00,45.00,45.00,160.50,215.50
129.00,175.00,45.00,45.00,151.50,197.50
119.00,193.00,45.00,45.00,141.50,215.50
129.00,175.00,45.00,45.00,151.50,197.50
119.00,184.00,45.00,45.00,141.50,206.50
129.00,193.00,45.00,45.00,151.50,215.50
129.00,239.00,45.00,45.00,151.50,261.50
119.00,230.00,45.00,45.00,141.50,252.50
110.00,221.00,45.00,45.00,132.50,243.50
110.00,211.00,45.00,45.00,132.50,233.50
92.00,202.00,45.00,45.00,114.50,224.50
92.00,184.00,45.00,45.00,114.50,206.50
92.00,165.00,45.00,45.00,114.50,187.50
83.00,147.00,45.00,45.00,105.50,169.50
83.00,138.00,45.00,45.00,105.50,160.50
147.00,230.00,45.00,45.00,169.50,252.50
175.00,221.00,45.00,45.00,197.50,243.50
193.00,211.00,45.00,45.00,215.50,233.50
211.00,202.00,45.00,45.00,233.50,224.50
221.00,184.00,45.00,45.00,243.50,206.50
230.00,165.00,45.00,45.00,252.50,187.50
239.00,138.00,45.00,45.00,261.50,160.50
248.00,119.00,45.00,45.00,270.50,141.50
