98,15
x,y,dx,dy,x_c,y_c
243.27,258.55,75.27,75.27,280.91,296.18
243.27,258.55,75.27,75.27,280.91,296.18
228.00,258.55,75.27,75.27,265.64,296.18
258.55,258.55,75.27,75.27,296.18,296.18
273.82,258.55,75.27,75.27,311.45,296.18
243.27,228.00,75.27,75.27,280.91,265.64
243.27,212.73,75.27,75.27,280.91,250.36
243.27,212.73,75.27,75.27,280.91,250.36
243.27,197.45,75.27,75.27,280.91,235.09
212.73,197.45,75.27,75.27,250.36,235.09
212.73,197.45,75.27,75.27,250.36,235.09
197.45,197.45,75.27,75.27,235.09,235.09
212.73,182.18,75.27,75.27,250.36,219.82
197.45,182.18,75.27,75.27,235.09,219.82
182.18,197.45,75.27,75.27,219.82,235.09
151.64,151.64,75.27,75.27,189.27,189.27
166.91,151.64,75.27,75.27,204.55,189.27
182.18,166.91,75.27,75.27,219.82,204.55
197.45,166.91,75.27,75.27,235.09,204.55
212.73,166.91,75.27,75.27,250.36,204.55
304.36,212.73,75.27,75.27,342.00,250.36
319.64,212.73,75.27,75.27,357.27,250.36
333.82,228.00,75.27,75.27,371.45,265.64
319.64,212.73,75.27,75.27,357.27,250.36
333.82,212.73,75.27,75.27,371.45,250.36
349.09,212.73,75.27,75.27,386.73,250.36
394.91,182.18,75.27,75.27,432.55,219.82
364.36,182.18,75.27,75.27,402.00,219.82
333.82,182.18,75.27,75.27,371.45,219.82
319.64,182.18,75.27,75.27,357.27,219.82
289.09,182.18,75.27,75.27,326.73,219.82
228.00,273.82,75.27,75.27,265.64,311.45
228.00,273.82,75.27,75.27,265.64,311.45
212.73,289.09,75.27,75.27,250.36,326.73
197.45,304.36,75.27,75.27,235.09,342.00
212.73,304.36,75.27,75.27,250.36,342.00
228.00,289.09,75.27,75.27,265.64,326.73
228.00,289.09,75.27,75.27,265.64,326.73
258.55,273.82,75.27,75.27,296.18,311.45
273.82,273.82,75.27,75.27,311.45,311.45
289.09,289.09,75.27,75.27,326.73,326.73
273.82,289.09,75.27,75.27,311.45,326.73
258.55,289.09,75.27,75.27,296.18,326.73
273.82,304.36,75.27,75.27,311.45,342.00
258.55,289.09,75.27,75.27,296.18,326.73
258.55,304.36,75.27,75.27,296.18,342.00
243.27,289.09,75.27,75.27,280.91,326.73
228.00,319.64,75.27,75.27,265.64,357.27
228.00,289.09,75.27,75.27,265.64,326.73
212.73,304.36,75.27,75.27,250.36,342.00
243.27,319.64,75.27,75.27,280.91,357.27
243.27,394.91,75.27,75.27,280.91,432.55
228.00,379.64,75.27,75.27,265.64,417.27
212.73,364.36,75.27,75.27,250.36,402.00
197.45,333.82,75.27,75.27,235.09,371.45
182.18,319.64,75.27,75.27,219.82,357.27
166.91,289.09,75.27,75.27,204.55,326.73
151.64,258.55,75.27,75.27,189.27,296.18
151.64,228.00,75.27,75.27,189.27,265.64
151.64,197.45,75.27,75.27,189.27,235.09
289.09,379.64,75.27,75.27,326.73,417.27
333.82,364.36,75.27,75.27,371.45,402.00
379.64,349.09,75.27,75.27,417.27,386.73
410.18,319.64,75.27,75.27,447.82,357.27
440.73,289.09,75.27,75.27,478.36,326.73
440.73,243.27,75.27,75.27,478.36,280.91
456.00,197.45,75.27,75.27,493.64,235.09
456.00,166.91,75.27,75.27,493.64,204.55
