60,30
x,y,dx,dy,x_c,y_c
226.91,279.27,86.18,86.18,270.00,322.36
226.91,279.27,86.18,86.18,270.00,322.36
209.45,279.27,86.18,86.18,252.55,322.36
226.91,279.27,86.18,86.18,270.00,322.36
244.36,279.27,86.18,86.18,287.45,322.36
192.00,244.36,86.18,86.18,235.09,287.45
192.00,226.91,86.18,86.18,235.09,270.00
209.45,209.45,86.18,86.18,252.55,252.55
209.45,192.00,86.18,86.18,252.55,235.09
174.55,192.00,86.18,86.18,217.64,235.09
174.55,209.45,86.18,86.18,217.64,252.55
157.09,209.45,86.18,86.18,200.18,252.55
157.09,192.00,86.18,86.18,200.18,235.09
157.09,192.00,86.18,86.18,200.18,235.09
139.64,192.00,86.18,86.18,182.73,235.09
122.18,139.64,86.18,86.18,165.27,182.73
122.18,139.64,86.18,86.18,165.27,182.73
122.18,122.18,86.18,86.18,165.27,165.27
139.64,122.18,86.18,86.18,182.73,165.27
157.09,122.18,86.18,86.18,200.18,165.27
261.82,192.00,86.18,86.18,304.91,235.09
279.27,209.45,86.18,86.18,322.36,252.55
279.27,209.45,86.18,86.18,322.36,252.55
279.27,174.55,86.18,86.18,322.36,217.64
296.73,174.55,86.18,86.18,339.82,217.64
314.18,174.55,86.18,86.18,357.27,217.64
366.55,157.09,86.18,86.18,409.64,200.18
349.09,139.64,86.18,86.18,392.18,182.73
314.18,139.64,86.18,86.18,357.27,182.73
279.27,157.09,86.18,86.18,322.36,200.18
244.36,174.55,86.18,86.18,287.45,217.64
226.91,314.18,86.18,86.18,270.00,357.27
226.91,314.18,86.18,86.18,270.00,357.27
209.45,314.18,86.18,86.18,252.55,357.27
209.45,331.64,86.18,86.18,252.55,374.73
209.45,331.64,86.18,86.18,252.55,374.73
226.91,314.18,86.18,86.18,270.00,357.27
226.91,314.18,86.18,86.18,270.00,357.27
261.82,314.18,86.18,86.18,304.91,357.27
279.27,314.18,86.18,86.18,322.36,357.27
296.73,314.18,86.18,86.18,339.82,357.27
279.27,314.18,86.18,86.18,322.36,357.27
261.82,314.18,86.18,86.18,304.91,357.27
296.73,331.64,86.18,86.18,339.82,374.73
261.82,314.18,86.18,86.18,304.91,357.27
279.27,349.09,86.18,86.18,322.36,392.18
261.82,331.64,86.18,86.18,304.91,374.73
226.91,349.09,86.18,86.18,270.00,392.18
244.36,331.64,86.18,86.18,287.45,374.73
226.91,349.09,86.18,86.18,270.00,392.18
261.82,349.09,86.18,86.18,304.91,392.18
244.36,436.36,86.18,86.18,287.45,479.45
226.91,418.91,86.18,86.18,270.00,462.00
192.00,401.45,86.18,86.18,235.09,444.55
192.00,384.00,86.18,86.18,235.09,427.09
157.09,384.00,86.18,86.18,200.18,427.09
157.09,349.09,86.18,86.18,200.18,392.18
157.09,331.64,86.18,86.18,200.18,374.73
139.64,314.18,86.18,86.18,182.73,357.27
139.64,296.73,86.18,86.18,182.73,339.82
279.27,418.91,86.18,86.18,322.36,462.00
331.64,401.45,86.18,86.18,374.73,444.55
366.55,384.00,86.18,86.18,409.64,427.09
401.45,349.09,86.18,86.18,444.55,392.18
418.91,314.18,86.18,86.18,462.00,357.27
436.36,279.27,86.18,86.18,479.45,322.36
436.36,226.91,86.18,86.18,479.45,270.00
453.82,192.00,86.18,86.18,496.91,235.09
