86,-15
x,y,dx,dy,x_c,y_c
136.00,136.00,39.00,39.00,155.50,155.50
128.00,136.00,39.00,39.00,147.50,155.50
120.00,136.00,39.00,39.00,139.50,155.50
136.00,136.00,39.00,39.00,155.50,155.50
136.00,136.00,39.00,39.00,155.50,155.50
136.00,120.00,39.00,39.00,155.50,139.50
136.00,112.00,39.00,39.00,155.50,131.50
136.00,96.00,39.00,39.00,155.50,115.50
136.00,88.00,39.00,39.00,155.50,107.50
112.00,88.00,39.00,39.00,131.50,107.50
104.00,88.00,39.00,39.00,123.50,107.50
96.00,88.00,39.00,39.00,115.50,107.50
104.00,80.00,39.00,39.00,123.50,99.50
96.00,80.00,39.00,39.00,115.50,99.50
88.00,88.00,39.00,39.00,107.50,107.50
64.00,72.00,39.00,39.00,83.50,91.50
80.00,64.00,39.00,39.00,99.50,83.50
96.00,64.00,39.00,39.00,115.50,83.50
112.00,72.00,39.00,39.00,131.50,91.50
128.00,72.00,39.00,39.00,147.50,91.50
152.00,96.00,39.00,39.00,171.50,115.50
160.00,96.00,39.00,39.00,179.50,115.50
160.00,96.00,39.00,39.00,179.50,115.50
160.00,88.00,39.00,39.00,179.50,107.50
160.00,88.00,39.00,39.00,179.50,107.50
168.00,96.00,39.00,39.00,187.50,115.50
184.00,80.00,39.00,39.00,203.50,99.50
176.00,72.00,39.00,39.00,195.50,91.50
168.00,72.00,39.00,39.00,187.50,91.50
160.00,72.00,39.00,39.00,179.50,91.50
152.00,72.00,39.00,39.00,171.50,91.50
128.00,152.00,39.00,39.00,147.50,171.50
112.00,152.00,39.00,39.00,131.50,171.50
104.00,152.00,39.00,39.00,123.50,171.50
96.00,160.00,39.00,39.00,115.50,179.50
104.00,160.00,39.00,39.00,123.50,179.50
120.00,152.00,39.00,39.00,139.50,171.50
128.00,152.00,39.00,39.00,147.50,171.50
136.00,144.00,39.00,39.00,155.50,163.50
144.00,152.00,39.00,39.00,163.50,171.50
152.00,160.00,39.00,39.00,171.50,179.50
144.00,160.00,39.00,39.00,163.50,179.50
136.00,152.00,39.00,39.00,155.50,171.50
144.00,168.00,39.00,39.00,163.50,187.50
136.00,152.00,39.00,39.00,155.50,171.50
136.00,168.00,39.00,39.00,155.50,187.50
128.00,160.00,39.00,39.00,147.50,179.50
112.00,168.00,39.00,39.00,131.50,187.50
112.00,152.00,39.00,39.00,131.50,171.50
96.00,168.00,39.00,39.00,115.50,187.50
128.00,176.00,39.00,39.00,147.50,195.50
128.00,224.00,39.00,39.00,147.50,243.50
96.00,232.00,39.00,39.00,115.50,251.50
72.00,224.00,39.00,39.00,91.50,243.50
48.00,216.00,39.00,39.00,67.50,235.50
32.00,200.00,39.00,39.00,51.50,219.50
24.00,176.00,39.00,39.00,43.50,195.50
16.00,152.00,39.00,39.00,35.50,171.50
16.00,128.00,39.00,39.00,35.50,147.50
16.00,112.00,39.00,39.00,35.50,131.50
144.00,216.00,39.00,39.00,163.50,235.50
152.00,208.00,39.00,39.00,171.50,227.50
168.00,192.00,39.00,39.00,187.50,211.50
176.00,176.00,39.00,39.00,195.50,195.50
176.00,160.00,39.00,39.00,195.50,179.50
184.00,144.00,39.00,39.00,203.50,163.50
192.00,128.00,39.00,39.00,211.50,147.50
192.00,112.00,39.00,39.00,211.50,131.50
