128,0
x,y,dx,dy,x_c,y_c
237.80,297.52,73.58,73.58,274.59,334.30
222.87,297.52,73.58,73.58,259.66,334.30
207.94,297.52,73.58,73.58,244.73,334.30
252.73,297.52,73.58,73.58,289.52,334.30
267.66,297.52,73.58,73.58,304.45,334.30
237.80,267.66,73.58,73.58,274.59,304.45
237.80,252.73,73.58,73.58,274.59,289.52
237.80,222.87,73.58,73.58,274.59,259.66
237.80,207.94,73.58,73.58,274.59,244.73
193.01,207.94,73.58,73.58,229.80,244.73
178.08,207.94,73.58,73.58,214.87,244.73
163.15,207.94,73.58,73.58,199.94,244.73
178.08,207.94,73.58,73.58,214.87,244.73
163.15,207.94,73.58,73.58,199.94,244.73
148.22,207.94,73.58,73.58,185.01,244.73
118.37,178.08,73.58,73.58,155.16,214.87
133.30,163.15,73.58,73.58,170.08,199.94
148.22,148.22,73.58,73.58,185.01,185.01
178.08,163.15,73.58,73.58,214.87,199.94
207.94,178.08,73.58,73.58,244.73,214.87
282.59,207.94,73.58,73.58,319.38,244.73
297.52,207.94,73.58,73.58,334.30,244.73
297.52,207.94,73.58,73.58,334.30,244.73
297.52,193.01,73.58,73.58,334.30,229.80
312.44,193.01,73.58,73.58,349.23,229.80
326.31,207.94,73.58,73.58,363.10,244.73
356.17,178.08,73.58,73.58,392.95,214.87
341.24,163.15,73.58,73.58,378.03,199.94
312.44,163.15,73.58,73.58,349.23,199.94
282.59,163.15,73.58,73.58,319.38,199.94
252.73,178.08,73.58,73.58,289.52,214.87
237.80,326.31,73.58,73.58,274.59,363.10
207.94,312.44,73.58,73.58,244.73,349.23
193.01,326.31,73.58,73.58,229.80,363.10
178.08,341.24,73.58,73.58,214.87,378.03
178.08,341.24,73.58,73.58,214.87,378.03
193.01,326.31,73.58,73.58,229.80,363.10
237.80,341.24,73.58,73.58,274.59,378.03
267.66,312.44,73.58,73.58,304.45,349.23
282.59,326.31,73.58,73.58,319.38,363.10
297.52,326.31,73.58,73.58,334.30,363.10
297.52,326.31,73.58,73.58,334.30,363.10
282.59,326.31,73.58,73.58,319.38,363.10
282.59,356.17,73.58,73.58,319.38,392.95
267.66,341.24,73.58,73.58,304.45,378.03
267.66,371.09,73.58,73.58,304.45,407.88
237.80,356.17,73.58,73.58,274.59,392.95
207.94,371.09,73.58,73.58,244.73,407.88
207.94,341.24,73.58,73.58,244.73,378.03
193.01,356.17,73.58,73.58,229.80,392.95
237.80,371.09,73.58,73.58,274.59,407.88
252.73,445.74,73.58,73.58,289.52,482.53
207.94,430.81,73.58,73.58,244.73,467.60
178.08,400.95,73.58,73.58,214.87,437.74
148.22,371.09,73.58,73.58,185.01,407.88
118.37,341.24,73.58,73.58,155.16,378.03
104.50,312.44,73.58,73.58,141.29,349.23
104.50,282.59,73.58,73.58,141.29,319.38
89.57,237.80,73.58,73.58,126.36,274.59
89.57,193.01,73.58,73.58,126.36,229.80
282.59,430.81,73.58,73.58,319.38,467.60
312.44,415.88,73.58,73.58,349.23,452.67
356.17,400.95,73.58,73.58,392.95,437.74
371.09,356.17,73.58,73.58,407.88,392.95
386.02,326.31,73.58,73.58,422.81,363.10
400.95,297.52,73.58,73.58,437.74,334.30
415.88,252.73,73.58,73.58,452.67,289.52
415.88,207.94,73.58,73.58,452.67,244.73
