83,30
x,y,dx,dy,x_c,y_c
78.00,101.00,22.00,22.00,89.00,112.00
78.00,101.00,22.00,22.00,89.00,112.00
74.00,101.00,22.00,22.00,85.00,112.00
83.00,101.00,22.00,22.00,94.00,112.00
83.00,101.00,22.00,22.00,94.00,112.00
69.00,87.00,22.00,22.00,80.00,98.00
69.00,83.00,22.00,22.00,80.00,94.00
74.00,74.00,22.00,22.00,85.00,85.00
74.00,69.00,22.00,22.00,85.00,80.00
64.00,69.00,22.00,22.00,75.00,80.00
64.00,74.00,22.00,22.00,75.00,85.00
64.00,74.00,22.00,22.00,75.00,85.00
64.00,69.00,22.00,22.00,75.00,80.00
64.00,69.00,22.00,22.00,75.00,80.00
60.00,69.00,22.00,22.00,71.00,80.00
60.00,51.00,22.00,22.00,71.00,62.00
55.00,51.00,22.00,22.00,66.00,62.00
55.00,46.00,22.00,22.00,66.00,57.00
60.00,46.00,22.00,22.00,71.00,57.00
60.00,46.00,22.00,22.00,71.00,57.00
87.00,69.00,22.00,22.00,98.00,80.00
92.00,69.00,22.00,22.00,103.00,80.00
96.00,69.00,22.00,22.00,107.00,80.00
92.00,64.00,22.00,22.00,103.00,75.00
96.00,64.00,22.00,22.00,107.00,75.00
101.00,64.00,22.00,22.00,112.00,75.00
115.00,55.00,22.00,22.00,126.00,66.00
106.00,51.00,22.00,22.00,117.00,62.00
96.00,46.00,22.00,22.00,107.00,57.00
83.00,46.00,22.00,22.00,94.00,57.00
74.00,46.00,22.00,22.00,85.00,57.00
78.00,106.00,22.00,22.00,89.00,117.00
74.00,106.00,22.00,22.00,85.00,117.00
69.00,110.00,22.00,22.00,80.00,121.00
69.00,115.00,22.00,22.00,80.00,126.00
69.00,115.00,22.00,22.00,80.00,126.00
78.00,110.00,22.00,22.00,89.00,121.00
78.00,110.00,22.00,22.00,89.00,121.00
83.00,106.00,22.00,22.00,94.00,117.00
92.00,110.00,22.00,22.00,103.00,121.00
96.00,115.00,22.00,22.00,107.00,126.00
87.00,110.00,22.00,22.00,98.00,121.00
83.00,110.00,22.00,22.00,94.00,121.00
92.00,119.00,22.00,22.00,103.00,130.00
83.00,110.00,22.00,22.00,94.00,121.00
87.00,119.00,22.00,22.00,98.00,130.00
83.00,115.00,22.00,22.00,94.00,126.00
78.00,119.00,22.00,22.00,89.00,130.00
78.00,115.00,22.00,22.00,89.00,126.00
74.00,119.00,22.00,22.00,85.00,130.00
83.00,119.00,22.00,22.00,94.00,130.00
78.00,138.00,22.00,22.00,89.00,149.00
74.00,133.00,22.00,22.00,85.00,144.00
69.00,129.00,22.00,22.00,80.00,140.00
64.00,119.00,22.00,22.00,75.00,130.00
55.00,115.00,22.00,22.00,66.00,126.00
55.00,106.00,22.00,22.00,66.00,117.00
55.00,96.00,22.00,22.00,66.00,107.00
51.00,92.00,22.00,22.00,62.00,103.00
51.00,87.00,22.00,22.00,62.00,98.00
92.00,133.00,22.00,22.00,103.00,144.00
110.00,129.00,22.00,22.00,121.00,140.00
124.00,124.00,22.00,22.00,135.00,135.00
133.00,115.00,22.00,22.00,144.00,126.00
138.00,106.00,22.00,22.00,149.00,117.00
142.00,96.00,22.00,22.00,153.00,107.00
147.00,83.00,22.00,22.00,158.00,94.00
152.00,69.00,22.00,22.00,163.00,80.00
