53,0
x,y,dx,dy,x_c,y_c
258.55,319.64,75.27,75.27,296.18,357.27
243.27,319.64,75.27,75.27,280.91,357.27
228.00,319.64,75.27,75.27,265.64,357.27
273.82,304.36,75.27,75.27,311.45,342.00
289.09,304.36,75.27,75.27,326.73,342.00
258.55,289.09,75.27,75.27,296.18,326.73
258.55,258.55,75.27,75.27,296.18,296.18
258.55,228.00,75.27,75.27,296.18,265.64
258.55,212.73,75.27,75.27,296.18,250.36
212.73,212.73,75.27,75.27,250.36,250.36
197.45,212.73,75.27,75.27,235.09,250.36
197.45,212.73,75.27,75.27,235.09,250.36
197.45,197.45,75.27,75.27,235.09,235.09
197.45,197.45,75.27,75.27,235.09,235.09
182.18,197.45,75.27,75.27,219.82,235.09
136.36,182.18,75.27,75.27,174.00,219.82
151.64,166.91,75.27,75.27,189.27,204.55
166.91,151.64,75.27,75.27,204.55,189.27
197.45,151.64,75.27,75.27,235.09,189.27
212.73,151.64,75.27,75.27,250.36,189.27
289.09,197.45,75.27,75.27,326.73,235.09
319.64,197.45,75.27,75.27,357.27,235.09
333.82,197.45,75.27,75.27,371.45,235.09
304.36,182.18,75.27,75.27,342.00,219.82
333.82,182.18,75.27,75.27,371.45,219.82
349.09,182.18,75.27,75.27,386.73,219.82
394.91,166.91,75.27,75.27,432.55,204.55
394.91,166.91,75.27,75.27,432.55,204.55
364.36,182.18,75.27,75.27,402.00,219.82
349.09,182.18,75.27,75.27,386.73,219.82
319.64,182.18,75.27,75.27,357.27,219.82
258.55,333.82,75.27,75.27,296.18,371.45
243.27,333.82,75.27,75.27,280.91,371.45
228.00,333.82,75.27,75.27,265.64,371.45
212.73,364.36,75.27,75.27,250.36,402.00
212.73,349.09,75.27,75.27,250.36,386.73
243.27,349.09,75.27,75.27,280.91,386.73
258.55,349.09,75.27,75.27,296.18,386.73
289.09,319.64,75.27,75.27,326.73,357.27
319.64,333.82,75.27,75.27,357.27,371.45
333.82,364.36,75.27,75.27,371.45,402.00
319.64,349.09,75.27,75.27,357.27,386.73
289.09,349.09,75.27,75.27,326.73,386.73
333.82,410.18,75.27,75.27,371.45,447.82
333.82,410.18,75.27,75.27,371.45,447.82
349.09,440.73,75.27,75.27,386.73,478.36
319.64,425.45,75.27,75.27,357.27,463.09
304.36,440.73,75.27,75.27,342.00,478.36
319.64,410.18,75.27,75.27,357.27,447.82
304.36,425.45,75.27,75.27,342.00,463.09
319.64,440.73,75.27,75.27,357.27,478.36
304.36,517.09,75.27,75.27,342.00,554.73
273.82,501.82,75.27,75.27,311.45,539.45
243.27,486.55,75.27,75.27,280.91,524.18
212.73,471.27,75.27,75.27,250.36,508.91
182.18,456.00,75.27,75.27,219.82,493.64
166.91,425.45,75.27,75.27,204.55,463.09
166.91,394.91,75.27,75.27,204.55,432.55
151.64,349.09,75.27,75.27,189.27,386.73
151.64,304.36,75.27,75.27,189.27,342.00
333.82,501.82,75.27,75.27,371.45,539.45
364.36,486.55,75.27,75.27,402.00,524.18
394.91,471.27,75.27,75.27,432.55,508.91
410.18,425.45,75.27,75.27,447.82,463.09
410.18,379.64,75.27,75.27,447.82,417.27
410.18,333.82,75.27,75.27,447.82,371.45
410.18,289.09,75.27,75.27,447.82,326.73
410.18,258.55,75.27,75.27,447.82,296.18
