133,0
x,y,dx,dy,x_c,y_c
226.96,341.03,80.31,80.31,267.12,381.18
210.67,341.03,80.31,80.31,250.82,381.18
194.37,324.73,80.31,80.31,234.53,364.89
243.26,341.03,80.31,80.31,283.41,381.18
259.55,341.03,80.31,80.31,299.71,381.18
226.96,308.44,80.31,80.31,267.12,348.59
226.96,275.85,80.31,80.31,267.12,316.00
226.96,243.26,80.31,80.31,267.12,283.41
226.96,226.96,80.31,80.31,267.12,267.12
178.08,226.96,80.31,80.31,218.24,267.12
161.78,226.96,80.31,80.31,201.94,267.12
145.49,243.26,80.31,80.31,185.65,283.41
161.78,226.96,80.31,80.31,201.94,267.12
145.49,226.96,80.31,80.31,185.65,267.12
129.20,226.96,80.31,80.31,169.35,267.12
81.47,194.37,80.31,80.31,121.63,234.53
97.77,178.08,80.31,80.31,137.92,218.24
114.06,161.78,80.31,80.31,154.22,201.94
129.20,178.08,80.31,80.31,169.35,218.24
145.49,194.37,80.31,80.31,185.65,234.53
275.85,243.26,80.31,80.31,316.00,283.41
292.14,259.55,80.31,80.31,332.30,299.71
308.44,259.55,80.31,80.31,348.59,299.71
292.14,243.26,80.31,80.31,332.30,283.41
308.44,243.26,80.31,80.31,348.59,283.41
324.73,243.26,80.31,80.31,364.89,283.41
372.45,210.67,80.31,80.31,412.61,250.82
372.45,194.37,80.31,80.31,412.61,234.53
324.73,194.37,80.31,80.31,364.89,234.53
292.14,194.37,80.31,80.31,332.30,234.53
259.55,194.37,80.31,80.31,299.71,234.53
226.96,356.16,80.31,80.31,267.12,396.31
194.37,356.16,80.31,80.31,234.53,396.31
178.08,372.45,80.31,80.31,218.24,412.61
161.78,388.75,80.31,80.31,201.94,428.90
178.08,388.75,80.31,80.31,218.24,428.90
194.37,372.45,80.31,80.31,234.53,412.61
226.96,372.45,80.31,80.31,267.12,412.61
259.55,356.16,80.31,80.31,299.71,396.31
275.85,372.45,80.31,80.31,316.00,412.61
292.14,388.75,80.31,80.31,332.30,428.90
275.85,388.75,80.31,80.31,316.00,428.90
275.85,388.75,80.31,80.31,316.00,428.90
275.85,405.04,80.31,80.31,316.00,445.20
259.55,388.75,80.31,80.31,299.71,428.90
259.55,405.04,80.31,80.31,299.71,445.20
226.96,388.75,80.31,80.31,267.12,428.90
194.37,405.04,80.31,80.31,234.53,445.20
194.37,372.45,80.31,80.31,234.53,412.61
178.08,388.75,80.31,80.31,218.24,428.90
226.96,405.04,80.31,80.31,267.12,445.20
243.26,486.52,80.31,80.31,283.41,526.67
194.37,470.22,80.31,80.31,234.53,510.38
161.78,453.93,80.31,80.31,201.94,494.08
114.06,421.34,80.31,80.31,154.22,461.49
81.47,405.04,80.31,80.31,121.63,445.20
65.18,372.45,80.31,80.31,105.33,412.61
48.88,341.03,80.31,80.31,89.04,381.18
32.59,292.14,80.31,80.31,72.75,332.30
32.59,243.26,80.31,80.31,72.75,283.41
275.85,470.22,80.31,80.31,316.00,510.38
308.44,453.93,80.31,80.31,348.59,494.08
356.16,421.34,80.31,80.31,396.31,461.49
372.45,372.45,80.31,80.31,412.61,412.61
388.75,341.03,80.31,80.31,428.90,381.18
405.04,308.44,80.31,80.31,445.20,348.59
421.34,259.55,80.31,80.31,461.49,299.71
421.34,226.96,80.31,80.31,461.49,267.12
