162,0
x,y,dx,dy,x_c,y_c
237.13,316.55,78.29,78.29,276.27,355.69
221.24,316.55,78.29,78.29,260.39,355.69
221.24,316.55,78.29,78.29,260.39,355.69
253.01,316.55,78.29,78.29,292.15,355.69
268.90,316.55,78.29,78.29,308.04,355.69
237.13,284.78,78.29,78.29,276.27,323.92
237.13,268.90,78.29,78.29,276.27,308.04
237.13,237.13,78.29,78.29,276.27,276.27
253.01,221.24,78.29,78.29,292.15,260.39
205.36,221.24,78.29,78.29,244.50,260.39
189.47,237.13,78.29,78.29,228.62,276.27
173.59,237.13,78.29,78.29,212.73,276.27
189.47,221.24,78.29,78.29,228.62,260.39
173.59,221.24,78.29,78.29,212.73,260.39
157.71,221.24,78.29,78.29,196.85,260.39
111.19,189.47,78.29,78.29,150.33,228.62
125.94,157.71,78.29,78.29,165.08,196.85
141.82,141.82,78.29,78.29,180.97,180.97
173.59,141.82,78.29,78.29,212.73,180.97
189.47,141.82,78.29,78.29,228.62,180.97
300.66,221.24,78.29,78.29,339.81,260.39
316.55,221.24,78.29,78.29,355.69,260.39
332.43,221.24,78.29,78.29,371.58,260.39
316.55,205.36,78.29,78.29,355.69,244.50
332.43,205.36,78.29,78.29,371.58,244.50
347.18,205.36,78.29,78.29,386.32,244.50
378.95,173.59,78.29,78.29,418.09,212.73
378.95,157.71,78.29,78.29,418.09,196.85
347.18,141.82,78.29,78.29,386.32,180.97
316.55,141.82,78.29,78.29,355.69,180.97
284.78,141.82,78.29,78.29,323.92,180.97
237.13,332.43,78.29,78.29,276.27,371.58
221.24,332.43,78.29,78.29,260.39,371.58
205.36,347.18,78.29,78.29,244.50,386.32
189.47,363.07,78.29,78.29,228.62,402.21
205.36,363.07,78.29,78.29,244.50,402.21
221.24,347.18,78.29,78.29,260.39,386.32
237.13,347.18,78.29,78.29,276.27,386.32
268.90,332.43,78.29,78.29,308.04,371.58
300.66,347.18,78.29,78.29,339.81,386.32
316.55,347.18,78.29,78.29,355.69,386.32
300.66,347.18,78.29,78.29,339.81,386.32
268.90,347.18,78.29,78.29,308.04,386.32
300.66,363.07,78.29,78.29,339.81,402.21
284.78,347.18,78.29,78.29,323.92,386.32
284.78,378.95,78.29,78.29,323.92,418.09
253.01,363.07,78.29,78.29,292.15,402.21
221.24,378.95,78.29,78.29,260.39,418.09
221.24,363.07,78.29,78.29,260.39,402.21
205.36,378.95,78.29,78.29,244.50,418.09
253.01,378.95,78.29,78.29,292.15,418.09
253.01,442.49,78.29,78.29,292.15,481.63
205.36,426.60,78.29,78.29,244.50,465.75
173.59,394.83,78.29,78.29,212.73,433.98
141.82,363.07,78.29,78.29,180.97,402.21
111.19,316.55,78.29,78.29,150.33,355.69
95.30,268.90,78.29,78.29,134.45,308.04
95.30,221.24,78.29,78.29,134.45,260.39
79.42,173.59,78.29,78.29,118.56,212.73
79.42,125.94,78.29,78.29,118.56,165.08
284.78,426.60,78.29,78.29,323.92,465.75
332.43,394.83,78.29,78.29,371.58,433.98
378.95,363.07,78.29,78.29,418.09,402.21
410.72,316.55,78.29,78.29,449.86,355.69
426.60,284.78,78.29,78.29,465.75,323.92
442.49,237.13,78.29,78.29,481.63,276.27
458.37,189.47,78.29,78.29,497.51,228.62
458.37,157.71,78.29,78.29,497.51,196.85
