68,0
x,y,dx,dy,x_c,y_c
265.09,304.36,65.45,65.45,297.82,337.09
250.91,304.36,65.45,65.45,283.64,337.09
237.82,304.36,65.45,65.45,270.55,337.09
278.18,304.36,65.45,65.45,310.91,337.09
291.27,304.36,65.45,65.45,324.00,337.09
265.09,278.18,65.45,65.45,297.82,310.91
265.09,265.09,65.45,65.45,297.82,297.82
265.09,237.82,65.45,65.45,297.82,270.55
265.09,224.73,65.45,65.45,297.82,257.45
224.73,224.73,65.45,65.45,257.45,257.45
224.73,224.73,65.45,65.45,257.45,257.45
211.64,224.73,65.45,65.45,244.36,257.45
211.64,211.64,65.45,65.45,244.36,244.36
198.55,211.64,65.45,65.45,231.27,244.36
172.36,211.64,65.45,65.45,205.09,244.36
132.00,185.45,65.45,65.45,164.73,218.18
132.00,159.27,65.45,65.45,164.73,192.00
145.09,132.00,65.45,65.45,177.82,164.73
159.27,132.00,65.45,65.45,192.00,164.73
172.36,132.00,65.45,65.45,205.09,164.73
317.45,237.82,65.45,65.45,350.18,270.55
330.55,250.91,65.45,65.45,363.27,283.64
343.64,250.91,65.45,65.45,376.36,283.64
330.55,237.82,65.45,65.45,363.27,270.55
343.64,237.82,65.45,65.45,376.36,270.55
356.73,250.91,65.45,65.45,389.45,283.64
384.00,224.73,65.45,65.45,416.73,257.45
370.91,224.73,65.45,65.45,403.64,257.45
343.64,211.64,65.45,65.45,376.36,244.36
330.55,211.64,65.45,65.45,363.27,244.36
304.36,211.64,65.45,65.45,337.09,244.36
265.09,317.45,65.45,65.45,297.82,350.18
237.82,304.36,65.45,65.45,270.55,337.09
211.64,317.45,65.45,65.45,244.36,350.18
198.55,343.64,65.45,65.45,231.27,376.36
211.64,330.55,65.45,65.45,244.36,363.27
237.82,317.45,65.45,65.45,270.55,350.18
265.09,330.55,65.45,65.45,297.82,363.27
291.27,304.36,65.45,65.45,324.00,337.09
304.36,317.45,65.45,65.45,337.09,350.18
304.36,330.55,65.45,65.45,337.09,363.27
304.36,330.55,65.45,65.45,337.09,363.27
291.27,317.45,65.45,65.45,324.00,350.18
291.27,343.64,65.45,65.45,324.00,376.36
265.09,330.55,65.45,65.45,297.82,363.27
265.09,356.73,65.45,65.45,297.82,389.45
237.82,343.64,65.45,65.45,270.55,376.36
224.73,356.73,65.45,65.45,257.45,389.45
224.73,330.55,65.45,65.45,257.45,363.27
211.64,343.64,65.45,65.45,244.36,376.36
237.82,356.73,65.45,65.45,270.55,389.45
250.91,423.27,65.45,65.45,283.64,456.00
224.73,410.18,65.45,65.45,257.45,442.91
198.55,384.00,65.45,65.45,231.27,416.73
172.36,343.64,65.45,65.45,205.09,376.36
145.09,304.36,65.45,65.45,177.82,337.09
132.00,265.09,65.45,65.45,164.73,297.82
118.91,224.73,65.45,65.45,151.64,257.45
105.82,185.45,65.45,65.45,138.55,218.18
105.82,145.09,65.45,65.45,138.55,177.82
291.27,410.18,65.45,65.45,324.00,442.91
317.45,384.00,65.45,65.45,350.18,416.73
356.73,356.73,65.45,65.45,389.45,389.45
384.00,317.45,65.45,65.45,416.73,350.18
397.09,291.27,65.45,65.45,429.82,324.00
410.18,250.91,65.45,65.45,442.91,283.64
423.27,211.64,65.45,65.45,456.00,244.36
423.27,172.36,65.45,65.45,456.00,205.09
