82,30
x,y,dx,dy,x_c,y_c
261.67,336.43,92.29,92.29,307.81,382.58
261.67,336.43,92.29,92.29,307.81,382.58
242.98,317.74,92.29,92.29,289.12,363.89
280.36,336.43,92.29,92.29,326.50,382.58
299.05,336.43,92.29,92.29,345.20,382.58
242.98,280.36,92.29,92.29,289.12,326.50
242.98,261.67,92.29,92.29,289.12,307.81
261.67,224.29,92.29,92.29,307.81,270.43
261.67,205.60,92.29,92.29,307.81,251.74
224.29,205.60,92.29,92.29,270.43,251.74
205.60,205.60,92.29,92.29,251.74,251.74
186.91,205.60,92.29,92.29,233.05,251.74
205.60,205.60,92.29,92.29,251.74,251.74
205.60,205.60,92.29,92.29,251.74,251.74
186.91,224.29,92.29,92.29,233.05,270.43
186.91,168.22,92.29,92.29,233.05,214.36
186.91,168.22,92.29,92.29,233.05,214.36
205.60,168.22,92.29,92.29,251.74,214.36
224.29,168.22,92.29,92.29,270.43,214.36
224.29,168.22,92.29,92.29,270.43,214.36
317.74,205.60,92.29,92.29,363.89,251.74
336.43,224.29,92.29,92.29,382.58,270.43
355.12,224.29,92.29,92.29,401.27,270.43
336.43,205.60,92.29,92.29,382.58,251.74
355.12,205.60,92.29,92.29,401.27,251.74
373.82,224.29,92.29,92.29,419.96,270.43
429.89,186.91,92.29,92.29,476.03,233.05
411.20,186.91,92.29,92.29,457.34,233.05
373.82,186.91,92.29,92.29,419.96,233.05
336.43,186.91,92.29,92.29,382.58,233.05
299.05,186.91,92.29,92.29,345.20,233.05
261.67,355.12,92.29,92.29,307.81,401.27
242.98,355.12,92.29,92.29,289.12,401.27
224.29,355.12,92.29,92.29,270.43,401.27
224.29,373.82,92.29,92.29,270.43,419.96
224.29,373.82,92.29,92.29,270.43,419.96
242.98,355.12,92.29,92.29,289.12,401.27
261.67,373.82,92.29,92.29,307.81,419.96
280.36,355.12,92.29,92.29,326.50,401.27
299.05,355.12,92.29,92.29,345.20,401.27
317.74,373.82,92.29,92.29,363.89,419.96
280.36,373.82,92.29,92.29,326.50,419.96
280.36,373.82,92.29,92.29,326.50,419.96
299.05,392.51,92.29,92.29,345.20,438.65
261.67,355.12,92.29,92.29,307.81,401.27
280.36,392.51,92.29,92.29,326.50,438.65
261.67,355.12,92.29,92.29,307.81,401.27
224.29,392.51,92.29,92.29,270.43,438.65
242.98,373.82,92.29,92.29,289.12,419.96
224.29,392.51,92.29,92.29,270.43,438.65
261.67,373.82,92.29,92.29,307.81,419.96
261.67,467.27,92.29,92.29,307.81,513.41
242.98,448.58,92.29,92.29,289.12,494.72
224.29,429.89,92.29,92.29,270.43,476.03
224.29,392.51,92.29,92.29,270.43,438.65
186.91,373.82,92.29,92.29,233.05,419.96
186.91,336.43,92.29,92.29,233.05,382.58
186.91,317.74,92.29,92.29,233.05,363.89
186.91,280.36,92.29,92.29,233.05,326.50
186.91,261.67,92.29,92.29,233.05,307.81
299.05,448.58,92.29,92.29,345.20,494.72
355.12,429.89,92.29,92.29,401.27,476.03
392.51,411.20,92.29,92.29,438.65,457.34
429.89,373.82,92.29,92.29,476.03,419.96
448.58,336.43,92.29,92.29,494.72,382.58
467.27,280.36,92.29,92.29,513.41,326.50
485.96,224.29,92.29,92.29,532.10,270.43
504.65,186.91,92.29,92.29,550.79,233.05
