82,0
x,y,dx,dy,x_c,y_c
121.00,146.00,29.00,29.00,135.50,160.50
115.00,146.00,29.00,29.00,129.50,160.50
109.00,146.00,29.00,29.00,123.50,160.50
127.00,146.00,29.00,29.00,141.50,160.50
133.00,146.00,29.00,29.00,147.50,160.50
121.00,133.00,29.00,29.00,135.50,147.50
121.00,121.00,29.00,29.00,135.50,135.50
121.00,109.00,29.00,29.00,135.50,123.50
121.00,103.00,29.00,29.00,135.50,117.50
103.00,97.00,29.00,29.00,117.50,111.50
97.00,97.00,29.00,29.00,111.50,111.50
91.00,97.00,29.00,29.00,105.50,111.50
97.00,91.00,29.00,29.00,111.50,105.50
91.00,91.00,29.00,29.00,105.50,105.50
85.00,97.00,29.00,29.00,99.50,111.50
73.00,85.00,29.00,29.00,87.50,99.50
79.00,79.00,29.00,29.00,93.50,93.50
85.00,73.00,29.00,29.00,99.50,87.50
97.00,79.00,29.00,29.00,111.50,93.50
103.00,85.00,29.00,29.00,117.50,99.50
133.00,109.00,29.00,29.00,147.50,123.50
139.00,109.00,29.00,29.00,153.50,123.50
146.00,109.00,29.00,29.00,160.50,123.50
139.00,109.00,29.00,29.00,153.50,123.50
146.00,109.00,29.00,29.00,160.50,123.50
152.00,109.00,29.00,29.00,166.50,123.50
164.00,91.00,29.00,29.00,178.50,105.50
158.00,85.00,29.00,29.00,172.50,99.50
146.00,85.00,29.00,29.00,160.50,99.50
139.00,85.00,29.00,29.00,153.50,99.50
127.00,85.00,29.00,29.00,141.50,99.50
121.00,152.00,29.00,29.00,135.50,166.50
109.00,152.00,29.00,29.00,123.50,166.50
97.00,158.00,29.00,29.00,111.50,172.50
91.00,164.00,29.00,29.00,105.50,178.50
91.00,164.00,29.00,29.00,105.50,178.50
109.00,158.00,29.00,29.00,123.50,172.50
121.00,158.00,29.00,29.00,135.50,172.50
133.00,152.00,29.00,29.00,147.50,166.50
139.00,158.00,29.00,29.00,153.50,172.50
146.00,164.00,29.00,29.00,160.50,178.50
146.00,158.00,29.00,29.00,160.50,172.50
139.00,158.00,29.00,29.00,153.50,172.50
139.00,176.00,29.00,29.00,153.50,190.50
127.00,176.00,29.00,29.00,141.50,190.50
127.00,188.00,29.00,29.00,141.50,202.50
115.00,182.00,29.00,29.00,129.50,196.50
103.00,188.00,29.00,29.00,117.50,202.50
103.00,182.00,29.00,29.00,117.50,196.50
97.00,188.00,29.00,29.00,111.50,202.50
115.00,188.00,29.00,29.00,129.50,202.50
115.00,218.00,29.00,29.00,129.50,232.50
97.00,212.00,29.00,29.00,111.50,226.50
85.00,200.00,29.00,29.00,99.50,214.50
73.00,188.00,29.00,29.00,87.50,202.50
61.00,176.00,29.00,29.00,75.50,190.50
55.00,158.00,29.00,29.00,69.50,172.50
55.00,146.00,29.00,29.00,69.50,160.50
49.00,127.00,29.00,29.00,63.50,141.50
49.00,115.00,29.00,29.00,63.50,129.50
127.00,212.00,29.00,29.00,141.50,226.50
139.00,206.00,29.00,29.00,153.50,220.50
152.00,194.00,29.00,29.00,166.50,208.50
158.00,182.00,29.00,29.00,172.50,196.50
164.00,170.00,29.00,29.00,178.50,184.50
164.00,158.00,29.00,29.00,178.50,172.50
170.00,139.00,29.00,29.00,184.50,153.50
170.00,127.00,29.00,29.00,184.50,141.50
