78,-30
x,y,dx,dy,x_c,y_c
289.33,304.62,75.34,75.34,327.00,342.28
274.05,304.62,75.34,75.34,311.71,342.28
274.05,304.62,75.34,75.34,311.71,342.28
304.62,304.62,75.34,75.34,342.28,342.28
319.90,304.62,75.34,75.34,357.57,342.28
304.62,258.76,75.34,75.34,342.28,296.43
304.62,228.19,75.34,75.34,342.28,265.86
289.33,197.62,75.34,75.34,327.00,235.29
289.33,182.33,75.34,75.34,327.00,220.00
258.76,182.33,75.34,75.34,296.43,220.00
258.76,197.62,75.34,75.34,296.43,235.29
243.48,197.62,75.34,75.34,281.14,235.29
243.48,182.33,75.34,75.34,281.14,220.00
228.19,182.33,75.34,75.34,265.86,220.00
212.90,197.62,75.34,75.34,250.57,235.29
167.05,167.05,75.34,75.34,204.72,204.72
182.33,136.48,75.34,75.34,220.00,174.14
212.90,121.19,75.34,75.34,250.57,158.86
228.19,121.19,75.34,75.34,265.86,158.86
258.76,121.19,75.34,75.34,296.43,158.86
319.90,182.33,75.34,75.34,357.57,220.00
334.10,182.33,75.34,75.34,371.76,220.00
349.38,182.33,75.34,75.34,387.05,220.00
334.10,182.33,75.34,75.34,371.76,220.00
334.10,182.33,75.34,75.34,371.76,220.00
349.38,197.62,75.34,75.34,387.05,235.29
349.38,167.05,75.34,75.34,387.05,204.72
349.38,167.05,75.34,75.34,387.05,204.72
334.10,167.05,75.34,75.34,371.76,204.72
334.10,167.05,75.34,75.34,371.76,204.72
319.90,167.05,75.34,75.34,357.57,204.72
289.33,334.10,75.34,75.34,327.00,371.76
274.05,334.10,75.34,75.34,311.71,371.76
258.76,349.38,75.34,75.34,296.43,387.05
243.48,364.67,75.34,75.34,281.14,402.33
274.05,349.38,75.34,75.34,311.71,387.05
274.05,334.10,75.34,75.34,311.71,371.76
289.33,334.10,75.34,75.34,327.00,371.76
304.62,319.90,75.34,75.34,342.28,357.57
304.62,334.10,75.34,75.34,342.28,371.76
304.62,334.10,75.34,75.34,342.28,371.76
304.62,334.10,75.34,75.34,342.28,371.76
304.62,334.10,75.34,75.34,342.28,371.76
304.62,349.38,75.34,75.34,342.28,387.05
289.33,334.10,75.34,75.34,327.00,371.76
304.62,349.38,75.34,75.34,342.28,387.05
304.62,334.10,75.34,75.34,342.28,371.76
274.05,364.67,75.34,75.34,311.71,402.33
274.05,334.10,75.34,75.34,311.71,371.76
258.76,364.67,75.34,75.34,296.43,402.33
304.62,349.38,75.34,75.34,342.28,387.05
289.33,425.81,75.34,75.34,327.00,463.48
258.76,425.81,75.34,75.34,296.43,463.48
212.90,410.52,75.34,75.34,250.57,448.19
182.33,395.24,75.34,75.34,220.00,432.91
151.76,379.95,75.34,75.34,189.43,417.62
121.19,349.38,75.34,75.34,158.86,387.05
107.00,304.62,75.34,75.34,144.67,342.28
107.00,274.05,75.34,75.34,144.67,311.71
91.71,243.48,75.34,75.34,129.38,281.14
319.90,410.52,75.34,75.34,357.57,448.19
334.10,379.95,75.34,75.34,371.76,417.62
334.10,349.38,75.34,75.34,371.76,387.05
349.38,319.90,75.34,75.34,387.05,357.57
349.38,304.62,75.34,75.34,387.05,342.28
349.38,274.05,75.34,75.34,387.05,311.71
349.38,243.48,75.34,75.34,387.05,281.14
334.10,212.90,75.34,75.34,371.76,250.57
