71,0
x,y,dx,dy,x_c,y_c
228.98,299.43,86.97,86.97,272.46,342.92
211.37,299.43,86.97,86.97,254.85,342.92
193.75,299.43,86.97,86.97,237.24,342.92
246.59,299.43,86.97,86.97,290.08,342.92
264.21,299.43,86.97,86.97,307.69,342.92
228.98,264.21,86.97,86.97,272.46,307.69
228.98,246.59,86.97,86.97,272.46,290.08
228.98,211.37,86.97,86.97,272.46,254.85
228.98,193.75,86.97,86.97,272.46,237.24
176.14,211.37,86.97,86.97,219.62,254.85
158.52,211.37,86.97,86.97,202.01,254.85
158.52,228.98,86.97,86.97,202.01,272.46
158.52,211.37,86.97,86.97,202.01,254.85
158.52,211.37,86.97,86.97,202.01,254.85
140.91,228.98,86.97,86.97,184.39,272.46
105.68,211.37,86.97,86.97,149.17,254.85
123.30,193.75,86.97,86.97,166.78,237.24
140.91,176.14,86.97,86.97,184.39,219.62
176.14,176.14,86.97,86.97,219.62,219.62
193.75,176.14,86.97,86.97,237.24,219.62
281.82,193.75,86.97,86.97,325.31,237.24
299.43,193.75,86.97,86.97,342.92,237.24
317.05,193.75,86.97,86.97,360.53,237.24
299.43,176.14,86.97,86.97,342.92,219.62
317.05,176.14,86.97,86.97,360.53,219.62
334.66,176.14,86.97,86.97,378.15,219.62
369.89,140.91,86.97,86.97,413.37,184.39
352.28,123.30,86.97,86.97,395.76,166.78
317.05,123.30,86.97,86.97,360.53,166.78
299.43,140.91,86.97,86.97,342.92,184.39
264.21,158.52,86.97,86.97,307.69,202.01
228.98,334.66,86.97,86.97,272.46,378.15
211.37,334.66,86.97,86.97,254.85,378.15
193.75,352.28,86.97,86.97,237.24,395.76
193.75,387.50,86.97,86.97,237.24,430.99
193.75,369.89,86.97,86.97,237.24,413.37
211.37,334.66,86.97,86.97,254.85,378.15
228.98,352.28,86.97,86.97,272.46,395.76
264.21,317.05,86.97,86.97,307.69,360.53
281.82,334.66,86.97,86.97,325.31,378.15
299.43,334.66,86.97,86.97,342.92,378.15
281.82,334.66,86.97,86.97,325.31,378.15
264.21,334.66,86.97,86.97,307.69,378.15
299.43,352.28,86.97,86.97,342.92,395.76
281.82,334.66,86.97,86.97,325.31,378.15
281.82,369.89,86.97,86.97,325.31,413.37
246.59,352.28,86.97,86.97,290.08,395.76
228.98,369.89,86.97,86.97,272.46,413.37
228.98,334.66,86.97,86.97,272.46,378.15
211.37,352.28,86.97,86.97,254.85,395.76
246.59,369.89,86.97,86.97,290.08,413.37
264.21,440.35,86.97,86.97,307.69,483.83
228.98,422.73,86.97,86.97,272.46,466.22
193.75,387.50,86.97,86.97,237.24,430.99
158.52,352.28,86.97,86.97,202.01,395.76
123.30,317.05,86.97,86.97,166.78,360.53
105.68,264.21,86.97,86.97,149.17,307.69
105.68,211.37,86.97,86.97,149.17,254.85
105.68,140.91,86.97,86.97,149.17,184.39
105.68,88.07,86.97,86.97,149.17,131.55
299.43,422.73,86.97,86.97,342.92,466.22
334.66,387.50,86.97,86.97,378.15,430.99
369.89,352.28,86.97,86.97,413.37,395.76
405.12,299.43,86.97,86.97,448.60,342.92
422.73,264.21,86.97,86.97,466.22,307.69
440.35,228.98,86.97,86.97,483.83,272.46
457.96,176.14,86.97,86.97,501.44,219.62
457.96,140.91,86.97,86.97,501.44,184.39
