54,-30
x,y,dx,dy,x_c,y_c
276.00,253.09,114.55,114.55,333.27,310.36
253.09,253.09,114.55,114.55,310.36,310.36
230.18,253.09,114.55,114.55,287.45,310.36
276.00,253.09,114.55,114.55,333.27,310.36
276.00,230.18,114.55,114.55,333.27,287.45
276.00,207.27,114.55,114.55,333.27,264.55
276.00,184.36,114.55,114.55,333.27,241.64
253.09,161.45,114.55,114.55,310.36,218.73
230.18,138.55,114.55,114.55,287.45,195.82
161.45,161.45,114.55,114.55,218.73,218.73
161.45,184.36,114.55,114.55,218.73,241.64
138.55,184.36,114.55,114.55,195.82,241.64
161.45,161.45,114.55,114.55,218.73,218.73
138.55,161.45,114.55,114.55,195.82,218.73
138.55,184.36,114.55,114.55,195.82,241.64
68.73,138.55,114.55,114.55,126.00,195.82
91.64,115.64,114.55,114.55,148.91,172.91
138.55,91.64,114.55,114.55,195.82,148.91
161.45,115.64,114.55,114.55,218.73,172.91
207.27,115.64,114.55,114.55,264.55,172.91
276.00,138.55,114.55,114.55,333.27,195.82
298.91,138.55,114.55,114.55,356.18,195.82
322.91,138.55,114.55,114.55,380.18,195.82
298.91,115.64,114.55,114.55,356.18,172.91
298.91,115.64,114.55,114.55,356.18,172.91
322.91,115.64,114.55,114.55,380.18,172.91
345.82,45.82,114.55,114.55,403.09,103.09
345.82,22.91,114.55,114.55,403.09,80.18
298.91,22.91,114.55,114.55,356.18,80.18
276.00,22.91,114.55,114.55,333.27,80.18
253.09,22.91,114.55,114.55,310.36,80.18
276.00,298.91,114.55,114.55,333.27,356.18
253.09,298.91,114.55,114.55,310.36,356.18
230.18,322.91,114.55,114.55,287.45,380.18
207.27,345.82,114.55,114.55,264.55,403.09
253.09,345.82,114.55,114.55,310.36,403.09
276.00,298.91,114.55,114.55,333.27,356.18
276.00,322.91,114.55,114.55,333.27,380.18
298.91,276.00,114.55,114.55,356.18,333.27
298.91,298.91,114.55,114.55,356.18,356.18
322.91,322.91,114.55,114.55,380.18,380.18
298.91,298.91,114.55,114.55,356.18,356.18
298.91,298.91,114.55,114.55,356.18,356.18
298.91,345.82,114.55,114.55,356.18,403.09
298.91,322.91,114.55,114.55,356.18,380.18
298.91,345.82,114.55,114.55,356.18,403.09
298.91,322.91,114.55,114.55,356.18,380.18
276.00,368.73,114.55,114.55,333.27,426.00
276.00,322.91,114.55,114.55,333.27,380.18
253.09,368.73,114.55,114.55,310.36,426.00
298.91,345.82,114.55,114.55,356.18,403.09
298.91,483.27,114.55,114.55,356.18,540.55
253.09,483.27,114.55,114.55,310.36,540.55
184.36,460.36,114.55,114.55,241.64,517.64
138.55,437.45,114.55,114.55,195.82,494.73
91.64,414.55,114.55,114.55,148.91,471.82
68.73,368.73,114.55,114.55,126.00,426.00
45.82,298.91,114.55,114.55,103.09,356.18
45.82,230.18,114.55,114.55,103.09,287.45
22.91,161.45,114.55,114.55,80.18,218.73
345.82,460.36,114.55,114.55,403.09,517.64
368.73,414.55,114.55,114.55,426.00,471.82
368.73,368.73,114.55,114.55,426.00,426.00
391.64,322.91,114.55,114.55,448.91,380.18
414.55,276.00,114.55,114.55,471.82,333.27
414.55,230.18,114.55,114.55,471.82,287.45
414.55,184.36,114.55,114.55,471.82,241.64
414.55,138.55,114.55,114.55,471.82,195.82
