104,0
x,y,dx,dy,x_c,y_c
132.00,146.00,34.00,34.00,149.00,163.00
125.00,146.00,34.00,34.00,142.00,163.00
118.00,146.00,34.00,34.00,135.00,163.00
139.00,146.00,34.00,34.00,156.00,163.00
146.00,146.00,34.00,34.00,163.00,163.00
132.00,132.00,34.00,34.00,149.00,149.00
132.00,125.00,34.00,34.00,149.00,142.00
132.00,111.00,34.00,34.00,149.00,128.00
132.00,104.00,34.00,34.00,149.00,121.00
111.00,104.00,34.00,34.00,128.00,121.00
111.00,104.00,34.00,34.00,128.00,121.00
111.00,104.00,34.00,34.00,128.00,121.00
104.00,98.00,34.00,34.00,121.00,115.00
98.00,98.00,34.00,34.00,115.00,115.00
91.00,104.00,34.00,34.00,108.00,121.00
70.00,98.00,34.00,34.00,87.00,115.00
77.00,91.00,34.00,34.00,94.00,108.00
91.00,84.00,34.00,34.00,108.00,101.00
104.00,84.00,34.00,34.00,121.00,101.00
118.00,91.00,34.00,34.00,135.00,108.00
146.00,104.00,34.00,34.00,163.00,121.00
153.00,104.00,34.00,34.00,170.00,121.00
160.00,104.00,34.00,34.00,177.00,121.00
153.00,98.00,34.00,34.00,170.00,115.00
160.00,98.00,34.00,34.00,177.00,115.00
167.00,98.00,34.00,34.00,184.00,115.00
188.00,84.00,34.00,34.00,205.00,101.00
181.00,84.00,34.00,34.00,198.00,101.00
167.00,84.00,34.00,34.00,184.00,101.00
160.00,84.00,34.00,34.00,177.00,101.00
146.00,84.00,34.00,34.00,163.00,101.00
132.00,160.00,34.00,34.00,149.00,177.00
125.00,160.00,34.00,34.00,142.00,177.00
111.00,160.00,34.00,34.00,128.00,177.00
104.00,174.00,34.00,34.00,121.00,191.00
104.00,167.00,34.00,34.00,121.00,184.00
125.00,167.00,34.00,34.00,142.00,184.00
132.00,167.00,34.00,34.00,149.00,184.00
146.00,153.00,34.00,34.00,163.00,170.00
153.00,160.00,34.00,34.00,170.00,177.00
160.00,167.00,34.00,34.00,177.00,184.00
160.00,167.00,34.00,34.00,177.00,184.00
146.00,160.00,34.00,34.00,163.00,177.00
153.00,174.00,34.00,34.00,170.00,191.00
146.00,167.00,34.00,34.00,163.00,184.00
146.00,181.00,34.00,34.00,163.00,198.00
132.00,174.00,34.00,34.00,149.00,191.00
118.00,181.00,34.00,34.00,135.00,198.00
118.00,167.00,34.00,34.00,135.00,184.00
111.00,174.00,34.00,34.00,128.00,191.00
132.00,181.00,34.00,34.00,149.00,198.00
132.00,209.00,34.00,34.00,149.00,226.00
111.00,202.00,34.00,34.00,128.00,219.00
98.00,188.00,34.00,34.00,115.00,205.00
84.00,167.00,34.00,34.00,101.00,184.00
77.00,153.00,34.00,34.00,94.00,170.00
70.00,132.00,34.00,34.00,87.00,149.00
63.00,118.00,34.00,34.00,80.00,135.00
56.00,98.00,34.00,34.00,73.00,115.00
56.00,77.00,34.00,34.00,73.00,94.00
146.00,202.00,34.00,34.00,163.00,219.00
160.00,188.00,34.00,34.00,177.00,205.00
174.00,174.00,34.00,34.00,191.00,191.00
188.00,153.00,34.00,34.00,205.00,170.00
195.00,139.00,34.00,34.00,212.00,156.00
202.00,125.00,34.00,34.00,219.00,142.00
209.00,104.00,34.00,34.00,226.00,121.00
209.00,91.00,34.00,34.00,226.00,108.00
