143,30
x,y,dx,dy,x_c,y_c
119.00,147.00,45.00,45.00,141.50,169.50
119.00,147.00,45.00,45.00,141.50,169.50
110.00,147.00,45.00,45.00,132.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
110.00,129.00,45.00,45.00,132.50,151.50
110.00,119.00,45.00,45.00,132.50,141.50
119.00,101.00,45.00,45.00,141.50,123.50
119.00,92.00,45.00,45.00,141.50,114.50
101.00,101.00,45.00,45.00,123.50,123.50
92.00,101.00,45.00,45.00,114.50,123.50
83.00,101.00,45.00,45.00,105.50,123.50
92.00,101.00,45.00,45.00,114.50,123.50
92.00,92.00,45.00,45.00,114.50,114.50
83.00,101.00,45.00,45.00,105.50,123.50
74.00,74.00,45.00,45.00,96.50,96.50
74.00,74.00,45.00,45.00,96.50,96.50
83.00,74.00,45.00,45.00,105.50,96.50
92.00,83.00,45.00,45.00,114.50,105.50
101.00,83.00,45.00,45.00,123.50,105.50
138.00,92.00,45.00,45.00,160.50,114.50
147.00,101.00,45.00,45.00,169.50,123.50
147.00,101.00,45.00,45.00,169.50,123.50
147.00,92.00,45.00,45.00,169.50,114.50
156.00,92.00,45.00,45.00,178.50,114.50
156.00,101.00,45.00,45.00,178.50,123.50
184.00,83.00,45.00,45.00,206.50,105.50
175.00,83.00,45.00,45.00,197.50,105.50
165.00,74.00,45.00,45.00,187.50,96.50
147.00,74.00,45.00,45.00,169.50,96.50
129.00,74.00,45.00,45.00,151.50,96.50
119.00,165.00,45.00,45.00,141.50,187.50
110.00,165.00,45.00,45.00,132.50,187.50
101.00,165.00,45.00,45.00,123.50,187.50
101.00,175.00,45.00,45.00,123.50,197.50
101.00,175.00,45.00,45.00,123.50,197.50
110.00,165.00,45.00,45.00,132.50,187.50
119.00,165.00,45.00,45.00,141.50,187.50
129.00,156.00,45.00,45.00,151.50,178.50
147.00,156.00,45.00,45.00,169.50,178.50
156.00,156.00,45.00,45.00,178.50,178.50
147.00,165.00,45.00,45.00,169.50,187.50
129.00,165.00,45.00,45.00,151.50,187.50
147.00,175.00,45.00,45.00,169.50,197.50
129.00,165.00,45.00,45.00,151.50,187.50
129.00,184.00,45.00,45.00,151.50,206.50
110.00,165.00,45.00,45.00,132.50,187.50
101.00,184.00,45.00,45.00,123.50,206.50
101.00,165.00,45.00,45.00,123.50,187.50
92.00,175.00,45.00,45.00,114.50,197.50
110.00,184.00,45.00,45.00,132.50,206.50
110.00,230.00,45.00,45.00,132.50,252.50
101.00,221.00,45.00,45.00,123.50,243.50
92.00,202.00,45.00,45.00,114.50,224.50
83.00,193.00,45.00,45.00,105.50,215.50
64.00,175.00,45.00,45.00,86.50,197.50
64.00,156.00,45.00,45.00,86.50,178.50
64.00,147.00,45.00,45.00,86.50,169.50
55.00,129.00,45.00,45.00,77.50,151.50
55.00,119.00,45.00,45.00,77.50,141.50
129.00,221.00,45.00,45.00,151.50,243.50
156.00,211.00,45.00,45.00,178.50,233.50
175.00,202.00,45.00,45.00,197.50,224.50
193.00,184.00,45.00,45.00,215.50,206.50
202.00,165.00,45.00,45.00,224.50,187.50
211.00,138.00,45.00,45.00,233.50,160.50
211.00,110.00,45.00,45.00,233.50,132.50
221.00,92.00,45.00,45.00,243.50,114.50
