78,0
x,y,dx,dy,x_c,y_c
265.31,278.41,65.51,65.51,298.07,311.17
251.12,278.41,65.51,65.51,283.87,311.17
238.02,278.41,65.51,65.51,270.77,311.17
278.41,278.41,65.51,65.51,311.17,311.17
278.41,278.41,65.51,65.51,311.17,311.17
265.31,251.12,65.51,65.51,298.07,283.87
265.31,238.02,65.51,65.51,298.07,270.77
265.31,211.81,65.51,65.51,298.07,244.57
265.31,198.71,65.51,65.51,298.07,231.47
224.91,198.71,65.51,65.51,257.67,231.47
211.81,198.71,65.51,65.51,244.57,231.47
211.81,198.71,65.51,65.51,244.57,231.47
211.81,185.61,65.51,65.51,244.57,218.36
211.81,185.61,65.51,65.51,244.57,218.36
198.71,198.71,65.51,65.51,231.47,231.47
172.51,172.51,65.51,65.51,205.26,205.26
185.61,145.21,65.51,65.51,218.36,177.97
198.71,132.11,65.51,65.51,231.47,164.86
211.81,145.21,65.51,65.51,244.57,177.97
224.91,145.21,65.51,65.51,257.67,177.97
304.62,198.71,65.51,65.51,337.37,231.47
317.72,198.71,65.51,65.51,350.47,231.47
330.82,198.71,65.51,65.51,363.58,231.47
304.62,198.71,65.51,65.51,337.37,231.47
317.72,198.71,65.51,65.51,350.47,231.47
330.82,198.71,65.51,65.51,363.58,231.47
357.02,172.51,65.51,65.51,389.78,205.26
343.92,159.41,65.51,65.51,376.68,192.16
317.72,145.21,65.51,65.51,350.47,177.97
304.62,145.21,65.51,65.51,337.37,177.97
278.41,145.21,65.51,65.51,311.17,177.97
265.31,304.62,65.51,65.51,298.07,337.37
251.12,304.62,65.51,65.51,283.87,337.37
238.02,317.72,65.51,65.51,270.77,350.47
211.81,330.82,65.51,65.51,244.57,363.58
238.02,330.82,65.51,65.51,270.77,363.58
251.12,317.72,65.51,65.51,283.87,350.47
265.31,317.72,65.51,65.51,298.07,350.47
278.41,304.62,65.51,65.51,311.17,337.37
291.52,317.72,65.51,65.51,324.27,350.47
304.62,317.72,65.51,65.51,337.37,350.47
291.52,317.72,65.51,65.51,324.27,350.47
278.41,317.72,65.51,65.51,311.17,350.47
304.62,330.82,65.51,65.51,337.37,363.58
291.52,317.72,65.51,65.51,324.27,350.47
291.52,343.92,65.51,65.51,324.27,376.68
265.31,330.82,65.51,65.51,298.07,363.58
238.02,343.92,65.51,65.51,270.77,376.68
238.02,317.72,65.51,65.51,270.77,350.47
224.91,330.82,65.51,65.51,257.67,363.58
265.31,343.92,65.51,65.51,298.07,376.68
278.41,410.52,65.51,65.51,311.17,443.28
238.02,397.42,65.51,65.51,270.77,430.18
211.81,384.32,65.51,65.51,244.57,417.07
185.61,357.02,65.51,65.51,218.36,389.78
172.51,330.82,65.51,65.51,205.26,363.58
159.41,291.52,65.51,65.51,192.16,324.27
159.41,265.31,65.51,65.51,192.16,298.07
145.21,224.91,65.51,65.51,177.97,257.67
145.21,185.61,65.51,65.51,177.97,218.36
291.52,397.42,65.51,65.51,324.27,430.18
317.72,384.32,65.51,65.51,350.47,417.07
330.82,371.22,65.51,65.51,363.58,403.97
343.92,343.92,65.51,65.51,376.68,376.68
357.02,330.82,65.51,65.51,389.78,363.58
357.02,304.62,65.51,65.51,389.78,337.37
357.02,265.31,65.51,65.51,389.78,298.07
357.02,224.91,65.51,65.51,389.78,257.67
