171,0
x,y,dx,dy,x_c,y_c
231.96,321.17,88.10,88.10,276.01,365.22
214.12,321.17,88.10,88.10,258.17,365.22
196.27,303.33,88.10,88.10,240.32,347.38
249.80,321.17,88.10,88.10,293.85,365.22
267.64,321.17,88.10,88.10,311.69,365.22
231.96,285.49,88.10,88.10,276.01,329.54
231.96,249.80,88.10,88.10,276.01,293.85
231.96,214.12,88.10,88.10,276.01,258.17
231.96,196.27,88.10,88.10,276.01,240.32
178.43,196.27,88.10,88.10,222.48,240.32
178.43,196.27,88.10,88.10,222.48,240.32
178.43,214.12,88.10,88.10,222.48,258.17
160.59,196.27,88.10,88.10,204.64,240.32
160.59,196.27,88.10,88.10,204.64,240.32
142.74,214.12,88.10,88.10,186.79,258.17
89.21,178.43,88.10,88.10,133.26,222.48
107.06,160.59,88.10,88.10,151.11,204.64
124.90,142.74,88.10,88.10,168.95,186.79
160.59,160.59,88.10,88.10,204.64,204.64
196.27,178.43,88.10,88.10,240.32,222.48
285.49,214.12,88.10,88.10,329.54,258.17
303.33,214.12,88.10,88.10,347.38,258.17
321.17,214.12,88.10,88.10,365.22,258.17
303.33,196.27,88.10,88.10,347.38,240.32
321.17,196.27,88.10,88.10,365.22,240.32
339.02,196.27,88.10,88.10,383.07,240.32
374.70,160.59,88.10,88.10,418.75,204.64
356.86,160.59,88.10,88.10,400.91,204.64
321.17,160.59,88.10,88.10,365.22,204.64
303.33,160.59,88.10,88.10,347.38,204.64
267.64,160.59,88.10,88.10,311.69,204.64
231.96,339.02,88.10,88.10,276.01,383.07
214.12,339.02,88.10,88.10,258.17,383.07
196.27,356.86,88.10,88.10,240.32,400.91
178.43,374.70,88.10,88.10,222.48,418.75
178.43,374.70,88.10,88.10,222.48,418.75
214.12,356.86,88.10,88.10,258.17,400.91
231.96,356.86,88.10,88.10,276.01,400.91
267.64,339.02,88.10,88.10,311.69,383.07
285.49,356.86,88.10,88.10,329.54,400.91
303.33,356.86,88.10,88.10,347.38,400.91
285.49,356.86,88.10,88.10,329.54,400.91
285.49,356.86,88.10,88.10,329.54,400.91
285.49,392.54,88.10,88.10,329.54,436.59
267.64,374.70,88.10,88.10,311.69,418.75
267.64,410.39,88.10,88.10,311.69,454.44
231.96,392.54,88.10,88.10,276.01,436.59
196.27,410.39,88.10,88.10,240.32,454.44
196.27,374.70,88.10,88.10,240.32,418.75
178.43,374.70,88.10,88.10,222.48,418.75
231.96,410.39,88.10,88.10,276.01,454.44
249.80,499.60,88.10,88.10,293.85,543.65
196.27,481.76,88.10,88.10,240.32,525.81
160.59,463.92,88.10,88.10,204.64,507.97
124.90,428.23,88.10,88.10,168.95,472.28
107.06,410.39,88.10,88.10,151.11,454.44
89.21,356.86,88.10,88.10,133.26,400.91
89.21,321.17,88.10,88.10,133.26,365.22
71.37,267.64,88.10,88.10,115.42,311.69
71.37,214.12,88.10,88.10,115.42,258.17
285.49,481.76,88.10,88.10,329.54,525.81
321.17,463.92,88.10,88.10,365.22,507.97
356.86,446.07,88.10,88.10,400.91,490.12
374.70,392.54,88.10,88.10,418.75,436.59
392.54,356.86,88.10,88.10,436.59,400.91
392.54,321.17,88.10,88.10,436.59,365.22
410.39,267.64,88.10,88.10,454.44,311.69
410.39,231.96,88.10,88.10,454.44,276.01
