57,0
x,y,dx,dy,x_c,y_c
241.94,269.69,66.59,66.59,275.24,302.99
228.63,269.69,66.59,66.59,261.92,302.99
215.31,255.26,66.59,66.59,248.60,288.56
255.26,255.26,66.59,66.59,288.56,288.56
269.69,255.26,66.59,66.59,302.99,288.56
241.94,255.26,66.59,66.59,275.24,288.56
241.94,241.94,66.59,66.59,275.24,275.24
241.94,215.31,66.59,66.59,275.24,248.60
255.26,201.99,66.59,66.59,288.56,235.29
215.31,201.99,66.59,66.59,248.60,235.29
201.99,201.99,66.59,66.59,235.29,235.29
188.67,201.99,66.59,66.59,221.97,235.29
201.99,188.67,66.59,66.59,235.29,221.97
201.99,188.67,66.59,66.59,235.29,221.97
188.67,188.67,66.59,66.59,221.97,221.97
162.04,162.04,66.59,66.59,195.33,195.33
175.35,147.61,66.59,66.59,208.65,180.90
188.67,134.29,66.59,66.59,221.97,167.59
215.31,147.61,66.59,66.59,248.60,180.90
228.63,147.61,66.59,66.59,261.92,180.90
283.01,215.31,66.59,66.59,316.30,248.60
296.33,228.63,66.59,66.59,329.62,261.92
309.64,228.63,66.59,66.59,342.94,261.92
296.33,215.31,66.59,66.59,329.62,248.60
309.64,215.31,66.59,66.59,342.94,248.60
322.96,228.63,66.59,66.59,356.26,261.92
349.60,201.99,66.59,66.59,382.89,235.29
336.28,188.67,66.59,66.59,369.58,221.97
309.64,175.35,66.59,66.59,342.94,208.65
296.33,175.35,66.59,66.59,329.62,208.65
269.69,175.35,66.59,66.59,302.99,208.65
228.63,283.01,66.59,66.59,261.92,316.30
201.99,283.01,66.59,66.59,235.29,316.30
175.35,296.33,66.59,66.59,208.65,329.62
162.04,322.96,66.59,66.59,195.33,356.26
162.04,309.64,66.59,66.59,195.33,342.94
201.99,296.33,66.59,66.59,235.29,329.62
228.63,296.33,66.59,66.59,261.92,329.62
255.26,283.01,66.59,66.59,288.56,316.30
255.26,309.64,66.59,66.59,288.56,342.94
255.26,336.28,66.59,66.59,288.56,369.58
255.26,309.64,66.59,66.59,288.56,342.94
255.26,296.33,66.59,66.59,288.56,329.62
255.26,362.92,66.59,66.59,288.56,396.21
241.94,349.60,66.59,66.59,275.24,382.89
241.94,362.92,66.59,66.59,275.24,396.21
215.31,349.60,66.59,66.59,248.60,382.89
188.67,349.60,66.59,66.59,221.97,382.89
188.67,322.96,66.59,66.59,221.97,356.26
175.35,322.96,66.59,66.59,208.65,356.26
215.31,362.92,66.59,66.59,248.60,396.21
228.63,417.30,66.59,66.59,261.92,450.59
188.67,417.30,66.59,66.59,221.97,450.59
162.04,403.98,66.59,66.59,195.33,437.28
134.29,377.34,66.59,66.59,167.59,410.64
120.97,349.60,66.59,66.59,154.27,382.89
107.65,322.96,66.59,66.59,140.95,356.26
107.65,296.33,66.59,66.59,140.95,329.62
94.34,255.26,66.59,66.59,127.63,288.56
94.34,215.31,66.59,66.59,127.63,248.60
255.26,403.98,66.59,66.59,288.56,437.28
283.01,377.34,66.59,66.59,316.30,410.64
322.96,349.60,66.59,66.59,356.26,382.89
336.28,296.33,66.59,66.59,369.58,329.62
362.92,255.26,66.59,66.59,396.21,288.56
377.34,215.31,66.59,66.59,410.64,248.60
390.66,175.35,66.59,66.59,423.96,208.65
390.66,134.29,66.59,66.59,423.96,167.59
