125,0
x,y,dx,dy,x_c,y_c
245.99,316.27,86.75,86.75,289.36,359.65
245.99,316.27,86.75,86.75,289.36,359.65
228.42,316.27,86.75,86.75,271.79,359.65
263.56,316.27,86.75,86.75,306.94,359.65
263.56,316.27,86.75,86.75,306.94,359.65
245.99,281.13,86.75,86.75,289.36,324.51
245.99,263.56,86.75,86.75,289.36,306.94
245.99,228.42,86.75,86.75,289.36,271.79
245.99,210.85,86.75,86.75,289.36,254.22
193.28,210.85,86.75,86.75,236.65,254.22
175.71,210.85,86.75,86.75,219.08,254.22
175.71,210.85,86.75,86.75,219.08,254.22
175.71,210.85,86.75,86.75,219.08,254.22
175.71,210.85,86.75,86.75,219.08,254.22
158.13,210.85,86.75,86.75,201.51,254.22
122.99,193.28,86.75,86.75,166.37,236.65
140.56,158.13,86.75,86.75,183.94,201.51
158.13,140.56,86.75,86.75,201.51,183.94
175.71,158.13,86.75,86.75,219.08,201.51
193.28,175.71,86.75,86.75,236.65,219.08
281.13,210.85,86.75,86.75,324.51,254.22
298.70,210.85,86.75,86.75,342.08,254.22
316.27,210.85,86.75,86.75,359.65,254.22
298.70,193.28,86.75,86.75,342.08,236.65
316.27,193.28,86.75,86.75,359.65,236.65
333.84,193.28,86.75,86.75,377.22,236.65
368.98,158.13,86.75,86.75,412.36,201.51
351.41,158.13,86.75,86.75,394.79,201.51
316.27,158.13,86.75,86.75,359.65,201.51
298.70,158.13,86.75,86.75,342.08,201.51
263.56,158.13,86.75,86.75,306.94,201.51
245.99,333.84,86.75,86.75,289.36,377.22
228.42,316.27,86.75,86.75,271.79,359.65
210.85,316.27,86.75,86.75,254.22,359.65
210.85,333.84,86.75,86.75,254.22,377.22
210.85,333.84,86.75,86.75,254.22,377.22
228.42,333.84,86.75,86.75,271.79,377.22
245.99,351.41,86.75,86.75,289.36,394.79
263.56,333.84,86.75,86.75,306.94,377.22
281.13,333.84,86.75,86.75,324.51,377.22
298.70,351.41,86.75,86.75,342.08,394.79
281.13,351.41,86.75,86.75,324.51,394.79
263.56,351.41,86.75,86.75,306.94,394.79
298.70,368.98,86.75,86.75,342.08,412.36
281.13,351.41,86.75,86.75,324.51,394.79
281.13,368.98,86.75,86.75,324.51,412.36
245.99,351.41,86.75,86.75,289.36,394.79
228.42,368.98,86.75,86.75,271.79,412.36
228.42,333.84,86.75,86.75,271.79,377.22
210.85,351.41,86.75,86.75,254.22,394.79
245.99,368.98,86.75,86.75,289.36,412.36
263.56,439.26,86.75,86.75,306.94,482.64
228.42,421.69,86.75,86.75,271.79,465.07
193.28,386.55,86.75,86.75,236.65,429.93
158.13,351.41,86.75,86.75,201.51,394.79
140.56,298.70,86.75,86.75,183.94,342.08
140.56,245.99,86.75,86.75,183.94,289.36
140.56,193.28,86.75,86.75,183.94,236.65
122.99,140.56,86.75,86.75,166.37,183.94
122.99,87.85,86.75,86.75,166.37,131.23
298.70,421.69,86.75,86.75,342.08,465.07
333.84,386.55,86.75,86.75,377.22,429.93
368.98,351.41,86.75,86.75,412.36,394.79
386.55,298.70,86.75,86.75,429.93,342.08
404.12,263.56,86.75,86.75,447.50,306.94
421.69,210.85,86.75,86.75,465.07,254.22
439.26,158.13,86.75,86.75,482.64,201.51
439.26,122.99,86.75,86.75,482.64,166.37
