45,30
x,y,dx,dy,x_c,y_c
204.22,277.53,72.26,72.26,240.35,313.66
189.56,277.53,72.26,72.26,225.69,313.66
174.89,277.53,72.26,72.26,211.03,313.66
218.88,277.53,72.26,72.26,255.01,313.66
218.88,277.53,72.26,72.26,255.01,313.66
204.22,248.20,72.26,72.26,240.35,284.33
204.22,233.54,72.26,72.26,240.35,269.67
218.88,204.22,72.26,72.26,255.01,240.35
233.54,189.56,72.26,72.26,269.67,225.69
204.22,189.56,72.26,72.26,240.35,225.69
189.56,189.56,72.26,72.26,225.69,225.69
174.89,189.56,72.26,72.26,211.03,225.69
189.56,189.56,72.26,72.26,225.69,225.69
189.56,189.56,72.26,72.26,225.69,225.69
174.89,189.56,72.26,72.26,211.03,225.69
160.23,145.57,72.26,72.26,196.36,181.70
160.23,145.57,72.26,72.26,196.36,181.70
160.23,145.57,72.26,72.26,196.36,181.70
174.89,160.23,72.26,72.26,211.03,196.36
189.56,160.23,72.26,72.26,225.69,196.36
277.53,189.56,72.26,72.26,313.66,225.69
292.19,204.22,72.26,72.26,328.32,240.35
306.85,204.22,72.26,72.26,342.98,240.35
292.19,189.56,72.26,72.26,328.32,225.69
306.85,189.56,72.26,72.26,342.98,225.69
320.47,189.56,72.26,72.26,356.60,225.69
364.45,160.23,72.26,72.26,400.58,196.36
335.13,160.23,72.26,72.26,371.26,196.36
306.85,160.23,72.26,72.26,342.98,196.36
277.53,160.23,72.26,72.26,313.66,196.36
248.20,160.23,72.26,72.26,284.33,196.36
204.22,306.85,72.26,72.26,240.35,342.98
189.56,306.85,72.26,72.26,225.69,342.98
174.89,306.85,72.26,72.26,211.03,342.98
174.89,320.47,72.26,72.26,211.03,356.60
174.89,320.47,72.26,72.26,211.03,356.60
189.56,306.85,72.26,72.26,225.69,342.98
204.22,320.47,72.26,72.26,240.35,356.60
218.88,306.85,72.26,72.26,255.01,342.98
248.20,306.85,72.26,72.26,284.33,342.98
262.87,306.85,72.26,72.26,299.00,342.98
233.54,320.47,72.26,72.26,269.67,356.60
204.22,306.85,72.26,72.26,240.35,342.98
248.20,320.47,72.26,72.26,284.33,356.60
218.88,306.85,72.26,72.26,255.01,342.98
233.54,335.13,72.26,72.26,269.67,371.26
204.22,320.47,72.26,72.26,240.35,356.60
189.56,335.13,72.26,72.26,225.69,371.26
189.56,320.47,72.26,72.26,225.69,356.60
189.56,335.13,72.26,72.26,225.69,371.26
204.22,335.13,72.26,72.26,240.35,371.26
204.22,408.44,72.26,72.26,240.35,444.57
204.22,393.77,72.26,72.26,240.35,429.91
189.56,379.11,72.26,72.26,225.69,415.24
189.56,364.45,72.26,72.26,225.69,400.58
174.89,335.13,72.26,72.26,211.03,371.26
174.89,306.85,72.26,72.26,211.03,342.98
174.89,277.53,72.26,72.26,211.03,313.66
174.89,248.20,72.26,72.26,211.03,284.33
174.89,233.54,72.26,72.26,211.03,269.67
248.20,408.44,72.26,72.26,284.33,444.57
292.19,393.77,72.26,72.26,328.32,429.91
335.13,379.11,72.26,72.26,371.26,415.24
364.45,349.79,72.26,72.26,400.58,385.92
379.11,320.47,72.26,72.26,415.24,356.60
393.77,277.53,72.26,72.26,429.91,313.66
408.44,233.54,72.26,72.26,444.57,269.67
423.10,189.56,72.26,72.26,459.23,225.69
