52,0
x,y,dx,dy,x_c,y_c
238.02,291.52,65.51,65.51,270.77,324.27
224.91,291.52,65.51,65.51,257.67,324.27
224.91,278.41,65.51,65.51,257.67,311.17
251.12,278.41,65.51,65.51,283.87,311.17
265.31,278.41,65.51,65.51,298.07,311.17
238.02,278.41,65.51,65.51,270.77,311.17
251.12,265.31,65.51,65.51,283.87,298.07
251.12,238.02,65.51,65.51,283.87,270.77
251.12,224.91,65.51,65.51,283.87,257.67
224.91,224.91,65.51,65.51,257.67,257.67
211.81,224.91,65.51,65.51,244.57,257.67
211.81,224.91,65.51,65.51,244.57,257.67
211.81,211.81,65.51,65.51,244.57,244.57
211.81,211.81,65.51,65.51,244.57,244.57
198.71,224.91,65.51,65.51,231.47,257.67
159.41,211.81,65.51,65.51,192.16,244.57
172.51,198.71,65.51,65.51,205.26,231.47
185.61,185.61,65.51,65.51,218.36,218.36
211.81,185.61,65.51,65.51,244.57,218.36
224.91,198.71,65.51,65.51,257.67,231.47
291.52,224.91,65.51,65.51,324.27,257.67
304.62,224.91,65.51,65.51,337.37,257.67
317.72,224.91,65.51,65.51,350.47,257.67
304.62,224.91,65.51,65.51,337.37,257.67
317.72,224.91,65.51,65.51,350.47,257.67
330.82,224.91,65.51,65.51,363.58,257.67
371.22,198.71,65.51,65.51,403.97,231.47
357.02,198.71,65.51,65.51,389.78,231.47
330.82,198.71,65.51,65.51,363.58,231.47
304.62,198.71,65.51,65.51,337.37,231.47
278.41,198.71,65.51,65.51,311.17,231.47
238.02,304.62,65.51,65.51,270.77,337.37
224.91,291.52,65.51,65.51,257.67,324.27
211.81,304.62,65.51,65.51,244.57,337.37
198.71,317.72,65.51,65.51,231.47,350.47
211.81,330.82,65.51,65.51,244.57,363.58
224.91,304.62,65.51,65.51,257.67,337.37
238.02,317.72,65.51,65.51,270.77,350.47
265.31,304.62,65.51,65.51,298.07,337.37
291.52,317.72,65.51,65.51,324.27,350.47
304.62,343.92,65.51,65.51,337.37,376.68
291.52,317.72,65.51,65.51,324.27,350.47
278.41,317.72,65.51,65.51,311.17,350.47
304.62,371.22,65.51,65.51,337.37,403.97
291.52,357.02,65.51,65.51,324.27,389.78
291.52,371.22,65.51,65.51,324.27,403.97
265.31,357.02,65.51,65.51,298.07,389.78
224.91,371.22,65.51,65.51,257.67,403.97
238.02,343.92,65.51,65.51,270.77,376.68
224.91,343.92,65.51,65.51,257.67,376.68
265.31,371.22,65.51,65.51,298.07,403.97
278.41,436.73,65.51,65.51,311.17,469.48
251.12,423.63,65.51,65.51,283.87,456.38
224.91,397.42,65.51,65.51,257.67,430.18
198.71,371.22,65.51,65.51,231.47,403.97
172.51,357.02,65.51,65.51,205.26,389.78
159.41,330.82,65.51,65.51,192.16,363.58
159.41,304.62,65.51,65.51,192.16,337.37
145.21,265.31,65.51,65.51,177.97,298.07
145.21,238.02,65.51,65.51,177.97,270.77
304.62,423.63,65.51,65.51,337.37,456.38
343.92,397.42,65.51,65.51,376.68,430.18
371.22,371.22,65.51,65.51,403.97,403.97
384.32,330.82,65.51,65.51,417.07,363.58
410.52,304.62,65.51,65.51,443.28,337.37
423.63,278.41,65.51,65.51,456.38,311.17
436.73,238.02,65.51,65.51,469.48,270.77
436.73,198.71,65.51,65.51,469.48,231.47
