141,0
x,y,dx,dy,x_c,y_c
445.34,387.30,71.06,71.06,480.87,422.83
431.12,387.30,71.06,71.06,466.66,422.83
431.12,387.30,71.06,71.06,466.66,422.83
459.55,387.30,71.06,71.06,495.08,422.83
473.76,387.30,71.06,71.06,509.29,422.83
445.34,358.87,71.06,71.06,480.87,394.41
445.34,344.66,71.06,71.06,480.87,380.19
445.34,316.24,71.06,71.06,480.87,351.77
445.34,302.02,71.06,71.06,480.87,337.56
402.70,302.02,71.06,71.06,438.23,337.56
387.30,302.02,71.06,71.06,422.83,337.56
387.30,316.24,71.06,71.06,422.83,351.77
387.30,302.02,71.06,71.06,422.83,337.56
387.30,302.02,71.06,71.06,422.83,337.56
373.09,316.24,71.06,71.06,408.62,351.77
330.45,287.81,71.06,71.06,365.98,323.34
344.66,272.41,71.06,71.06,380.19,307.95
358.87,258.20,71.06,71.06,394.41,293.73
387.30,272.41,71.06,71.06,422.83,307.95
402.70,272.41,71.06,71.06,438.23,307.95
473.76,302.02,71.06,71.06,509.29,337.56
487.98,302.02,71.06,71.06,523.51,337.56
502.19,302.02,71.06,71.06,537.72,337.56
487.98,287.81,71.06,71.06,523.51,323.34
487.98,287.81,71.06,71.06,523.51,323.34
502.19,302.02,71.06,71.06,537.72,337.56
531.80,272.41,71.06,71.06,567.33,307.95
517.59,258.20,71.06,71.06,553.12,293.73
502.19,258.20,71.06,71.06,537.72,293.73
487.98,258.20,71.06,71.06,523.51,293.73
459.55,258.20,71.06,71.06,495.08,293.73
445.34,416.91,71.06,71.06,480.87,452.44
431.12,416.91,71.06,71.06,466.66,452.44
416.91,431.12,71.06,71.06,452.44,466.66
402.70,459.55,71.06,71.06,438.23,495.08
416.91,459.55,71.06,71.06,452.44,495.08
431.12,431.12,71.06,71.06,466.66,466.66
445.34,431.12,71.06,71.06,480.87,466.66
473.76,416.91,71.06,71.06,509.29,452.44
487.98,431.12,71.06,71.06,523.51,466.66
502.19,445.34,71.06,71.06,537.72,480.87
487.98,445.34,71.06,71.06,523.51,480.87
473.76,445.34,71.06,71.06,509.29,480.87
487.98,459.55,71.06,71.06,523.51,495.08
473.76,445.34,71.06,71.06,509.29,480.87
473.76,473.76,71.06,71.06,509.29,509.29
445.34,459.55,71.06,71.06,480.87,495.08
416.91,473.76,71.06,71.06,452.44,509.29
416.91,445.34,71.06,71.06,452.44,480.87
402.70,459.55,71.06,71.06,438.23,495.08
445.34,473.76,71.06,71.06,480.87,509.29
445.34,546.01,71.06,71.06,480.87,581.54
416.91,531.80,71.06,71.06,452.44,567.33
387.30,502.19,71.06,71.06,422.83,537.72
358.87,473.76,71.06,71.06,394.41,509.29
344.66,445.34,71.06,71.06,380.19,480.87
330.45,416.91,71.06,71.06,365.98,452.44
330.45,387.30,71.06,71.06,365.98,422.83
330.45,344.66,71.06,71.06,365.98,380.19
330.45,302.02,71.06,71.06,365.98,337.56
473.76,531.80,71.06,71.06,509.29,567.33
502.19,517.59,71.06,71.06,537.72,553.12
531.80,502.19,71.06,71.06,567.33,537.72
546.01,459.55,71.06,71.06,581.54,495.08
546.01,431.12,71.06,71.06,581.54,466.66
546.01,402.70,71.06,71.06,581.54,438.23
546.01,358.87,71.06,71.06,581.54,394.41
546.01,330.45,71.06,71.06,581.54,365.98
