52,0
x,y,dx,dy,x_c,y_c
310.09,376.46,109.80,109.80,364.99,431.36
288.38,376.46,109.80,109.80,343.28,431.36
288.38,376.46,109.80,109.80,343.28,431.36
333.02,376.46,109.80,109.80,387.92,431.36
354.74,376.46,109.80,109.80,409.64,431.36
310.09,333.02,109.80,109.80,364.99,387.92
310.09,310.09,109.80,109.80,364.99,364.99
288.38,266.66,109.80,109.80,343.28,321.56
288.38,243.73,109.80,109.80,343.28,298.63
243.73,266.66,109.80,109.80,298.63,321.56
222.01,266.66,109.80,109.80,276.91,321.56
222.01,266.66,109.80,109.80,276.91,321.56
222.01,266.66,109.80,109.80,276.91,321.56
222.01,266.66,109.80,109.80,276.91,321.56
199.09,288.38,109.80,109.80,253.99,343.28
132.73,243.73,109.80,109.80,187.63,298.63
155.65,199.09,109.80,109.80,210.55,253.99
177.37,177.37,109.80,109.80,232.27,232.27
222.01,177.37,109.80,109.80,276.91,232.27
266.66,177.37,109.80,109.80,321.56,232.27
354.74,243.73,109.80,109.80,409.64,298.63
376.46,243.73,109.80,109.80,431.36,298.63
399.38,243.73,109.80,109.80,454.28,298.63
376.46,222.01,109.80,109.80,431.36,276.91
376.46,222.01,109.80,109.80,431.36,276.91
399.38,222.01,109.80,109.80,454.28,276.91
444.03,177.37,109.80,109.80,498.93,232.27
421.10,155.65,109.80,109.80,476.00,210.55
376.46,132.73,109.80,109.80,431.36,187.63
354.74,132.73,109.80,109.80,409.64,187.63
310.09,155.65,109.80,109.80,364.99,210.55
333.02,399.38,109.80,109.80,387.92,454.28
310.09,399.38,109.80,109.80,364.99,454.28
288.38,421.10,109.80,109.80,343.28,476.00
266.66,444.03,109.80,109.80,321.56,498.93
288.38,444.03,109.80,109.80,343.28,498.93
310.09,421.10,109.80,109.80,364.99,476.00
333.02,421.10,109.80,109.80,387.92,476.00
376.46,376.46,109.80,109.80,431.36,431.36
399.38,399.38,109.80,109.80,454.28,454.28
421.10,399.38,109.80,109.80,476.00,454.28
399.38,421.10,109.80,109.80,454.28,476.00
399.38,399.38,109.80,109.80,454.28,454.28
421.10,444.03,109.80,109.80,476.00,498.93
399.38,421.10,109.80,109.80,454.28,476.00
399.38,444.03,109.80,109.80,454.28,498.93
333.02,421.10,109.80,109.80,387.92,476.00
288.38,444.03,109.80,109.80,343.28,498.93
288.38,399.38,109.80,109.80,343.28,454.28
266.66,421.10,109.80,109.80,321.56,476.00
333.02,444.03,109.80,109.80,387.92,498.93
333.02,532.11,109.80,109.80,387.92,587.01
266.66,510.39,109.80,109.80,321.56,565.29
222.01,465.75,109.80,109.80,276.91,520.65
177.37,421.10,109.80,109.80,232.27,476.00
132.73,376.46,109.80,109.80,187.63,431.36
111.01,333.02,109.80,109.80,165.91,387.92
111.01,288.38,109.80,109.80,165.91,343.28
111.01,222.01,109.80,109.80,165.91,276.91
111.01,177.37,109.80,109.80,165.91,232.27
376.46,510.39,109.80,109.80,431.36,565.29
421.10,487.46,109.80,109.80,476.00,542.36
444.03,444.03,109.80,109.80,498.93,498.93
465.75,376.46,109.80,109.80,520.65,431.36
465.75,333.02,109.80,109.80,520.65,387.92
465.75,288.38,109.80,109.80,520.65,343.28
487.46,222.01,109.80,109.80,542.36,276.91
487.46,177.37,109.80,109.80,542.36,232.27
