141,0
x,y,dx,dy,x_c,y_c
278.41,291.52,65.51,65.51,311.17,324.27
278.41,291.52,65.51,65.51,311.17,324.27
265.31,291.52,65.51,65.51,298.07,324.27
291.52,291.52,65.51,65.51,324.27,324.27
304.62,291.52,65.51,65.51,337.37,324.27
278.41,265.31,65.51,65.51,311.17,298.07
278.41,251.12,65.51,65.51,311.17,283.87
278.41,224.91,65.51,65.51,311.17,257.67
278.41,211.81,65.51,65.51,311.17,244.57
238.02,211.81,65.51,65.51,270.77,244.57
224.91,211.81,65.51,65.51,257.67,244.57
211.81,211.81,65.51,65.51,244.57,244.57
224.91,198.71,65.51,65.51,257.67,231.47
211.81,198.71,65.51,65.51,244.57,231.47
198.71,198.71,65.51,65.51,231.47,231.47
172.51,172.51,65.51,65.51,205.26,205.26
185.61,159.41,65.51,65.51,218.36,192.16
198.71,145.21,65.51,65.51,231.47,177.97
224.91,159.41,65.51,65.51,257.67,192.16
238.02,159.41,65.51,65.51,270.77,192.16
317.72,211.81,65.51,65.51,350.47,244.57
330.82,211.81,65.51,65.51,363.58,244.57
343.92,211.81,65.51,65.51,376.68,244.57
330.82,211.81,65.51,65.51,363.58,244.57
343.92,211.81,65.51,65.51,376.68,244.57
357.02,211.81,65.51,65.51,389.78,244.57
384.32,185.61,65.51,65.51,417.07,218.36
371.22,172.51,65.51,65.51,403.97,205.26
343.92,159.41,65.51,65.51,376.68,192.16
330.82,159.41,65.51,65.51,363.58,192.16
304.62,159.41,65.51,65.51,337.37,192.16
278.41,317.72,65.51,65.51,311.17,350.47
251.12,317.72,65.51,65.51,283.87,350.47
238.02,330.82,65.51,65.51,270.77,363.58
224.91,343.92,65.51,65.51,257.67,376.68
238.02,343.92,65.51,65.51,270.77,376.68
251.12,330.82,65.51,65.51,283.87,363.58
278.41,330.82,65.51,65.51,311.17,363.58
291.52,317.72,65.51,65.51,324.27,350.47
304.62,330.82,65.51,65.51,337.37,363.58
317.72,343.92,65.51,65.51,350.47,376.68
304.62,343.92,65.51,65.51,337.37,376.68
304.62,330.82,65.51,65.51,337.37,363.58
304.62,357.02,65.51,65.51,337.37,389.78
291.52,343.92,65.51,65.51,324.27,376.68
291.52,371.22,65.51,65.51,324.27,403.97
265.31,357.02,65.51,65.51,298.07,389.78
251.12,371.22,65.51,65.51,283.87,403.97
251.12,343.92,65.51,65.51,283.87,376.68
238.02,357.02,65.51,65.51,270.77,389.78
265.31,371.22,65.51,65.51,298.07,403.97
278.41,436.73,65.51,65.51,311.17,469.48
238.02,436.73,65.51,65.51,270.77,469.48
211.81,423.63,65.51,65.51,244.57,456.38
185.61,410.52,65.51,65.51,218.36,443.28
172.51,397.42,65.51,65.51,205.26,430.18
159.41,371.22,65.51,65.51,192.16,403.97
159.41,343.92,65.51,65.51,192.16,376.68
145.21,304.62,65.51,65.51,177.97,337.37
145.21,265.31,65.51,65.51,177.97,298.07
304.62,423.63,65.51,65.51,337.37,456.38
330.82,397.42,65.51,65.51,363.58,430.18
357.02,371.22,65.51,65.51,389.78,403.97
371.22,330.82,65.51,65.51,403.97,363.58
371.22,304.62,65.51,65.51,403.97,337.37
371.22,278.41,65.51,65.51,403.97,311.17
384.32,238.02,65.51,65.51,417.07,270.77
384.32,198.71,65.51,65.51,417.07,231.47
