153,0
x,y,dx,dy,x_c,y_c
262.04,314.44,86.25,86.25,305.16,357.57
244.57,314.44,86.25,86.25,287.69,357.57
244.57,314.44,86.25,86.25,287.69,357.57
279.51,314.44,86.25,86.25,322.63,357.57
296.97,314.44,86.25,86.25,340.10,357.57
262.04,279.51,86.25,86.25,305.16,322.63
262.04,262.04,86.25,86.25,305.16,305.16
262.04,227.10,86.25,86.25,305.16,270.22
262.04,209.63,86.25,86.25,305.16,252.76
209.63,209.63,86.25,86.25,252.76,252.76
192.16,209.63,86.25,86.25,235.29,252.76
174.69,209.63,86.25,86.25,217.82,252.76
192.16,192.16,86.25,86.25,235.29,235.29
174.69,192.16,86.25,86.25,217.82,235.29
157.22,209.63,86.25,86.25,200.35,252.76
122.28,174.69,86.25,86.25,165.41,217.82
139.75,157.22,86.25,86.25,182.88,200.35
157.22,139.75,86.25,86.25,200.35,182.88
174.69,157.22,86.25,86.25,217.82,200.35
192.16,174.69,86.25,86.25,235.29,217.82
314.44,209.63,86.25,86.25,357.57,252.76
331.91,209.63,86.25,86.25,375.04,252.76
349.38,209.63,86.25,86.25,392.51,252.76
331.91,209.63,86.25,86.25,375.04,252.76
349.38,209.63,86.25,86.25,392.51,252.76
366.85,209.63,86.25,86.25,409.98,252.76
401.79,174.69,86.25,86.25,444.92,217.82
384.32,157.22,86.25,86.25,427.45,200.35
349.38,157.22,86.25,86.25,392.51,200.35
314.44,157.22,86.25,86.25,357.57,200.35
279.51,174.69,86.25,86.25,322.63,217.82
262.04,331.91,86.25,86.25,305.16,375.04
227.10,331.91,86.25,86.25,270.22,375.04
209.63,349.38,86.25,86.25,252.76,392.51
192.16,366.85,86.25,86.25,235.29,409.98
209.63,366.85,86.25,86.25,252.76,409.98
227.10,349.38,86.25,86.25,270.22,392.51
262.04,349.38,86.25,86.25,305.16,392.51
296.97,314.44,86.25,86.25,340.10,357.57
314.44,331.91,86.25,86.25,357.57,375.04
331.91,349.38,86.25,86.25,375.04,392.51
314.44,349.38,86.25,86.25,357.57,392.51
296.97,349.38,86.25,86.25,340.10,392.51
314.44,384.32,86.25,86.25,357.57,427.45
296.97,366.85,86.25,86.25,340.10,409.98
296.97,401.79,86.25,86.25,340.10,444.92
262.04,384.32,86.25,86.25,305.16,427.45
209.63,401.79,86.25,86.25,252.76,444.92
209.63,366.85,86.25,86.25,252.76,409.98
192.16,384.32,86.25,86.25,235.29,427.45
262.04,401.79,86.25,86.25,305.16,444.92
262.04,489.13,86.25,86.25,305.16,532.26
209.63,471.67,86.25,86.25,252.76,514.79
174.69,436.73,86.25,86.25,217.82,479.85
139.75,401.79,86.25,86.25,182.88,444.92
122.28,366.85,86.25,86.25,165.41,409.98
104.81,331.91,86.25,86.25,147.94,375.04
104.81,296.97,86.25,86.25,147.94,340.10
87.35,244.57,86.25,86.25,130.47,287.69
87.35,209.63,86.25,86.25,130.47,252.76
296.97,471.67,86.25,86.25,340.10,514.79
331.91,436.73,86.25,86.25,375.04,479.85
349.38,401.79,86.25,86.25,392.51,444.92
366.85,349.38,86.25,86.25,409.98,392.51
384.32,314.44,86.25,86.25,427.45,357.57
401.79,279.51,86.25,86.25,444.92,322.63
419.26,227.10,86.25,86.25,462.38,270.22
419.26,174.69,86.25,86.25,462.38,217.82
