145,0
x,y,dx,dy,x_c,y_c
244.57,296.97,86.25,86.25,287.69,340.10
227.10,296.97,86.25,86.25,270.22,340.10
209.63,296.97,86.25,86.25,252.76,340.10
262.04,296.97,86.25,86.25,305.16,340.10
279.51,296.97,86.25,86.25,322.63,340.10
244.57,262.04,86.25,86.25,287.69,305.16
244.57,244.57,86.25,86.25,287.69,287.69
244.57,209.63,86.25,86.25,287.69,252.76
244.57,192.16,86.25,86.25,287.69,235.29
192.16,192.16,86.25,86.25,235.29,235.29
192.16,192.16,86.25,86.25,235.29,235.29
192.16,192.16,86.25,86.25,235.29,235.29
174.69,192.16,86.25,86.25,217.82,235.29
174.69,192.16,86.25,86.25,217.82,235.29
157.22,192.16,86.25,86.25,200.35,235.29
122.28,157.22,86.25,86.25,165.41,200.35
139.75,139.75,86.25,86.25,182.88,182.88
157.22,139.75,86.25,86.25,200.35,182.88
192.16,157.22,86.25,86.25,235.29,200.35
209.63,157.22,86.25,86.25,252.76,200.35
279.51,192.16,86.25,86.25,322.63,235.29
296.97,192.16,86.25,86.25,340.10,235.29
314.44,192.16,86.25,86.25,357.57,235.29
296.97,174.69,86.25,86.25,340.10,217.82
314.44,174.69,86.25,86.25,357.57,217.82
331.91,192.16,86.25,86.25,375.04,235.29
366.85,157.22,86.25,86.25,409.98,200.35
349.38,157.22,86.25,86.25,392.51,200.35
314.44,157.22,86.25,86.25,357.57,200.35
296.97,157.22,86.25,86.25,340.10,200.35
262.04,157.22,86.25,86.25,305.16,200.35
244.57,314.44,86.25,86.25,287.69,357.57
209.63,314.44,86.25,86.25,252.76,357.57
174.69,331.91,86.25,86.25,217.82,375.04
157.22,349.38,86.25,86.25,200.35,392.51
174.69,349.38,86.25,86.25,217.82,392.51
209.63,331.91,86.25,86.25,252.76,375.04
244.57,331.91,86.25,86.25,287.69,375.04
279.51,296.97,86.25,86.25,322.63,340.10
296.97,314.44,86.25,86.25,340.10,357.57
314.44,331.91,86.25,86.25,357.57,375.04
296.97,331.91,86.25,86.25,340.10,375.04
279.51,314.44,86.25,86.25,322.63,357.57
296.97,349.38,86.25,86.25,340.10,392.51
279.51,331.91,86.25,86.25,322.63,375.04
279.51,366.85,86.25,86.25,322.63,409.98
244.57,349.38,86.25,86.25,287.69,392.51
209.63,366.85,86.25,86.25,252.76,409.98
209.63,331.91,86.25,86.25,252.76,375.04
192.16,349.38,86.25,86.25,235.29,392.51
244.57,366.85,86.25,86.25,287.69,409.98
262.04,454.20,86.25,86.25,305.16,497.32
227.10,436.73,86.25,86.25,270.22,479.85
192.16,419.26,86.25,86.25,235.29,462.38
157.22,366.85,86.25,86.25,200.35,409.98
139.75,331.91,86.25,86.25,182.88,375.04
122.28,279.51,86.25,86.25,165.41,322.63
122.28,227.10,86.25,86.25,165.41,270.22
104.81,174.69,86.25,86.25,147.94,217.82
104.81,139.75,86.25,86.25,147.94,182.88
296.97,436.73,86.25,86.25,340.10,479.85
331.91,401.79,86.25,86.25,375.04,444.92
384.32,384.32,86.25,86.25,427.45,427.45
401.79,349.38,86.25,86.25,444.92,392.51
419.26,314.44,86.25,86.25,462.38,357.57
419.26,279.51,86.25,86.25,462.38,322.63
436.73,227.10,86.25,86.25,479.85,270.22
436.73,192.16,86.25,86.25,479.85,235.29
