65,0
x,y,dx,dy,x_c,y_c
168.00,192.00,39.00,39.00,187.50,211.50
160.00,192.00,39.00,39.00,179.50,211.50
152.00,184.00,39.00,39.00,171.50,203.50
176.00,184.00,39.00,39.00,195.50,203.50
184.00,184.00,39.00,39.00,203.50,203.50
168.00,168.00,39.00,39.00,187.50,187.50
168.00,152.00,39.00,39.00,187.50,171.50
168.00,136.00,39.00,39.00,187.50,155.50
176.00,120.00,39.00,39.00,195.50,139.50
152.00,112.00,39.00,39.00,171.50,131.50
144.00,112.00,39.00,39.00,163.50,131.50
144.00,120.00,39.00,39.00,163.50,139.50
144.00,104.00,39.00,39.00,163.50,123.50
136.00,104.00,39.00,39.00,155.50,123.50
120.00,104.00,39.00,39.00,139.50,123.50
104.00,88.00,39.00,39.00,123.50,107.50
112.00,80.00,39.00,39.00,131.50,99.50
120.00,72.00,39.00,39.00,139.50,91.50
128.00,80.00,39.00,39.00,147.50,99.50
136.00,88.00,39.00,39.00,155.50,107.50
200.00,128.00,39.00,39.00,219.50,147.50
208.00,136.00,39.00,39.00,227.50,155.50
216.00,136.00,39.00,39.00,235.50,155.50
208.00,128.00,39.00,39.00,227.50,147.50
216.00,128.00,39.00,39.00,235.50,147.50
224.00,136.00,39.00,39.00,243.50,155.50
240.00,120.00,39.00,39.00,259.50,139.50
232.00,112.00,39.00,39.00,251.50,131.50
216.00,112.00,39.00,39.00,235.50,131.50
208.00,112.00,39.00,39.00,227.50,131.50
192.00,120.00,39.00,39.00,211.50,139.50
168.00,200.00,39.00,39.00,187.50,219.50
160.00,200.00,39.00,39.00,179.50,219.50
152.00,208.00,39.00,39.00,171.50,227.50
144.00,224.00,39.00,39.00,163.50,243.50
144.00,216.00,39.00,39.00,163.50,235.50
160.00,208.00,39.00,39.00,179.50,227.50
168.00,208.00,39.00,39.00,187.50,227.50
176.00,200.00,39.00,39.00,195.50,219.50
184.00,208.00,39.00,39.00,203.50,227.50
184.00,216.00,39.00,39.00,203.50,235.50
184.00,208.00,39.00,39.00,203.50,227.50
176.00,208.00,39.00,39.00,195.50,227.50
176.00,224.00,39.00,39.00,195.50,243.50
168.00,216.00,39.00,39.00,187.50,235.50
168.00,224.00,39.00,39.00,187.50,243.50
152.00,216.00,39.00,39.00,171.50,235.50
144.00,224.00,39.00,39.00,163.50,243.50
144.00,208.00,39.00,39.00,163.50,227.50
136.00,216.00,39.00,39.00,155.50,235.50
152.00,224.00,39.00,39.00,171.50,243.50
160.00,264.00,39.00,39.00,179.50,283.50
136.00,256.00,39.00,39.00,155.50,275.50
120.00,240.00,39.00,39.00,139.50,259.50
104.00,224.00,39.00,39.00,123.50,243.50
88.00,200.00,39.00,39.00,107.50,219.50
80.00,176.00,39.00,39.00,99.50,195.50
72.00,152.00,39.00,39.00,91.50,171.50
64.00,128.00,39.00,39.00,83.50,147.50
64.00,104.00,39.00,39.00,83.50,123.50
176.00,256.00,39.00,39.00,195.50,275.50
192.00,240.00,39.00,39.00,211.50,259.50
208.00,224.00,39.00,39.00,227.50,243.50
216.00,200.00,39.00,39.00,235.50,219.50
224.00,184.00,39.00,39.00,243.50,203.50
224.00,168.00,39.00,39.00,243.50,187.50
224.00,144.00,39.00,39.00,243.50,163.50
216.00,128.00,39.00,39.00,235.50,147.50
