90,-45
x,y,dx,dy,x_c,y_c
256.00,272.00,79.00,79.00,295.50,311.50
240.00,272.00,79.00,79.00,279.50,311.50
224.00,272.00,79.00,79.00,263.50,311.50
256.00,272.00,79.00,79.00,295.50,311.50
272.00,272.00,79.00,79.00,311.50,311.50
288.00,240.00,79.00,79.00,327.50,279.50
288.00,208.00,79.00,79.00,327.50,247.50
272.00,176.00,79.00,79.00,311.50,215.50
272.00,160.00,79.00,79.00,311.50,199.50
224.00,160.00,79.00,79.00,263.50,199.50
208.00,160.00,79.00,79.00,247.50,199.50
192.00,160.00,79.00,79.00,231.50,199.50
208.00,144.00,79.00,79.00,247.50,183.50
192.00,144.00,79.00,79.00,231.50,183.50
176.00,160.00,79.00,79.00,215.50,199.50
128.00,128.00,79.00,79.00,167.50,167.50
160.00,112.00,79.00,79.00,199.50,151.50
192.00,96.00,79.00,79.00,231.50,135.50
224.00,112.00,79.00,79.00,263.50,151.50
256.00,112.00,79.00,79.00,295.50,151.50
288.00,160.00,79.00,79.00,327.50,199.50
304.00,176.00,79.00,79.00,343.50,215.50
304.00,176.00,79.00,79.00,343.50,215.50
304.00,144.00,79.00,79.00,343.50,183.50
320.00,144.00,79.00,79.00,359.50,183.50
320.00,160.00,79.00,79.00,359.50,199.50
320.00,128.00,79.00,79.00,359.50,167.50
320.00,128.00,79.00,79.00,359.50,167.50
320.00,128.00,79.00,79.00,359.50,167.50
304.00,128.00,79.00,79.00,343.50,167.50
288.00,112.00,79.00,79.00,327.50,151.50
256.00,288.00,79.00,79.00,295.50,327.50
240.00,288.00,79.00,79.00,279.50,327.50
208.00,304.00,79.00,79.00,247.50,343.50
176.00,320.00,79.00,79.00,215.50,359.50
208.00,320.00,79.00,79.00,247.50,359.50
240.00,304.00,79.00,79.00,279.50,343.50
256.00,304.00,79.00,79.00,295.50,343.50
272.00,288.00,79.00,79.00,311.50,327.50
272.00,304.00,79.00,79.00,311.50,343.50
272.00,304.00,79.00,79.00,311.50,343.50
256.00,304.00,79.00,79.00,295.50,343.50
256.00,304.00,79.00,79.00,295.50,343.50
272.00,320.00,79.00,79.00,311.50,359.50
256.00,304.00,79.00,79.00,295.50,343.50
256.00,320.00,79.00,79.00,295.50,359.50
240.00,304.00,79.00,79.00,279.50,343.50
224.00,336.00,79.00,79.00,263.50,375.50
224.00,304.00,79.00,79.00,263.50,343.50
192.00,336.00,79.00,79.00,231.50,375.50
240.00,320.00,79.00,79.00,279.50,359.50
240.00,400.00,79.00,79.00,279.50,439.50
192.00,400.00,79.00,79.00,231.50,439.50
144.00,384.00,79.00,79.00,183.50,423.50
96.00,368.00,79.00,79.00,135.50,407.50
64.00,336.00,79.00,79.00,103.50,375.50
32.00,304.00,79.00,79.00,71.50,343.50
16.00,256.00,79.00,79.00,55.50,295.50
16.00,208.00,79.00,79.00,55.50,247.50
16.00,160.00,79.00,79.00,55.50,199.50
256.00,384.00,79.00,79.00,295.50,423.50
256.00,368.00,79.00,79.00,295.50,407.50
272.00,336.00,79.00,79.00,311.50,375.50
288.00,304.00,79.00,79.00,327.50,343.50
304.00,272.00,79.00,79.00,343.50,311.50
320.00,240.00,79.00,79.00,359.50,279.50
304.00,208.00,79.00,79.00,343.50,247.50
288.00,192.00,79.00,79.00,327.50,231.50
