59,0
x,y,dx,dy,x_c,y_c
460.13,419.13,51.25,51.25,485.76,444.76
449.88,419.13,51.25,51.25,475.51,444.76
439.63,419.13,51.25,51.25,465.26,444.76
471.52,419.13,51.25,51.25,497.15,444.76
481.77,419.13,51.25,51.25,507.40,444.76
460.13,397.49,51.25,51.25,485.76,423.12
460.13,376.99,51.25,51.25,485.76,402.62
449.88,355.35,51.25,51.25,475.51,380.98
449.88,345.10,51.25,51.25,475.51,370.73
419.13,345.10,51.25,51.25,444.76,370.73
419.13,345.10,51.25,51.25,444.76,370.73
407.74,355.35,51.25,51.25,433.37,380.98
407.74,345.10,51.25,51.25,433.37,370.73
407.74,345.10,51.25,51.25,433.37,370.73
397.49,345.10,51.25,51.25,423.12,370.73
366.74,324.60,51.25,51.25,392.37,350.22
376.99,314.35,51.25,51.25,402.62,339.97
387.24,302.96,51.25,51.25,412.87,328.58
407.74,314.35,51.25,51.25,433.37,339.97
419.13,314.35,51.25,51.25,444.76,339.97
471.52,355.35,51.25,51.25,497.15,380.98
481.77,355.35,51.25,51.25,507.40,380.98
492.02,355.35,51.25,51.25,517.65,380.98
481.77,366.74,51.25,51.25,507.40,392.37
492.02,366.74,51.25,51.25,517.65,392.37
502.27,366.74,51.25,51.25,527.90,392.37
522.77,345.10,51.25,51.25,548.40,370.73
512.52,345.10,51.25,51.25,538.15,370.73
502.27,345.10,51.25,51.25,527.90,370.73
492.02,345.10,51.25,51.25,517.65,370.73
481.77,345.10,51.25,51.25,507.40,370.73
460.13,439.63,51.25,51.25,485.76,465.26
449.88,439.63,51.25,51.25,475.51,465.26
439.63,449.88,51.25,51.25,465.26,475.51
429.38,460.13,51.25,51.25,455.01,485.76
439.63,460.13,51.25,51.25,465.26,485.76
449.88,449.88,51.25,51.25,475.51,475.51
460.13,449.88,51.25,51.25,485.76,475.51
481.77,429.38,51.25,51.25,507.40,455.01
502.27,439.63,51.25,51.25,527.90,465.26
512.52,439.63,51.25,51.25,538.15,465.26
502.27,439.63,51.25,51.25,527.90,465.26
481.77,439.63,51.25,51.25,507.40,465.26
502.27,460.13,51.25,51.25,527.90,485.76
492.02,449.88,51.25,51.25,517.65,475.51
492.02,471.52,51.25,51.25,517.65,497.15
471.52,460.13,51.25,51.25,497.15,485.76
449.88,471.52,51.25,51.25,475.51,497.15
449.88,449.88,51.25,51.25,475.51,475.51
439.63,460.13,51.25,51.25,465.26,485.76
471.52,471.52,51.25,51.25,497.15,497.15
471.52,522.77,51.25,51.25,497.15,548.40
439.63,512.52,51.25,51.25,465.26,538.15
419.13,492.02,51.25,51.25,444.76,517.65
397.49,471.52,51.25,51.25,423.12,497.15
376.99,449.88,51.25,51.25,402.62,475.51
366.74,419.13,51.25,51.25,392.37,444.76
355.35,397.49,51.25,51.25,380.98,423.12
345.10,366.74,51.25,51.25,370.73,392.37
345.10,345.10,51.25,51.25,370.73,370.73
492.02,512.52,51.25,51.25,517.65,538.15
512.52,502.27,51.25,51.25,538.15,527.90
522.77,481.77,51.25,51.25,548.40,507.40
534.16,449.88,51.25,51.25,559.79,475.51
544.41,429.38,51.25,51.25,570.04,455.01
544.41,407.74,51.25,51.25,570.04,433.37
554.67,376.99,51.25,51.25,580.29,402.62
554.67,355.35,51.25,51.25,580.29,380.98
