103,0
x,y,dx,dy,x_c,y_c
244.36,279.27,86.18,86.18,287.45,322.36
226.91,279.27,86.18,86.18,270.00,322.36
209.45,279.27,86.18,86.18,252.55,322.36
261.82,279.27,86.18,86.18,304.91,322.36
279.27,279.27,86.18,86.18,322.36,322.36
261.82,261.82,86.18,86.18,304.91,304.91
279.27,244.36,86.18,86.18,322.36,287.45
279.27,209.45,86.18,86.18,322.36,252.55
279.27,192.00,86.18,86.18,322.36,235.09
226.91,192.00,86.18,86.18,270.00,235.09
226.91,209.45,86.18,86.18,270.00,252.55
209.45,209.45,86.18,86.18,252.55,252.55
209.45,192.00,86.18,86.18,252.55,235.09
192.00,192.00,86.18,86.18,235.09,235.09
174.55,192.00,86.18,86.18,217.64,235.09
122.18,157.09,86.18,86.18,165.27,200.18
139.64,139.64,86.18,86.18,182.73,182.73
157.09,122.18,86.18,86.18,200.18,165.27
174.55,122.18,86.18,86.18,217.64,165.27
192.00,122.18,86.18,86.18,235.09,165.27
314.18,209.45,86.18,86.18,357.27,252.55
331.64,209.45,86.18,86.18,374.73,252.55
349.09,209.45,86.18,86.18,392.18,252.55
331.64,209.45,86.18,86.18,374.73,252.55
331.64,209.45,86.18,86.18,374.73,252.55
331.64,209.45,86.18,86.18,374.73,252.55
366.55,174.55,86.18,86.18,409.64,217.64
349.09,174.55,86.18,86.18,392.18,217.64
331.64,174.55,86.18,86.18,374.73,217.64
314.18,174.55,86.18,86.18,357.27,217.64
296.73,174.55,86.18,86.18,339.82,217.64
244.36,296.73,86.18,86.18,287.45,339.82
226.91,296.73,86.18,86.18,270.00,339.82
209.45,314.18,86.18,86.18,252.55,357.27
192.00,331.64,86.18,86.18,235.09,374.73
209.45,331.64,86.18,86.18,252.55,374.73
226.91,314.18,86.18,86.18,270.00,357.27
244.36,314.18,86.18,86.18,287.45,357.27
279.27,279.27,86.18,86.18,322.36,322.36
296.73,296.73,86.18,86.18,339.82,339.82
314.18,314.18,86.18,86.18,357.27,357.27
296.73,314.18,86.18,86.18,339.82,357.27
279.27,296.73,86.18,86.18,322.36,339.82
296.73,349.09,86.18,86.18,339.82,392.18
279.27,331.64,86.18,86.18,322.36,374.73
279.27,366.55,86.18,86.18,322.36,409.64
244.36,349.09,86.18,86.18,287.45,392.18
209.45,366.55,86.18,86.18,252.55,409.64
209.45,331.64,86.18,86.18,252.55,374.73
192.00,349.09,86.18,86.18,235.09,392.18
244.36,366.55,86.18,86.18,287.45,409.64
244.36,453.82,86.18,86.18,287.45,496.91
192.00,436.36,86.18,86.18,235.09,479.45
157.09,401.45,86.18,86.18,200.18,444.55
122.18,366.55,86.18,86.18,165.27,409.64
87.27,349.09,86.18,86.18,130.36,392.18
69.82,314.18,86.18,86.18,112.91,357.27
69.82,279.27,86.18,86.18,112.91,322.36
52.36,226.91,86.18,86.18,95.45,270.00
52.36,192.00,86.18,86.18,95.45,235.09
279.27,436.36,86.18,86.18,322.36,479.45
314.18,401.45,86.18,86.18,357.27,444.55
314.18,366.55,86.18,86.18,357.27,409.64
331.64,314.18,86.18,86.18,374.73,357.27
349.09,279.27,86.18,86.18,392.18,322.36
366.55,226.91,86.18,86.18,409.64,270.00
384.00,174.55,86.18,86.18,427.09,217.64
384.00,122.18,86.18,86.18,427.09,165.27
