99,0
x,y,dx,dy,x_c,y_c
263.56,316.27,86.75,86.75,306.94,359.65
245.99,316.27,86.75,86.75,289.36,359.65
228.42,298.70,86.75,86.75,271.79,342.08
281.13,316.27,86.75,86.75,324.51,359.65
298.70,316.27,86.75,86.75,342.08,359.65
263.56,281.13,86.75,86.75,306.94,324.51
263.56,245.99,86.75,86.75,306.94,289.36
263.56,210.85,86.75,86.75,306.94,254.22
263.56,193.28,86.75,86.75,306.94,236.65
210.85,193.28,86.75,86.75,254.22,236.65
193.28,193.28,86.75,86.75,236.65,236.65
175.71,193.28,86.75,86.75,219.08,236.65
193.28,175.71,86.75,86.75,236.65,219.08
175.71,175.71,86.75,86.75,219.08,219.08
158.13,175.71,86.75,86.75,201.51,219.08
122.99,158.13,86.75,86.75,166.37,201.51
140.56,140.56,86.75,86.75,183.94,183.94
158.13,122.99,86.75,86.75,201.51,166.37
193.28,140.56,86.75,86.75,236.65,183.94
210.85,140.56,86.75,86.75,254.22,183.94
316.27,193.28,86.75,86.75,359.65,236.65
333.84,193.28,86.75,86.75,377.22,236.65
351.41,193.28,86.75,86.75,394.79,236.65
333.84,193.28,86.75,86.75,377.22,236.65
351.41,193.28,86.75,86.75,394.79,236.65
351.41,193.28,86.75,86.75,394.79,236.65
404.12,175.71,86.75,86.75,447.50,219.08
386.55,175.71,86.75,86.75,429.93,219.08
368.98,175.71,86.75,86.75,412.36,219.08
351.41,175.71,86.75,86.75,394.79,219.08
316.27,175.71,86.75,86.75,359.65,219.08
263.56,333.84,86.75,86.75,306.94,377.22
245.99,333.84,86.75,86.75,289.36,377.22
210.85,333.84,86.75,86.75,254.22,377.22
175.71,351.41,86.75,86.75,219.08,394.79
193.28,351.41,86.75,86.75,236.65,394.79
245.99,351.41,86.75,86.75,289.36,394.79
263.56,351.41,86.75,86.75,306.94,394.79
298.70,316.27,86.75,86.75,342.08,359.65
316.27,333.84,86.75,86.75,359.65,377.22
333.84,351.41,86.75,86.75,377.22,394.79
316.27,351.41,86.75,86.75,359.65,394.79
316.27,333.84,86.75,86.75,359.65,377.22
316.27,368.98,86.75,86.75,359.65,412.36
298.70,351.41,86.75,86.75,342.08,394.79
298.70,368.98,86.75,86.75,342.08,412.36
263.56,351.41,86.75,86.75,306.94,394.79
228.42,368.98,86.75,86.75,271.79,412.36
228.42,351.41,86.75,86.75,271.79,394.79
210.85,368.98,86.75,86.75,254.22,412.36
263.56,368.98,86.75,86.75,306.94,412.36
281.13,456.83,86.75,86.75,324.51,500.21
228.42,439.26,86.75,86.75,271.79,482.64
193.28,421.69,86.75,86.75,236.65,465.07
158.13,386.55,86.75,86.75,201.51,429.93
122.99,351.41,86.75,86.75,166.37,394.79
105.42,316.27,86.75,86.75,148.80,359.65
105.42,281.13,86.75,86.75,148.80,324.51
87.85,228.42,86.75,86.75,131.23,271.79
87.85,175.71,86.75,86.75,131.23,219.08
316.27,439.26,86.75,86.75,359.65,482.64
351.41,404.12,86.75,86.75,394.79,447.50
386.55,368.98,86.75,86.75,429.93,412.36
404.12,333.84,86.75,86.75,447.50,377.22
421.69,316.27,86.75,86.75,465.07,359.65
421.69,281.13,86.75,86.75,465.07,324.51
439.26,228.42,86.75,86.75,482.64,271.79
439.26,193.28,86.75,86.75,482.64,236.65
